fresh_panel_row_id,eval_seed,spec,label,m3105_outcome,m3105_outcome_bucket,m3105_termination_reason,binding_role,axis_id,task_family
m3082-fresh-panel-0001,401500,m3012-executable-source-spec-0002,aeb_feasible,success,success_obstacle_pass,,candidate,collision_lateral_intrusion,T5
m3082-fresh-panel-0002,401501,m3012-executable-source-spec-0002,aeb_feasible,success,success_obstacle_pass,,parent,collision_lateral_intrusion,T5
m3082-fresh-panel-0003,401510,m3012-executable-source-spec-0004,aeb_feasible,success,success_obstacle_pass,,candidate,collision_lateral_intrusion,T5
m3082-fresh-panel-0004,401511,m3012-executable-source-spec-0004,aeb_feasible,success,success_obstacle_pass,,parent,collision_lateral_intrusion,T5
m3082-fresh-panel-0005,401520,m3012-executable-source-spec-0006,aeb_feasible,success,success_obstacle_pass,,candidate,collision_lateral_intrusion,T5
m3082-fresh-panel-0006,401521,m3012-executable-source-spec-0006,aeb_feasible,success,success_obstacle_pass,,parent,collision_lateral_intrusion,T5
m3082-fresh-panel-0007,401530,m3012-executable-source-spec-0008,unavoidable,collision,collision_failure,obstacle_collision,candidate,collision_lateral_intrusion,T5
m3082-fresh-panel-0008,401531,m3012-executable-source-spec-0008,aeb_feasible,success,success_obstacle_pass,,parent,collision_lateral_intrusion,T5
m3082-fresh-panel-0009,401540,m3012-executable-source-spec-0010,unavoidable,success,success_obstacle_pass,,candidate,collision_lateral_intrusion,T5
m3082-fresh-panel-0010,401541,m3012-executable-source-spec-0010,unavoidable,collision,collision_failure,obstacle_collision,parent,collision_lateral_intrusion,T5
m3082-fresh-panel-0011,401550,m3012-executable-source-spec-0012,aeb_feasible,success,success_obstacle_pass,,candidate,collision_lateral_intrusion,T5
m3082-fresh-panel-0012,401551,m3012-executable-source-spec-0012,aeb_feasible,success,success_obstacle_pass,,parent,collision_lateral_intrusion,T5
m3082-fresh-panel-0013,401560,m3012-executable-source-spec-0014,drift_required,offtrack,off_track_noncollision_noncompletion,off_track,candidate,collision_lateral_intrusion,T5
m3082-fresh-panel-0014,401561,m3012-executable-source-spec-0014,unavoidable,success,success_obstacle_pass,,parent,collision_lateral_intrusion,T5
m3082-fresh-panel-0015,401570,m3012-executable-source-spec-0016,aeb_feasible,success,success_obstacle_pass,,candidate,collision_lateral_intrusion,T5
m3082-fresh-panel-0016,401571,m3012-executable-source-spec-0016,aeb_feasible,success,success_obstacle_pass,,parent,collision_lateral_intrusion,T5
m3082-fresh-panel-0017,401600,m3012-executable-source-spec-0002,aeb_feasible,success,success_obstacle_pass,,candidate,offtrack_boundary_recovery,T5
m3082-fresh-panel-0018,401601,m3012-executable-source-spec-0002,aeb_feasible,success,success_obstacle_pass,,parent,offtrack_boundary_recovery,T5
