step,metric_phase,total_loss,exact_m297_loss,exact_m270_loss,hinge_m297,hinge_m270,hinge_old_key,old_key_surrogate_loss,old_key_preference_loss,old_key_action_anchor_loss,old_key_recovery_loss,old_key_recovery_preferred_loss,old_key_recovery_wrong_anchor_loss,current_family_conflict_loss,current_family_conflict_preferred_loss,current_family_conflict_rejected_loss,replay_trajectory_anchor_loss,active_boundary_loss,active_boundary_wrong_loss,active_boundary_gap_loss,active_boundary_normal_loss,active_boundary_v2_loss,active_boundary_v2_wrong_loss,active_boundary_v2_gap_loss,active_boundary_v2_normal_loss,action_anchor_loss,param_l2_to_base,param_l2_to_raw,grad_norm,learning_rate,exact_m297_delta_vs_base,exact_m270_delta_vs_base,exact_m297_no_regression,exact_m270_no_regression,exact_lexicographic_pass,positive_violation
0,start,16.224777221679688,1.1899232864379883,0.6781010627746582,0.0008243514457717538,0.0005196525016799569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015275091864168644,1.8596608697407646e-07,0.001527490559965372,4.9811278586275876e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1938562844734406e-07,2.8341872251869127e-11,0.0,0.0,3e-06,0.0008244514465332031,0.0005197525024414062,False,False,False,0.0013440039489746095
1,post_update,15.327656745910645,1.1890878677368164,0.6775890588760376,0.0,7.648603968846146e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015327541157603264,3.405770954145737e-08,0.0015327506698668003,5.384538326325128e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6548502890809687e-08,2.085433041532081e-11,8.898608412633013e-12,18933.30078125,3e-06,-1.0967254638671875e-05,7.748603820800781e-06,True,False,False,7.64860382080078e-06
2,post_update,15.2478609085083,1.1887211799621582,0.6773638725280762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015247788280248642,5.791402202248719e-08,0.001524773077107966,5.8360233197163325e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.473981683375314e-07,2.797265891141265e-11,1.9494780789663935e-11,2287.450927734375,3e-06,-0.000377655029296875,-0.000217437744140625,True,True,True,0.0
3,post_update,15.134927749633789,1.188504695892334,0.6772325038909912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015134814195334911,1.5936473118927097e-07,0.001513465540483594,6.394852334778989e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.941840074934589e-07,4.3853295994544794e-11,3.5464332859280745e-11,2284.881591796875,3e-06,-0.0005941390991210938,-0.00034880638122558594,True,True,True,0.0
4,post_update,15.006487846374512,1.188366413116455,0.6771506071090698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015006307512521744,3.345663799336762e-07,0.00150059734005481,7.132582140911836e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085849817172857e-06,6.969113480748135e-11,5.98024199605085e-11,2274.40966796875,3e-06,-0.000732421875,-0.00043070316314697266,True,True,True,0.0
5,post_update,14.869138717651367,1.188277244567871,0.6770997047424316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014868862926959991,5.869020469617681e-07,0.0014868276193737984,8.093806172837503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9450942545518046e-06,1.0662046939780012e-10,9.431000425053071e-11,2262.645751953125,3e-06,-0.0008215904235839844,-0.00048160552978515625,True,True,True,0.0
6,post_update,14.726244926452637,1.1882221698760986,0.6770704984664917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014725842513144016,9.19994306514127e-07,0.0014724922366440296,9.307743312092498e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0915380193619058e-06,1.554770201472877e-10,1.4014669980078054e-10,2250.104248046875,3e-06,-0.0008766651153564453,-0.0005108118057250977,True,True,True,0.0
7,post_update,14.57967758178711,1.1881922483444214,0.6770573854446411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014579115435481071,1.3372390412769164e-06,0.0014577778056263924,1.0795151865750086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.541247562883655e-06,2.169122104156429e-10,1.9814708207555043e-10,2237.04638671875,3e-06,-0.0009065866470336914,-0.0005239248275756836,True,True,True,0.0
8,post_update,14.430607795715332,1.1881818771362305,0.6770567893981934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014429851435124874,1.8414270925859455e-06,0.0014428009744733572,1.2571574188768864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.307496732915752e-06,2.9141575264013397e-10,2.6890584203798085e-10,2223.61669921875,3e-06,-0.0009169578552246094,-0.0005245208740234375,True,True,True,0.0
9,post_update,14.279858589172363,1.1881871223449707,0.6770660281181335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014278871938586235,2.434673206153093e-06,0.0014276436995714903,1.4647999705630355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.400197657465469e-06,3.793990677181114e-10,3.5290792510522806e-10,2209.904296875,3e-06,-0.000911712646484375,-0.000515282154083252,True,True,True,0.0
10,post_update,14.12798023223877,1.1882050037384033,0.6770834922790527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014126727357506752,3.119064103884739e-06,0.0014123608125373721,1.7034482880262658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0828520316863433e-05,4.811946396898747e-10,4.505366635321195e-10,2195.973876953125,3e-06,-0.0008938312530517578,-0.0004978179931640625,True,True,True,0.0
11,post_update,13.975390434265137,1.1882336139678955,0.6771076321601868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013973833061754704,3.896048838214483e-06,0.001396993757225573,1.973777216335293e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599375961348414e-05,5.970579586289659e-10,5.620859888644247e-10,2181.866455078125,3e-06,-0.0008652210235595703,-0.0004736781120300293,True,True,True,0.0
12,post_update,13.822426795959473,1.1882710456848145,0.6771376729011536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013820527121424675,4.7669354898971505e-06,0.0013815760612487793,2.276356826769188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6718324332032353e-05,7.272016322446007e-10,6.877971525653948e-10,2167.614990234375,3e-06,-0.000827789306640625,-0.0004436373710632324,True,True,True,0.0
13,post_update,13.669293403625488,1.1883162260055542,0.6771725416183472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013667013496160507,5.732983481721021e-06,0.0013661279808729887,2.6117550078197382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0191226212773472e-05,8.717968569271761e-10,8.27859891749938e-10,2153.2431640625,3e-06,-0.0007826089859008789,-0.0004087686538696289,True,True,True,0.0
14,post_update,13.516197204589844,1.188368320465088,0.6772118210792542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513496145606041,6.795130047976272e-06,0.0013506701216101646,2.9803550205542706e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4021899662329815e-05,1.0310666764823395e-09,9.825086300097041e-10,2138.767822265625,3e-06,-0.0007305145263671875,-0.0003694891929626465,True,True,True,0.0
15,post_update,13.363324165344238,1.188425898551941,0.6772547960281372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013360165059566498,7.953857675602194e-06,0.0013352211099117994,3.3824391721282154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.821386260620784e-05,1.20510257328732e-09,1.1518553888478777e-09,2124.205322265625,3e-06,-0.0006729364395141602,-0.00032651424407958984,True,True,True,0.0
16,post_update,13.210769653320312,1.1884886026382446,0.6773010492324829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01320711150765419,9.210121788782999e-06,0.0013197901425883174,3.818384720943868e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2770392863312736e-05,1.3939840393106806e-09,1.3359909845078732e-09,2109.570068359375,3e-06,-0.0006102323532104492,-0.0002802610397338867,True,True,True,0.0
17,post_update,13.058669090270996,1.1885559558868408,0.6773501634597778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013054469600319862,1.0564728654571809e-05,0.0013043904909864068,4.2883992136921734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76943607989233e-05,1.5978703915564552e-09,1.5350811732872671e-09,2094.867919921875,3e-06,-0.0005428791046142578,-0.00023114681243896484,True,True,True,0.0
18,post_update,12.90709114074707,1.1886272430419922,0.6774019002914429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012902311980724335,1.2017767403449398e-05,0.001289029372856021,4.79266163893044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2987539927707985e-05,1.816819805711134e-09,1.749186351318599e-09,2080.109375,3e-06,-0.0004715919494628906,-0.00017940998077392578,True,True,True,0.0
19,post_update,12.756072044372559,1.1887023448944092,0.6774560213088989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012750673107802868,1.3569823750003707e-05,0.0012737103970721364,5.3314353863243014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.865287337452173e-05,2.0509713927197026e-09,1.9784538451972367e-09,2065.30126953125,3e-06,-0.00039649009704589844,-0.0001252889633178711,True,True,True,0.0
20,post_update,12.605735778808594,1.1887803077697754,0.6775121688842773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012599675916135311,1.5221461580949835e-05,0.0012584454379975796,5.904858699068427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4691779951099306e-05,2.300368784347029e-09,2.2229302842902143e-09,2050.446044921875,3e-06,-0.0003185272216796875,-6.914138793945312e-05,True,True,True,0.0
21,post_update,12.456110954284668,1.1888614892959595,0.677570104598999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012449349276721478,1.6972906450973824e-05,0.0012432376388460398,6.513111293315887e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11063587712124e-05,2.5650956914091694e-09,2.482707373019366e-09,2035.5526123046875,3e-06,-0.00023734569549560547,-1.1205673217773438e-05,True,True,True,0.0
