source_label,alpha,candidate_label,checkpoint
raw_row16x4_s40,0.05,m1031_raw_row16x4_s40_a0_05,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_05.pt
raw_row16x4_s40,0.1,m1031_raw_row16x4_s40_a0_1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_1.pt
raw_row16x4_s40,0.15,m1031_raw_row16x4_s40_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_15.pt
raw_row16x4_s40,0.2,m1031_raw_row16x4_s40_a0_2,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_2.pt
raw_row16x4_s40,0.25,m1031_raw_row16x4_s40_a0_25,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_25.pt
raw_row16x4_s40,0.3,m1031_raw_row16x4_s40_a0_3,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_3.pt
raw_row16x4_s40,0.35,m1031_raw_row16x4_s40_a0_35,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_35.pt
raw_row16x4_s40,0.4,m1031_raw_row16x4_s40_a0_4,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_4.pt
raw_row16x4_s40,0.45,m1031_raw_row16x4_s40_a0_45,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_45.pt
raw_row16x4_s40,0.5,m1031_raw_row16x4_s40_a0_5,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_5.pt
raw_row16x4_s40,0.6,m1031_raw_row16x4_s40_a0_6,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_6.pt
raw_row16x4_s40,0.75,m1031_raw_row16x4_s40_a0_75,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_75.pt
raw_row16x4_s40,1.0,m1031_raw_row16x4_s40_a1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a1.pt
base_row16x4_s40,0.05,m1031_base_row16x4_s40_a0_05,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_05.pt
base_row16x4_s40,0.1,m1031_base_row16x4_s40_a0_1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_1.pt
base_row16x4_s40,0.15,m1031_base_row16x4_s40_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_15.pt
base_row16x4_s40,0.2,m1031_base_row16x4_s40_a0_2,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_2.pt
base_row16x4_s40,0.25,m1031_base_row16x4_s40_a0_25,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_25.pt
base_row16x4_s40,0.3,m1031_base_row16x4_s40_a0_3,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_base_row16x4_s40_a0_3.pt
