candidate,alpha,weighted_total_loss,weighted_normal_sequence_nll,weighted_temporal_preference_loss,weighted_base_logp_anchor,weighted_logp_gap_mean,temporal_logp_gap_p10,temporal_logp_gap_p50,temporal_logp_gap_p90,candidate_action_l2_mean,candidate_action_l2_max,total_loss_improvement,normal_nll_regression,pref_loss_regression,gap_regression,gap_p10_regression,total_loss_pass,normal_nll_pass,pref_loss_pass,gap_pass,gap_p10_pass,action_mean_pass,action_max_pass,exact_gate_pass,rank,source_label,source_checkpoint,candidate_label,checkpoint,actor_inputs_changed,changed_parameter_count,changed_parameter_names,exact_m297_loss,exact_m270_loss,exact_m297_delta_vs_base,exact_m270_delta_vs_base,exact_m297_no_regression,exact_m270_no_regression,m297_m270_exact_pass,movement_retained_pass,base_m297_loss,base_m270_loss,eligible_for_first_replay
m1031_raw_row16x4_s40_a0_05,0.05,-0.8833949037477846,-1.372971909250616,0.4895770053955391,4.2916939222405277e-10,0.6473845528245802,0.055860262364149094,0.4261605739593506,1.7515277862548828,0.0019225177806400779,0.002353524789214134,0.0019820552467963992,4.195188773103986e-05,-0.0020240072418197252,-0.007278315981451677,-0.0018788538873195579,True,True,True,True,True,True,True,True,1,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_05,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_05.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.189079761505127,0.6775800585746765,-1.9073486328125e-05,-1.2516975402832031e-06,True,True,True,False,1.189098834991455,0.6775813102722168,False
m1031_raw_row16x4_s40_a0_1,0.1,-0.8834639447324251,-1.372932681099449,0.48946873545522396,3.6472004163306613e-09,0.6477263933445765,0.05614372715353966,0.4271537959575653,1.7525538206100464,0.003102131573511803,0.003521144390106201,0.002051096231436844,8.118003889800995e-05,-0.0021322771821348785,-0.007620156501447983,-0.002162318676710122,True,True,True,True,True,True,True,True,2,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_1,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_1.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1890604496002197,0.6775788068771362,-3.838539123535156e-05,-2.5033950805664062e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_raw_row16x4_s40_a0_15,0.15,-0.883514566999602,-1.3728743516791655,0.4893597811232314,1.4225328448831976e-08,0.6480706249008145,0.05643085762858391,0.42815330624580383,1.7535858154296875,0.004348751665937669,0.00515324529260397,0.002101718498613736,0.00013950945918161928,-0.0022412315141274175,-0.007964388057685956,-0.0024494491517543723,True,True,True,True,True,True,True,True,3,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_15,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_15.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1890414953231812,0.6775778532028198,-5.733966827392578e-05,-3.4570693969726562e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_raw_row16x4_s40_a0_2,0.2,-0.8835455338878533,-1.372797014249119,0.4892514706310411,3.8920898368482515e-08,0.6484128572898706,0.056719549000263214,0.4291512370109558,1.754612684249878,0.0056194908534390135,0.006832224316895008,0.002132685386865063,0.00021684688922807283,-0.002349542006317762,-0.00830662044674213,-0.0027381405234336784,True,True,True,True,True,True,True,True,4,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_2,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_2.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1890226602554321,0.6775767803192139,-7.617473602294922e-05,-4.5299530029296875e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_raw_row16x4_s40_a0_25,0.25,-0.8835574851004507,-1.3727005848014828,0.4891430780153364,8.674278266288432e-08,0.6487554660956315,0.05701049044728279,0.4301525354385376,1.7556406259536743,0.006901502782784603,0.008512078784406185,0.0021446365994625127,0.0003132763368642877,-0.0024579346220224285,-0.008649229252502999,-0.0030290819704532554,True,True,True,True,True,True,True,True,5,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_25,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_25.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1890039443969727,0.677575945854187,-9.489059448242188e-05,-5.364418029785156e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_raw_row16x4_s40_a0_3,0.3,-0.8835504994843164,-1.3725850964972486,0.48903455478725005,1.6890272820350145e-07,0.6490986326233289,0.05730399116873741,0.4311564564704895,1.7566708326339722,0.00818966769950832,0.010193060152232647,0.0021376509833281876,0.0004287646410985335,-0.002566457850108783,-0.00899239578020039,-0.0033225826919078758,True,True,True,True,True,True,True,True,6,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_3,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_3.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1889854669570923,0.6775751709938049,-0.00011336803436279297,-6.139278411865234e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_raw_row16x4_s40_a0_35,0.35,-0.8835243115183495,-1.3724505557796904,0.48892616955379126,2.98830198638754e-07,0.6494414742819852,0.05759990215301514,0.4321608245372772,1.7576993703842163,0.00948148554066108,0.011874521151185036,0.0021114630173613147,0.0005633053586566739,-0.0026748430835675796,-0.00933523743885667,-0.003618493676185601,True,True,True,True,True,True,True,True,7,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_35,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_35.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.188966989517212,0.6775744557380676,-0.00013184547424316406,-6.854534149169922e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_raw_row16x4_s40_a0_4,0.4,-0.8834796453535433,-1.3722968618317966,0.4888170934082829,4.922798811395789e-07,0.6497867194613239,0.05789951607584953,0.433172345161438,1.758734107017517,0.01077574745255897,0.013556104153394699,0.002066796852555064,0.0007169993065505587,-0.0027839192290759485,-0.00968048261819543,-0.003918107599019997,True,True,True,True,True,True,True,True,8,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_4,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_4.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.188948631286621,0.6775738000869751,-0.00015020370483398438,-7.510185241699219e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_raw_row16x4_s40_a0_45,0.45,-0.8834154339624462,-1.3721241510619424,0.4887085253552103,7.669771433653518e-07,0.6501304376671871,0.05820067599415779,0.43418270349502563,1.759765863418579,0.012071670194713134,0.015237785875797272,0.0020025854614579286,0.0008897100764047039,-0.002892487282148526,-0.010024200824058638,-0.004219267517328255,True,True,True,True,True,True,True,True,9,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_45,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_45.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1889305114746094,0.6775733828544617,-0.00016832351684570312,-7.927417755126953e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
m1031_raw_row16x4_s40_a0_5,0.5,-0.8833319821837458,-1.3719323239915928,0.4886000560128416,1.1431800218281337e-06,0.6504738732302865,0.058504000306129456,0.43519556522369385,1.7607967853546143,0.013368822841200655,0.016919605433940887,0.0019191336827575345,0.0010815371467542967,-0.003000956624517215,-0.010367636387157986,-0.00452259182929992,True,True,True,True,True,True,True,True,10,raw_row16x4_s40,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/exact_repair/raw_row16x4_s40/candidate_checkpoint.pt,m1031_raw_row16x4_s40_a0_5,runs/m1038_candidate_b_combined_active_set_repair_projection_probe/temporal_projection/checkpoints/m1031_raw_row16x4_s40_a0_5.pt,False,16,actor_mean.bias;actor_mean.weight;context_encoder.0.bias;context_encoder.0.weight;critic.bias;critic.weight;online_gru_cell.bias_hh;online_gru_cell.bias_ih;online_gru_cell.weight_hh;online_gru_cell.weight_ih;response_context_fusion.0.bias;response_context_fusion.0.weight;response_encoder.0.bias;response_encoder.0.weight;response_prediction_head.bias;response_prediction_head.weight,1.1889125108718872,0.6775728464126587,-0.0001863241195678711,-8.463859558105469e-06,True,True,True,True,1.189098834991455,0.6775813102722168,True
