policy,checkpoint,row_id,target,physical_pair_key,left_seed,right_seed,left_step,right_step,relocated_obstacle_body_x,relocated_obstacle_body_y,relocated_obstacle_half_width,normal_success,wrong_history_success,success_drop,normal_margin,wrong_history_margin,margin_gap,normal_collision,normal_terminal_reason,normal_obstacle_completed,normal_return,normal_steps,normal_first_steer,normal_first_throttle,normal_first_brake,normal_first_action_distance,normal_trajectory_distance_mean,wrong_history_collision,wrong_history_terminal_reason,wrong_history_obstacle_completed,wrong_history_return,wrong_history_steps,wrong_history_first_steer,wrong_history_first_throttle,wrong_history_first_brake,wrong_history_first_action_distance,wrong_history_trajectory_distance_mean
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,0,future_braking_deceleration,9530:9:9550:12,9530,9550,9,12,13.035211284309534,-0.0847780172297776,0.7195989238926084,True,False,True,0.010176675501917032,-0.003389569750248178,0.01356624525216521,False,obstacle_completed,True,68.65748109042252,54,0.708091139793396,-0.191434845328331,0.004866211675107479,0.0,0.0,True,collision,False,15.727735366577665,46,0.6883434057235718,-0.07946015149354935,0.07610247284173965,0.13417492806911469,0.05246743932366371
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,1,future_braking_deceleration,9530:9:9550:12,9530,9550,9,12,13.035211284309534,-0.0847780172297776,0.7245989238926084,True,False,True,0.005174547490373271,-0.008367741151366292,0.013542288641739564,False,obstacle_completed,True,68.65971176846608,54,0.7078758478164673,-0.19137179851531982,0.00476011773571372,0.0,0.0,True,collision,False,15.728419715674494,46,0.6881850957870483,-0.07944602519273758,0.07599610835313797,0.13412557542324066,0.052387211471796036
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,2,future_braking_deceleration,9542:9:9561:15,9542,9561,9,15,7.399486947211942,-0.774968629459718,1.5589788451219189,True,False,True,0.010717712373601973,-0.002420315381795657,0.01313802775539763,False,obstacle_completed,True,52.08170567507614,46,0.6907315254211426,-0.20770224928855896,0.016490714624524117,0.0,0.0,True,collision,False,-2.71445743618418,30,0.6603088974952698,-0.053749047219753265,0.08768244087696075,0.17232348024845123,0.08454479277133942
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,3,future_braking_deceleration,9542:9:9561:15,9542,9561,9,15,7.399486947211942,-0.774968629459718,1.5639788451219188,True,False,True,0.005720701847377274,-0.007401959951282233,0.013122661798659507,False,obstacle_completed,True,52.08215665407327,46,0.6905359029769897,-0.20766471326351166,0.016317952424287796,0.0,0.0,True,collision,False,-2.7145944876041064,30,0.6602051258087158,-0.053791943937540054,0.08757143467664719,0.17226096987724304,0.08445575833320618
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,4,future_braking_deceleration,9530:12:9550:15,9530,9550,12,15,12.189309647570578,-0.3418962581690081,0.7195989238926084,True,False,True,0.010383463234219681,-0.0023467353054391626,0.012730198539658844,False,obstacle_completed,True,65.59668668831162,51,0.6965316534042358,-0.15865930914878845,0.01970159076154232,0.0,0.0,True,collision,False,12.643335118825696,43,0.6748191118240356,-0.040951285511255264,0.09031212329864502,0.138969287276268,0.054023660719394684
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,5,future_braking_deceleration,9530:12:9550:15,9530,9550,12,15,12.189309647570578,-0.3418962581690081,0.7245989238926084,True,False,True,0.005385376261145103,-0.007322793605445632,0.012708169866590735,False,obstacle_completed,True,65.5985355766038,51,0.696323573589325,-0.15863975882530212,0.01957596279680729,0.0,0.0,True,collision,False,12.643735378389778,43,0.674677848815918,-0.041009511798620224,0.09017553925514221,0.1388874053955078,0.053949251770973206
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,6,future_braking_deceleration,9530:15:9550:18,9530,9550,15,18,11.340877020276114,-0.5756397670802764,0.7195989238926084,True,False,True,0.01055522200474468,-0.0009192777859909906,0.01147449979073567,False,obstacle_completed,True,62.50637243151075,48,0.687371015548706,-0.1320752650499344,0.03171316534280777,0.0,0.0,True,collision,False,9.51522536375247,40,0.6659749150276184,-0.019756071269512177,0.09594306349754333,0.1311444789171219,0.054001402109861374
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,7,future_braking_deceleration,9530:15:9550:18,9530,9550,15,18,11.340877020276114,-0.5756397670802764,0.7245989238926084,True,False,True,0.00555949892567309,-0.005895105152262214,0.011454604077935304,False,obstacle_completed,True,62.507905670024755,48,0.687171220779419,-0.1320902407169342,0.031573548913002014,0.0,0.0,True,collision,False,9.515426275208418,40,0.665841817855835,-0.019858311861753464,0.09579245001077652,0.13105347752571106,0.053933463990688324
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,8,future_braking_deceleration,9530:18:9550:21,9530,9550,18,21,10.490355637760375,-0.784503949310424,0.7245989238926084,True,False,True,0.005709801016587912,-0.004377784613151414,0.010087585629739326,False,obstacle_completed,True,59.393757205819234,45,0.6808196306228638,-0.1067226231098175,0.04431521147489548,0.0,0.0,True,collision,False,6.359138248451259,37,0.659185528755188,-0.0010127719724550843,0.10137614607810974,0.1220596432685852,0.05265352129936218
m399_base,runs/m1016_v4_public_base_m1013_exact_candidate_preflight/checkpoints/m1013_lam0030_a050.pt,9,future_braking_deceleration,9530:15:9550:15,9530,9550,15,15,11.340877020276114,-0.5756397670802764,0.7245989238926084,True,False,True,0.00555949892567309,-0.002650332983114456,0.008209831908787546,False,obstacle_completed,True,62.507905670024755,48,0.687171220779419,-0.1320902407169342,0.031573548913002014,0.0,0.0,True,collision,False,9.385651526633715,40,0.6748483777046204,-0.04938911274075508,0.08630317449569702,0.09993328154087067,0.04344914108514786
