seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean
9505,checkpoint,64,False,True,0.8809955370812874,0.4617418275604807,1218.1713359343846,0.8401181627133687,1.0899954850787184,0.07329524692962441,0.7908373114980993,1.0240869293425885,0.6866916616812467,1.6080638932811224,1.6080638932811224,25,True,True,drift_required,False,True,3.026183226557376,1.6882458333566848,1.3379373932006913,70.55417998952078,1.1024090623362621,0.8181630331282703,2.01759841581832,0.20780637836769272,0.01204925270378479,0.0,12.60963666683041,0.019887275993824005,1,,,64,0.8181630331282703,0.20780637836769272,12.60963666683041,1.1024090623362621,0,,,,,0,,,,
9506,checkpoint,39,True,False,1.0775579417222267,0.6096816231341294,1550.3831700176897,1.069229772425993,0.8616448539009203,0.0029164589909533856,0.5947584128590944,0.6587083085640355,1.1638910201708064,1.3383020801063736,1.3383020801063736,32,True,True,unavoidable,True,False,1.6974534681157152,1.7352893172111956,-0.037835849095480434,4.673102290058125,0.11982313564251602,1.029090893539042,1.487191378061702,0.2697747825830849,0.03349883838383499,0.0,11.280298139672373,0.027503151446580887,1,,,39,1.029090893539042,0.2697747825830849,11.280298139672373,0.11982313564251602,0,,,,,0,,,,
9507,checkpoint,65,False,True,0.693508278743453,0.5097618152451868,1749.524257532681,1.2065684534708145,1.0253184413976952,0.1132952721044318,0.6486374104571262,1.2030394212762565,0.9844921208057833,2.1352349184770882,2.1352349184770882,21,True,True,drift_required,False,True,2.6228737019602693,1.8541651058258188,0.7687085961344504,79.92256419679119,1.2295779107198643,0.3530072027294237,0.7805153904371309,0.09569792554032712,0.10363974776200413,0.0,13.24454336301674,0.018240980803966522,1,,,65,0.3530072027294237,0.09569792554032712,13.24454336301674,1.2295779107198643,0,,,,,0,,,,
9508,checkpoint,109,False,True,0.8393096226003882,0.2934427652449284,1612.7406057587925,1.1122349005233052,0.9225438847295442,0.0058368393632382,1.025977618816389,0.7891379657300783,0.7025726997175076,2.583468934906521,2.583468934906521,8,True,True,drift_required,False,True,7.700417048058894,1.8634337101007739,5.83698333795812,59.95386712786876,0.5500354782373281,3.2427981874428777,7.1975005761925175,0.1498562304757779,0.02983253248239628,0.0,10.25307032431813,0.02154698222875595,1,,,109,3.2427981874428777,0.1498562304757779,10.25307032431813,0.5500354782373281,0,,,,,0,,,,
9509,checkpoint,60,False,True,0.8286570594132712,0.5784093202617614,1645.527571887934,1.1348466013020235,1.1100172308641296,-0.06790377179506812,0.884004165764513,1.1758113291598256,0.6119007664572674,0.8337989229243452,0.8337989229243453,39,True,True,unavoidable,False,True,2.1456644201304593,1.9525806823369538,0.19308373779350552,69.20558431060388,1.1534264051767313,0.6182253657635568,1.568112620854663,0.13457941065918277,0.04553149040063882,0.0,11.099116158143875,0.021928977221250534,1,,,60,0.6182253657635568,0.13457941065918277,11.099116158143875,1.1534264051767313,0,,,,,0,,,,
9510,checkpoint,82,False,True,1.0088775535776806,0.3024818244124617,1447.495851324434,0.9982730009134028,1.1738923380718556,-0.013933059152890559,0.8541302440658534,0.8534606783226136,1.1068578494979044,2.7385897640319063,2.7385897640319063,37,True,True,drift_required,False,True,3.6105666517640524,1.930732521404365,1.6798341303596875,89.04348934424354,1.0858962115151651,0.6945248795385613,0.959125579454664,0.2389852125402839,0.07172915994502536,0.0,13.603299346400652,0.0217683594673872,1,,,82,0.6945248795385613,0.2389852125402839,13.603299346400652,1.0858962115151651,0,,,,,0,,,,
9511,checkpoint,62,False,True,0.5123731835585299,0.45332457807680626,1310.488193809164,0.9037849612476992,0.8121892048034784,-0.05167008199857004,0.7917697943740777,0.7567061654764359,0.7887007999731666,2.710013352560785,2.710013352560785,28,True,True,drift_required,False,True,2.0291797245792087,1.5775396412832223,0.45164008329598637,78.61911736085396,1.2680502800137736,0.20443696066722788,0.2646374571153416,0.08164028755086002,0.023910695647015492,0.0,14.827099298604908,0.019841909408569336,1,,,62,0.20443696066722788,0.08164028755086002,14.827099298604908,1.2680502800137736,0,,,,,0,,,,
9512,checkpoint,81,False,True,0.7370294740550716,0.5199413517314335,1473.7520178681773,1.0163807019780533,0.8434114684523211,-0.04805924226335789,1.3376096669356863,0.6079179671777779,0.9012376294044615,1.6215893301287176,1.6215893301287176,34,True,True,drift_required,False,True,4.223108802414226,1.9275293698951947,2.295579432519031,79.7261523370579,0.9842734856426901,1.6585000182343272,3.7472994742862937,0.1987581369971231,0.046403099120998416,0.0,10.845204719293935,0.019110286608338356,1,,,81,1.6585000182343272,0.1987581369971231,10.845204719293935,0.9842734856426901,0,,,,,0,,,,
9513,checkpoint,72,False,True,0.6320421410615533,0.5749379643539799,1635.1668404241418,1.1277012692580288,0.8216417216815078,-0.014181227330614776,0.7022999453694379,1.250621144594008,0.6837419550984813,1.0852599807222763,1.0852599807222763,39,True,True,drift_required,False,True,3.7924674910715495,1.6920016269478655,2.100465864123684,86.58694041713123,1.2025963946823781,0.9560392547379691,1.8419212913341383,0.05572616336193682,0.17675772322557218,0.0,13.496985378600263,0.016318349167704582,1,,,72,0.9560392547379691,0.05572616336193682,13.496985378600263,1.2025963946823781,0,,,,,0,,,,
9514,checkpoint,92,False,True,0.3080938175562572,0.30083544290614134,1801.8936944235431,1.2426853064989953,0.8927003727498908,0.12686886209848947,0.7396330375833287,0.5648783842918935,0.8893020193862738,2.397240728464063,2.397240728464063,22,True,True,drift_required,False,True,2.12991728696489,1.412623782948934,0.7172935040159558,100.95029791067523,1.0972858468551656,0.646680903607192,1.277452409897947,0.2827653278341459,0.05205971825798099,0.0,12.53369368049302,0.015292495489120483,1,,,92,0.646680903607192,0.2827653278341459,12.53369368049302,1.0972858468551656,0,,,,,0,,,,
