seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean
103931,checkpoint,63,False,True,0.8241503666199002,0.34218199031906504,1285.9920174445424,0.8868910465134775,0.9118500829078389,-0.10095558922730441,0.7883829751982128,1.332813497542808,1.2379395401006854,2.793237902139527,2.793237902139527,23,True,True,unavoidable,False,True,2.625375381132208,1.785386950375448,0.83998843075676,73.46862687965243,1.1661686806294036,0.8916008407653117,1.787832060580861,0.16458219425113788,0.0175507248705882,0.0,13.28117014931403,0.021225014701485634,1,,,63,0.8916008407653117,0.16458219425113788,13.28117014931403,1.1661686806294036,0,,,,,0,,,,
103932,checkpoint,63,False,True,0.9337292982213792,0.4219874840934274,1381.591844123769,0.9528219614646684,0.823940692908381,-0.013256331075643724,1.276066603085484,0.6698688167207597,0.9957551646055218,2.320953060051788,2.320953060051788,14,True,True,unavoidable,False,True,2.7358378999378945,1.4655310161961874,1.270306883741707,73.3827517801359,1.164805583811681,1.117714656823995,2.789899712093785,0.055535377293731515,0.051213837212402594,0.0,10.973806821652095,0.026379641145467758,1,,,63,1.117714656823995,0.055535377293731515,10.973806821652095,1.164805583811681,0,,,,,0,,,,
103933,checkpoint,94,False,True,1.0113480193125999,0.47300418029438324,1372.0241285288366,0.946223536916439,1.14900478815704,-0.1382101054099969,1.0613815125624957,1.2622149752674126,0.7192951480573943,0.6378631368862825,0.6378631368862825,9,True,True,drift_required,False,True,6.621352533884479,1.9390456509089073,4.682306882975571,61.363092080724414,0.6527988519226001,3.251425461003696,6.80404437410575,0.024103712938194022,0.05169099879617949,0.0,11.293591255237168,0.024531807750463486,1,,,94,3.251425461003696,0.024103712938194022,11.293591255237168,0.6527988519226001,0,,,,,0,,,,
103934,checkpoint,73,False,True,0.7593489086717149,0.36283721058992796,1733.0748539943227,1.1952240372374638,0.9498842219569585,0.027804308178993375,1.103692213337515,0.726857051244623,0.6640238477578448,1.285878602709642,1.285878602709642,39,True,True,drift_required,False,True,2.975802101740615,1.6890759678231668,1.286726133917448,80.39728855247668,1.101332719896941,0.905322953557271,1.9961472285000212,0.1380666597197565,0.02595345449953718,0.0,11.324442374967186,0.020350780338048935,1,,,73,0.905322953557271,0.1380666597197565,11.324442374967186,1.101332719896941,0,,,,,0,,,,
103935,checkpoint,64,False,True,1.0741932233474778,0.4006877523461927,1332.7701544209185,0.9191518306351162,1.1319305011469443,-0.1331713861401278,1.0313429637852785,1.1817116889445003,1.142734592224914,2.5645252916877332,2.5645252916877332,8,True,True,unavoidable,False,True,3.9423806602063936,2.0355217957804332,1.9068588644259603,73.22126993638277,1.1440823427559808,0.8758561707570754,2.038522117871395,0.054886378741718936,0.03005261104565396,0.0,14.194577249637879,0.02809622325003147,1,,,64,0.8758561707570754,0.054886378741718936,14.194577249637879,1.1440823427559808,0,,,,,0,,,,
103936,checkpoint,38,True,False,0.3490491197829456,0.6357154686590544,1731.9796666117757,1.194468735594328,0.8250575873868311,-0.10306682475679652,1.2662060907873518,0.9564730880641636,1.082574859215745,2.2756079260439233,2.2756079260439233,28,True,True,unavoidable,True,False,1.8423694730762876,1.9524147372237342,-0.11004526414744653,7.236617724689424,0.19043730854445853,0.2098576826453992,0.45161058609102156,0.19111610526207776,0.09245896512554551,0.0,13.885748675274236,0.020891183987259865,1,,,38,0.2098576826453992,0.19111610526207776,13.885748675274236,0.19043730854445853,0,,,,,0,,,,
103937,checkpoint,61,False,True,0.6503077611268322,0.6722223713097786,1518.0344404986927,1.046920303792202,0.8388980916749592,-0.016286949442519738,1.0981581056712373,0.8483891008913348,1.234022146349906,2.3900311230216946,2.3900311230216946,22,True,True,drift_required,False,True,3.5832937963220037,1.6552690916340405,1.9280247046879633,74.1081521685497,1.2148877404680278,0.4954833254374155,0.8910404540810646,0.2439593056368208,0.06253707224102278,0.0,15.13023978984569,0.01972895674407482,1,,,61,0.4954833254374155,0.2439593056368208,15.13023978984569,1.2148877404680278,0,,,,,0,,,,
103938,checkpoint,64,False,True,0.4172063949635483,0.518412829725081,1534.9492616326077,1.0585856976776604,0.8526567985824924,-0.13096382586948807,1.1565485992204383,1.3168284275890214,0.9140721516310057,1.0269295149417734,1.0269295149417734,19,True,True,drift_required,False,True,2.46858992996013,1.9661746265806666,0.5024153033794634,85.17915971069915,1.3309243704796743,0.12723936073756642,0.30891850552296773,0.036744257469864657,0.11444291596445609,0.0,14.063736605944385,0.013083181343972683,1,,,64,0.12723936073756642,0.036744257469864657,14.063736605944385,1.3309243704796743,0,,,,,0,,,,
103939,checkpoint,72,False,True,0.5375767272499063,0.32926756455092343,1686.3765713652233,1.1630183250794643,1.0714370908379056,-0.05327932809694769,1.2571421485110092,1.1574471236113797,0.9939802090462031,1.12913664524013,1.12913664524013,9,True,True,drift_required,False,True,4.189860472520226,1.6719528465277933,2.5179076259924327,78.77564287883018,1.0941061510948638,0.789967997490772,1.4795279945450304,0.22857401869212757,0.058456498213192806,0.0,14.328643347361524,0.020712057128548622,1,,,72,0.789967997490772,0.22857401869212757,14.328643347361524,1.0941061510948638,0,,,,,0,,,,
103940,checkpoint,100,False,True,0.9177325836277213,0.3434143396335733,1467.1225093629819,1.011808627146884,0.960943574306472,0.013178249995125402,1.0948497595208564,0.6868067925776689,1.243699600105098,2.0802556143416586,2.0802556143416586,24,True,True,drift_required,False,True,7.0735189010242285,1.9448867442941316,5.128632156730097,71.15334894207703,0.7115334894207703,3.0165223329408275,7.025426861555097,0.13275192761036153,0.045275446665968895,0.0,10.768053506445817,0.023543234914541245,1,,,100,3.0165223329408275,0.13275192761036153,10.768053506445817,0.7115334894207703,0,,,,,0,,,,
