distribution,env_config,seed,policy_label,checkpoint,ablation,run_dir,episodes,success_rate,termination_rate,min_clearance_margin_mean,min_clearance_margin_min,return_mean,collision_rate,obstacle_completed_rate,truncated_rate
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed9505_m399_base_none,80,0.8625,0.1375,1.8341798305426678,-0.14684178670660808,65.95097745425979,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_none,80,0.8625,0.1375,1.8342333635687762,-0.1464812065240948,65.96807256772914,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,reset_recurrent_state,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_reset_recurrent_state,80,0.85,0.15,1.8330091232970418,-0.1690947231902422,64.0568339849752,0.125,0.85,0.85
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9505,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,zero_all_response,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed9505_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.851751424876348,-0.1444726999472432,61.10020884566959,0.125,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed9506_m399_base_none,80,0.8625,0.1375,1.8515292357989324,-0.14684178670660808,66.22893708657178,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_none,80,0.8625,0.1375,1.8515775433741262,-0.1464812065240948,66.24599488394962,0.1375,0.8625,0.8625
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,reset_recurrent_state,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_reset_recurrent_state,80,0.85,0.15,1.8492435498275057,-0.1690947231902422,64.34706297449864,0.125,0.85,0.85
behavior,configs/m121_human_view_zero_obstacle_relvel.json,9506,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,zero_all_response,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed9506_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.8695261871877045,-0.1444726999472432,61.36423527697112,0.125,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed103930_m399_base_none,80,0.8375,0.1625,1.75284582956732,-0.13071183513121198,66.88460961039978,0.1625,0.8375,0.8375
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed103930_m964_direction_target_a0_15_none,80,0.8375,0.1625,1.7530248459346125,-0.13053292126732274,66.87125740657288,0.1625,0.8375,0.8375
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,reset_recurrent_state,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed103930_m964_direction_target_a0_15_reset_recurrent_state,80,0.8125,0.1875,1.7462475830660604,-0.2049237999133282,63.24676505333973,0.1875,0.8125,0.8125
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103930,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,zero_all_response,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed103930_m964_direction_target_a0_15_zero_all_response,80,0.8,0.2,1.769196179804436,-0.19784851417879,62.110786057693076,0.1875,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103931,m399_base,runs/ppo_m1044_combined_active_set_guarded_smoke_seed61044/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed103931_m399_base_none,80,0.825,0.175,1.719470531015724,-0.13071183513121198,65.95776427190967,0.175,0.825,0.825
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103931,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,none,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed103931_m964_direction_target_a0_15_none,80,0.825,0.175,1.7196635466672294,-0.13053292126732274,65.94449109481461,0.175,0.825,0.825
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103931,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,reset_recurrent_state,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed103931_m964_direction_target_a0_15_reset_recurrent_state,80,0.8,0.2,1.7144075528292368,-0.2049237999133282,62.3189653942469,0.2,0.8,0.8
behavior,configs/m121_human_view_zero_obstacle_relvel.json,103931,m964_direction_target_a0_15,runs/ppo_m1047_guarded_repeat_seed61046/checkpoint.pt,zero_all_response,runs/m1047_guarded_ppo_repeat_seed61046/raw_candidate_gate/behavior_evals/behavior/seed103931_m964_direction_target_a0_15_zero_all_response,80,0.7875,0.2125,1.736491634471794,-0.19784851417879,61.174232936548904,0.2,0.7875,0.7875
