policy,key,seed,source_condition,source_step,paired_step,target_obstacle_distance,relocated_obstacle_body_y,relocated_obstacle_half_width,reference_normal_margin,reference_wrong_history_margin,reference_margin_gap,found_rows,accepted,normal_success,normal_margin,wrong_history_margin,margin_gap,margin_gap_delta_vs_reference
m399_base,9982|perturbed|45|39,9982,perturbed,45,39,9.5,-1.2,0.7,0.0149978353286703,-0.0261497596537358,0.0411475949824062,1,True,True,0.0020532400704811327,-0.034703620725986095,0.03675686079646723,-0.004390734185938973
m399_base,10033|perturbed|26|23,10033,perturbed,26,23,9.5,-1.2,0.8,0.0155923961580906,0.0026642238052345,0.012928172352856,1,True,True,0.00526930124281888,-0.004125380917342936,0.009394682160161816,-0.0035334901926941838
m399_base,10000|perturbed|41|32,10000,perturbed,41,32,10.5,-1.2,0.8,0.1031687161772374,0.1000000722786063,0.0031686438986311,1,True,True,0.10199263373267975,0.09954606665224208,0.002446567080437667,-0.000722076818193433
m399_base,10000|perturbed|35|32,10000,perturbed,35,32,11.0,-1.2,1.0,0.0123530219514804,0.0098659255114006,0.0024870964400798,1,False,True,0.01055491048339241,0.008683104427694932,0.001871806055697478,-0.0006152903843823221
m399_base,9951|perturbed|32|32,9951,perturbed,32,32,9.5,-1.2,0.9,0.1956232312023809,0.1931671709652069,0.0024560602371739,1,False,True,0.19393160181474256,0.1920757979000809,0.001855803914661669,-0.0006002563225122309
m399_base,9907|perturbed|27|18,9907,perturbed,27,18,10.5,-1.2,0.8,0.0073485332252682,-0.0118964383557684,0.0192449715810367,1,True,True,0.0074046280566639755,-0.01540230218437122,0.022806930241035195,0.003561958659998494
m399_base,9919|perturbed|37|31,9919,perturbed,37,31,10.0,-0.8,1.4,0.1280510241238719,0.125626650760763,0.0024243733631088,1,True,True,0.12584863677387403,0.12357532870655819,0.002273308067315849,-0.00015106529579295104
m399_base,9919|perturbed|37|31,9919,perturbed,37,31,10.0,-0.8,1.3,0.2280034102600425,0.225709853505799,0.0022935567542434,1,True,True,0.22584780167212148,0.22367725938524874,0.0021705422868727453,-0.0001230144673706546
m399_base,10004|perturbed|31|31,10004,perturbed,31,31,9.5,-1.0,0.8,0.0003408507153677,-0.0004319160483368,0.0007727667637045,1,False,True,0.0017705991276688593,0.0010480807500938827,0.0007225183775749766,-5.0248386129523345e-05
m399_base,10023|perturbed|12|12,10023,perturbed,12,12,11.0,-0.8,1.2,0.049366756123812,0.0473044881675295,0.0020622679562825,1,True,True,0.04874526198579776,0.04658699490535456,0.002158267080443199,9.599912416069934e-05
