profile_name,is_main_profile,seed_runs,completed_seed_runs,failed_seed_runs,private_holdout_used,promoted,profile_specific_tuning,actor_input_contract_changed,eval_success_rate_mean,eval_collision_rate_mean,eval_clearance_margin_mean_mean,eval_clearance_margin_p10_mean,eval_return_mean_mean,eval_termination_rate_mean,eval_steps_mean_mean,eval_min_clearance_margin_min_mean,eval_lateral_rmse_mean_mean,eval_beta_abs_error_mean_mean,eval_control_smoothness_mean,eval_spin_or_unstable_rate_mean,parameter_count_mean,all_selected_metrics_finite
L0_current_masked,True,1,1,0,False,False,False,False,0.15625,0.84375,0.020293680977260514,-0.1969951240589366,33.26761387122083,0.84375,56.703125,-0.26501069299247937,0.653397147269465,0.15729716585612621,0.0009586551341271843,0.0,9095.0,True
L1_one_step,True,1,1,0,False,False,False,False,0.234375,0.765625,0.0837955140410718,-0.17893637311260666,37.687028435125086,0.765625,57.375,-0.27947387134942625,0.6203936300889432,0.15693340200820918,0.0010618973828968592,0.0,9095.0,True
L2_window_100,True,1,1,0,False,False,False,False,0.25,0.328125,1.1865766617645916,-0.12242352289378537,27.539279249724466,0.75,65.15625,-0.2889275059274219,2.6607916706732615,0.13581254193439946,0.0030217382591217756,0.0,29895.0,True
L2_window_100_current_tiled,False,1,1,0,False,False,False,False,0.25,0.328125,1.1643618303779473,-0.14613036669249574,27.947946073263928,0.75,64.890625,-0.3018059529195274,2.651579968692172,0.1371855872131345,0.003535481169819832,0.0,29895.0,True
L2_window_13,True,1,1,0,False,False,False,False,0.25,0.328125,1.1865748135644156,-0.12239144984827832,27.53617475757816,0.75,65.15625,-0.28906014349157805,2.661069231557107,0.13581497423292713,0.0030185304494807497,0.0,29895.0,True
L2_window_13_current_tiled,False,1,1,0,False,False,False,False,0.25,0.328125,1.164752186578526,-0.14548144975743532,27.97768683697528,0.75,64.875,-0.3018208967586675,2.650573237035008,0.13719293085668716,0.0035276505623187404,0.0,29895.0,True
L2_window_25,True,1,1,0,False,False,False,False,0.25,0.328125,1.1865771733647625,-0.12242252029386329,27.539227972443037,0.75,65.15625,-0.2889289681452487,2.6607960882414554,0.1358125817138634,0.0030217523126339074,0.0,29895.0,True
L2_window_25_current_tiled,False,1,1,0,False,False,False,False,0.25,0.328125,1.1643610300553309,-0.14612517550784931,27.9479050303726,0.75,64.890625,-0.3018078621435414,2.6515881477320775,0.13718604286177205,0.0035354469691810664,0.0,29895.0,True
L2_window_50,True,1,1,0,False,False,False,False,0.25,0.328125,1.1865766804305127,-0.12242349815069166,27.53927894380277,0.75,65.15625,-0.28892750730888017,2.6607916868268937,0.13581254186890873,0.003021738557436038,0.0,29895.0,True
L2_window_50_current_tiled,False,1,1,0,False,False,False,False,0.25,0.328125,1.1643618570096503,-0.1461303189326002,27.947945696882314,0.75,64.890625,-0.3018059503900432,2.651579983404883,0.13718558703156836,0.0035354813626327086,0.0,29895.0,True
L3_online_gru,True,1,1,0,False,False,False,False,0.296875,0.703125,0.11823076080767582,-0.20805226436797486,42.49199510365076,0.703125,55.578125,-0.30248721143656065,0.5826184817079714,0.15792842289146994,0.0015948929394653533,0.0,42311.0,True
L3_reset_control_corrected,False,1,1,0,False,False,False,False,0.34375,0.65625,0.16299154565509288,-0.20520577343806637,45.01046383098486,0.65625,56.3125,-0.3084631652311236,0.5600473860200068,0.15830471183328051,0.0006299543874774827,0.0,42311.0,True
