profile_name,is_main_profile,seed_offset,training_seed,source_config_path,config_path,run_dir,checkpoint,train_log,returncode,status,failure,runtime_seconds,eval_runtime_seconds,parameter_count,private_holdout_used,promoted,profile_specific_tuning,actor_input_contract_changed,eval_policy,eval_episodes,eval_seed_base,eval_success_rate,eval_collision_rate,eval_clearance_margin_mean,eval_clearance_margin_p10,eval_min_clearance_margin_mean,eval_min_clearance_margin_min,eval_return_mean,eval_steps_mean,eval_termination_rate,eval_lateral_rmse_mean,eval_lateral_peak_mean,eval_beta_abs_error_mean,eval_control_smoothness,eval_spin_or_unstable_rate,eval_mu_min,eval_mu_max,finite_metrics
L0_current_masked,True,0,167400,configs/paper_route_corrected_profiles/m1207_l0_current_masked.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/train.log,0,completed,,3.6169586940668523,0.767461942974478,9095,False,False,False,False,checkpoint,64,167500,0.15625,0.84375,0.020293680977260514,-0.1969951240589366,0.020293680977260514,-0.26501069299247937,33.26761387122083,56.703125,0.84375,0.653397147269465,1.3207074813755613,0.15729716585612621,0.0009586551341271843,0.0,0.3126665724736634,1.1466185908402269,True
L1_one_step,True,0,167400,configs/paper_route_corrected_profiles/m1207_l1_one_step.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/train.log,0,completed,,3.0029379539191723,0.79769939603284,9095,False,False,False,False,checkpoint,64,167500,0.234375,0.765625,0.0837955140410718,-0.17893637311260666,0.0837955140410718,-0.27947387134942625,37.687028435125086,57.375,0.765625,0.6203936300889432,1.2353343379398574,0.15693340200820918,0.0010618973828968592,0.0,0.3126665724736634,1.1466185908402269,True
L2_window_100,True,0,167400,configs/paper_route_corrected_profiles/m1207_l2_window_100.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100/seed_167400/train.log,0,completed,,9.616478506010026,4.28859337605536,29895,False,False,False,False,checkpoint,64,167500,0.25,0.328125,1.1865766617645916,-0.12242352289378537,1.1865766617645916,-0.2889275059274219,27.539279249724466,65.15625,0.75,2.6607916706732615,5.911991608154127,0.13581254193439946,0.0030217382591217756,0.0,0.3126665724736634,1.1466185908402269,True
L2_window_100_current_tiled,False,0,167400,configs/paper_route_corrected_profiles/m1207_l2_window_100_current_tiled.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100_current_tiled/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100_current_tiled/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100_current_tiled/seed_167400/train.log,0,completed,,9.664015664951876,4.220034103142098,29895,False,False,False,False,checkpoint,64,167500,0.25,0.328125,1.1643618303779473,-0.14613036669249574,1.1643618303779473,-0.3018059529195274,27.947946073263928,64.890625,0.75,2.651579968692172,5.900298194309393,0.1371855872131345,0.003535481169819832,0.0,0.3126665724736634,1.1466185908402269,True
L2_window_13,True,0,167400,configs/paper_route_corrected_profiles/m1207_l2_window_13.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13/seed_167400/train.log,0,completed,,4.08264359110035,1.5140936521347612,29895,False,False,False,False,checkpoint,64,167500,0.25,0.328125,1.1865748135644156,-0.12239144984827832,1.1865748135644156,-0.28906014349157805,27.53617475757816,65.15625,0.75,2.661069231557107,5.912657072455918,0.13581497423292713,0.0030185304494807497,0.0,0.3126665724736634,1.1466185908402269,True
L2_window_13_current_tiled,False,0,167400,configs/paper_route_corrected_profiles/m1207_l2_window_13_current_tiled.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13_current_tiled/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13_current_tiled/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13_current_tiled/seed_167400/train.log,0,completed,,3.852881166152656,1.6448469168972224,29895,False,False,False,False,checkpoint,64,167500,0.25,0.328125,1.164752186578526,-0.14548144975743532,1.164752186578526,-0.3018208967586675,27.97768683697528,64.875,0.75,2.650573237035008,5.898319703875357,0.13719293085668716,0.0035276505623187404,0.0,0.3126665724736634,1.1466185908402269,True
L2_window_25,True,0,167400,configs/paper_route_corrected_profiles/m1207_l2_window_25.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25/seed_167400/train.log,0,completed,,4.7343429499305785,1.9523871641140431,29895,False,False,False,False,checkpoint,64,167500,0.25,0.328125,1.1865771733647625,-0.12242252029386329,1.1865771733647625,-0.2889289681452487,27.539227972443037,65.15625,0.75,2.6607960882414554,5.91200251753915,0.1358125817138634,0.0030217523126339074,0.0,0.3126665724736634,1.1466185908402269,True
L2_window_25_current_tiled,False,0,167400,configs/paper_route_corrected_profiles/m1207_l2_window_25_current_tiled.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25_current_tiled/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25_current_tiled/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25_current_tiled/seed_167400/train.log,0,completed,,4.782613060902804,2.0372239670250565,29895,False,False,False,False,checkpoint,64,167500,0.25,0.328125,1.1643610300553309,-0.14612517550784931,1.1643610300553309,-0.3018078621435414,27.9479050303726,64.890625,0.75,2.6515881477320775,5.90031726317312,0.13718604286177205,0.0035354469691810664,0.0,0.3126665724736634,1.1466185908402269,True
L2_window_50,True,0,167400,configs/paper_route_corrected_profiles/m1207_l2_window_50.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/train.log,0,completed,,6.365452636033297,2.8365436890162528,29895,False,False,False,False,checkpoint,64,167500,0.25,0.328125,1.1865766804305127,-0.12242349815069166,1.1865766804305127,-0.28892750730888017,27.53927894380277,65.15625,0.75,2.6607916868268937,5.911991644830724,0.13581254186890873,0.003021738557436038,0.0,0.3126665724736634,1.1466185908402269,True
L2_window_50_current_tiled,False,0,167400,configs/paper_route_corrected_profiles/m1207_l2_window_50_current_tiled.json,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50_current_tiled/seed_167400,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50_current_tiled/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50_current_tiled/seed_167400/train.log,0,completed,,6.263795088976622,2.83136476483196,29895,False,False,False,False,checkpoint,64,167500,0.25,0.328125,1.1643618570096503,-0.1461303189326002,1.1643618570096503,-0.3018059503900432,27.947945696882314,64.890625,0.75,2.651579983404883,5.900298224917103,0.13718558703156836,0.0035354813626327086,0.0,0.3126665724736634,1.1466185908402269,True
