base_task_source_id,task_family,source_edge,window_tag,executable_source_family,env_template_family,rejection_reason
m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0010,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0011,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0012,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0013,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,source_diverse_budget_exhausted
m1680-spec-0014,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0015,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0016,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0017,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0018,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0019,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0020,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,source_diverse_budget_exhausted
m1680-spec-0021,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0022,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0023,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0024,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0025,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,source_diverse_budget_exhausted
m1680-spec-0026,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0027,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,source_diverse_budget_exhausted
m1680-spec-0028,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,source_diverse_budget_exhausted
m1680-spec-0029,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,source_diverse_budget_exhausted
