base_task_source_id,task_family,source_edge,window_tag,executable_source_family,env_template_family,selection_order,selection_reason
m1680-spec-0000,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1,m1705_anchor
m1680-spec-0001,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,2,m1705_anchor
m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,3,m1705_anchor
m1680-spec-0036,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,4,m1705_anchor
m1680-spec-0039,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,curved_boundary_obstacle,t5_boundary_axis_retarget,5,m1705_anchor
m1680-spec-0040,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,t5_boundary_axis_retarget,t5_boundary_axis_retarget,6,m1705_anchor
m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,7,source_diverse_scale_up_greedy
m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,8,source_diverse_scale_up_greedy
m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,9,source_diverse_scale_up_greedy
m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,10,source_diverse_scale_up_greedy
m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,11,source_diverse_scale_up_greedy
m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,12,source_diverse_scale_up_greedy
m1680-spec-0037,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,brake_fade_or_loss_proxy,t5_near_boundary_warmup,13,source_diverse_scale_up_greedy
m1680-spec-0041,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,drive_loss_proxy,t5_near_boundary_warmup,14,source_diverse_scale_up_greedy
m1680-spec-0038,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,t5_near_boundary_warmup,t5_near_boundary_warmup,15,source_diverse_scale_up_greedy
m1680-spec-0042,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,t5_boundary_axis_retarget,t5_boundary_axis_retarget,16,source_diverse_scale_up_greedy
m1680-spec-0043,T5,t5_near_boundary_warmup|t5_boundary_axis_retarget,mapping_window_unspecified,t5_near_boundary_warmup,t5_near_boundary_warmup,17,source_diverse_scale_up_greedy
m1680-spec-0044,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,t5_near_boundary_warmup,t5_near_boundary_warmup,18,source_diverse_scale_up_greedy
