quota_name,repair_source_kind,source_role_semantics,normalized_surface_variant,expected_selected_count,actual_selected_count,quota_pass
anchor_post,anchor_neighborhood,stable_aeb,post_friction_step,16,16,True
anchor_steady,anchor_neighborhood,stable_aeb,steady_surface,16,16,True
success_stable_aeb_post,success_stabilizer,stable_aeb,post_friction_step,4,4,True
success_stable_aeb_steady,success_stabilizer,stable_aeb,steady_surface,4,4,True
success_stable_aes_post,success_stabilizer,stable_aes_only,post_friction_step,3,3,True
success_stable_aes_steady,success_stabilizer,stable_aes_only,steady_surface,3,3,True
success_drift_post,success_stabilizer,drift_required_recovery,post_friction_step,4,4,True
success_drift_steady,success_stabilizer,drift_required_recovery,steady_surface,2,2,True
success_unavoidable_post,success_stabilizer,unavoidable_mitigation,post_friction_step,1,1,True
success_unavoidable_steady,success_stabilizer,unavoidable_mitigation,steady_surface,3,3,True
offtrack_relief_stable_aes,offtrack_boundary_relief,stable_aes_only,relief_surface_unspecified,8,8,True
mitigation_unavoidable_post,mitigation_isolation_check,unavoidable_mitigation,post_friction_step,4,4,True
mitigation_unavoidable_steady,mitigation_isolation_check,unavoidable_mitigation,steady_surface,5,5,True
mitigation_stable_aeb_post,mitigation_isolation_check,stable_aeb,post_friction_step,4,4,True
mitigation_drift_steady,mitigation_isolation_check,drift_required_recovery,steady_surface,3,3,True
