repair_candidate_id,repair_source_kind,repair_source_family,source_split,offtrack_repair_mode,recovery_corridor_profile,parent_candidate_source_id,parent_task_source_id,parent_profile_name,parent_feasibility_tier_id,parent_source_role_semantics,parent_surface_variant,parent_sampled_obstacle_label,candidate_source_id,source_v1_bounded_panel_spec_id,source_scenario_spec_id,source_role_semantics,profile_name,profile_group,speed_ref,mu,friction_step_enabled,friction_step_at,grid_cell_count,accepted_cell_count,source_support_status,accepted_distance_min,accepted_distance_max,accepted_half_width_min,accepted_half_width_max,dominant_label,post_obstacle_track_width,base_geometry_source,labels_enter_actor_input,v2_ranking_admissible_by_default,profile_specific_tuning,controller_family_ranking_claim_made,paper_level_claim_made,level3_self_id_claim_made,selection_index,selection_quota_name,selection_protocol_version,normalized_surface_variant,diagnostic_only_no_ranking_claim
otsr_v0_0000_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_000,anchor_neighborhood_000,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood,otsr_v0_0000_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,50.0,58.0,0.6,0.9,aeb_feasible,6.0,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,1,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0001_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_001,anchor_neighborhood_001,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0001_anchor_neighborhood,otsr_v0_0001_anchor_neighborhood,otsr_v0_0001_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,50.0,58.0,0.5,0.8,aeb_feasible,6.0,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,2,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0002_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_002,anchor_neighborhood_002,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0002_anchor_neighborhood,otsr_v0_0002_anchor_neighborhood,otsr_v0_0002_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,50.0,58.0,0.6,0.9,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,3,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0003_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_003,anchor_neighborhood_003,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0003_anchor_neighborhood,otsr_v0_0003_anchor_neighborhood,otsr_v0_0003_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,50.0,58.0,0.5,0.8,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,4,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0004_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_004,anchor_neighborhood_004,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0004_anchor_neighborhood,otsr_v0_0004_anchor_neighborhood,otsr_v0_0004_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,50.0,58.0,0.6,0.9,aeb_feasible,6.5,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,5,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0005_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_005,anchor_neighborhood_005,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0005_anchor_neighborhood,otsr_v0_0005_anchor_neighborhood,otsr_v0_0005_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,50.0,58.0,0.5,0.8,aeb_feasible,6.5,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,6,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0006_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_006,anchor_neighborhood_006,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0006_anchor_neighborhood,otsr_v0_0006_anchor_neighborhood,otsr_v0_0006_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,50.0,58.0,0.6,0.9,aeb_feasible,6.75,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,7,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0007_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_007,anchor_neighborhood_007,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0007_anchor_neighborhood,otsr_v0_0007_anchor_neighborhood,otsr_v0_0007_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,50.0,58.0,0.5,0.8,aeb_feasible,6.75,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,8,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0008_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_008,anchor_neighborhood_008,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0008_anchor_neighborhood,otsr_v0_0008_anchor_neighborhood,otsr_v0_0008_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,52.0,60.0,0.6,0.9,aeb_feasible,6.0,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,9,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
otsr_v0_0009_anchor_neighborhood,anchor_neighborhood,59508488353534a8,public_debug,anchor_neighborhood_geometry_relief,bounded_anchor_relief,anchor_neighborhood_009,anchor_neighborhood_009,L1_one_step,tier_c_boundary_near_miss,stable_aeb,post_friction_step,aeb_feasible,otsr_v0_0009_anchor_neighborhood,otsr_v0_0009_anchor_neighborhood,otsr_v0_0009_anchor_neighborhood_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,supported,52.0,60.0,0.5,0.8,aeb_feasible,6.0,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False,10,anchor_post,task_quality_calibrated_materialization_subset_v0,post_friction_step,True
