slice_kind,dominance_type,episode_count,success_count,collision_count,offtrack_outcome_count,collision_rate,offtrack_outcome_rate,support_label,profile_name,repair_source_kind,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label
outcome_by_repair_source_kind,collision,192,13,106,73,0.5520833333333334,0.3802083333333333,candidate_support,,mitigation_isolation_check,,,,
outcome_by_selection_quota,collision,36,2,16,18,0.4444444444444444,0.5,weak_support,,,,,,
outcome_by_selection_quota,collision,48,3,28,17,0.5833333333333334,0.3541666666666667,weak_support,,,,,,
outcome_by_selection_quota,collision,60,5,55,0,0.9166666666666666,0.0,candidate_support,,,,,,
outcome_by_selection_quota,collision,12,1,8,3,0.6666666666666666,0.25,weak_support,,,,,,
outcome_by_selection_quota,collision,36,4,28,4,0.7777777777777778,0.1111111111111111,weak_support,,,,,,
outcome_by_role,collision,156,13,119,24,0.7628205128205128,0.15384615384615385,candidate_support,,,unavoidable_mitigation,,,
outcome_by_parent_tier,collision,108,11,83,14,0.7685185185185185,0.12962962962962962,candidate_support,,,,tier_d_handling_limit_drift_required,,
outcome_by_sampled_label,collision,156,13,119,24,0.7628205128205128,0.15384615384615385,candidate_support,,,,,,unavoidable
outcome_by_base_geometry,collision,480,38,150,292,0.3125,0.6083333333333333,candidate_support,,,,,,
outcome_by_profile_source_kind,collision,16,1,10,5,0.625,0.3125,weak_support,L0_current_masked,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,5,7,4,0.4375,0.25,candidate_support,L1_one_step,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,0,8,8,0.5,0.5,no_support,L2_window_100,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,0,9,7,0.5625,0.4375,no_support,L2_window_100_current_tiled,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,0,9,7,0.5625,0.4375,no_support,L2_window_13,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,0,8,8,0.5,0.5,no_support,L2_window_13_current_tiled,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,0,9,7,0.5625,0.4375,no_support,L2_window_25,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,0,9,7,0.5625,0.4375,no_support,L2_window_25_current_tiled,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,0,8,8,0.5,0.5,no_support,L2_window_50,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,0,8,8,0.5,0.5,no_support,L2_window_50_current_tiled,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,3,12,1,0.75,0.0625,weak_support,L3_online_gru,mitigation_isolation_check,,,,
outcome_by_profile_source_kind,collision,16,4,9,3,0.5625,0.1875,weak_support,L3_reset_control_corrected,mitigation_isolation_check,,,,
outcome_by_profile_parent_tier,collision,9,1,7,1,0.7777777777777778,0.1111111111111111,weak_support,L0_current_masked,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,7,0,4,3,0.5714285714285714,0.42857142857142855,no_support,L0_current_masked,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,9,3,6,0,0.6666666666666666,0.0,weak_support,L1_one_step,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,7,1,3,3,0.42857142857142855,0.42857142857142855,weak_support,L1_one_step,,,tier_e_mitigation_only,,
outcome_by_profile_parent_tier,collision,9,0,7,2,0.7777777777777778,0.2222222222222222,no_support,L2_window_100,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,12,0,4,8,0.3333333333333333,0.6666666666666666,no_support,L2_window_100_current_tiled,,,tier_b_feasible_emergency,,
outcome_by_profile_parent_tier,collision,9,0,7,2,0.7777777777777778,0.2222222222222222,no_support,L2_window_100_current_tiled,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,9,0,8,1,0.8888888888888888,0.1111111111111111,no_support,L2_window_13,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,9,0,8,1,0.8888888888888888,0.1111111111111111,no_support,L2_window_13_current_tiled,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,9,0,7,2,0.7777777777777778,0.2222222222222222,no_support,L2_window_25,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,12,0,4,8,0.3333333333333333,0.6666666666666666,no_support,L2_window_25_current_tiled,,,tier_b_feasible_emergency,,
outcome_by_profile_parent_tier,collision,9,0,8,1,0.8888888888888888,0.1111111111111111,no_support,L2_window_25_current_tiled,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,9,0,8,1,0.8888888888888888,0.1111111111111111,no_support,L2_window_50,,,tier_d_handling_limit_drift_required,,
outcome_by_profile_parent_tier,collision,9,0,7,2,0.7777777777777778,0.2222222222222222,no_support,L2_window_50_current_tiled,,,tier_d_handling_limit_drift_required,,
