profile_name,repair_source_kind,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,l2_episode_count,l2_success_count,l2_collision_count,l2_offtrack_outcome_count,l2_zero_success,non_l2_same_slice_success_count,non_l2_same_slice_success_profile_count,non_l2_same_slice_success_profiles,same_slice_non_l2_success_l2_zero_pattern
L2_window_100,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,16,0,0,16,True,0,0,,False
L2_window_100,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,16,0,0,16,True,0,0,,False
L2_window_100,mitigation_isolation_check,drift_required_recovery,tier_e_mitigation_only,steady_surface,drift_required,3,0,1,2,True,2,2,L1_one_step;L3_reset_control_corrected,True
L2_window_100,mitigation_isolation_check,stable_aeb,tier_e_mitigation_only,post_friction_step,aeb_feasible,4,0,0,4,True,3,2,L3_online_gru;L3_reset_control_corrected,True
L2_window_100,mitigation_isolation_check,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,2,0,2,0,True,3,2,L0_current_masked;L1_one_step,True
L2_window_100,mitigation_isolation_check,unavoidable_mitigation,tier_c_boundary_near_miss,post_friction_step,unavoidable,2,0,0,2,True,0,0,,False
L2_window_100,mitigation_isolation_check,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,5,0,5,0,True,5,3,L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_100,offtrack_boundary_relief,stable_aes_only,tier_not_applicable_offtrack_boundary_relief,relief_surface_unspecified,aes_feasible,8,0,0,8,True,0,0,,False
L2_window_100,success_stabilizer,drift_required_recovery,tier_b_feasible_emergency,post_friction_step,drift_required,2,0,0,2,True,0,0,,False
L2_window_100,success_stabilizer,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,drift_required,2,0,0,2,True,4,3,L0_current_masked;L1_one_step;L3_reset_control_corrected,True
L2_window_100,success_stabilizer,drift_required_recovery,tier_c_boundary_near_miss,steady_surface,drift_required,2,0,0,2,True,0,0,,False
L2_window_100,success_stabilizer,stable_aeb,tier_b_feasible_emergency,post_friction_step,aeb_feasible,2,0,0,2,True,0,0,,False
L2_window_100,success_stabilizer,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,2,0,0,2,True,3,3,L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_100,success_stabilizer,stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,4,0,0,4,True,2,2,L1_one_step;L3_online_gru,True
L2_window_100,success_stabilizer,stable_aes_only,tier_b_feasible_emergency,post_friction_step,aes_feasible,3,0,0,3,True,7,4,L0_current_masked;L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_100,success_stabilizer,stable_aes_only,tier_b_feasible_emergency,steady_surface,aes_feasible,2,0,0,2,True,2,2,L3_online_gru;L3_reset_control_corrected,True
L2_window_100,success_stabilizer,stable_aes_only,tier_d_handling_limit_drift_required,steady_surface,aes_feasible,1,0,0,1,True,2,2,L1_one_step;L3_reset_control_corrected,True
L2_window_100,success_stabilizer,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,1,0,1,0,True,1,1,L0_current_masked,True
L2_window_100,success_stabilizer,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,3,0,2,1,True,4,3,L0_current_masked;L3_online_gru;L3_reset_control_corrected,True
L2_window_100_current_tiled,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,16,0,0,16,True,0,0,,False
L2_window_100_current_tiled,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,16,0,0,16,True,0,0,,False
L2_window_100_current_tiled,mitigation_isolation_check,drift_required_recovery,tier_e_mitigation_only,steady_surface,drift_required,3,0,1,2,True,2,2,L1_one_step;L3_reset_control_corrected,True
L2_window_100_current_tiled,mitigation_isolation_check,stable_aeb,tier_e_mitigation_only,post_friction_step,aeb_feasible,4,0,0,4,True,3,2,L3_online_gru;L3_reset_control_corrected,True
L2_window_100_current_tiled,mitigation_isolation_check,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,2,0,2,0,True,3,2,L0_current_masked;L1_one_step,True
L2_window_100_current_tiled,mitigation_isolation_check,unavoidable_mitigation,tier_c_boundary_near_miss,post_friction_step,unavoidable,2,0,1,1,True,0,0,,False
L2_window_100_current_tiled,mitigation_isolation_check,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,5,0,5,0,True,5,3,L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_100_current_tiled,offtrack_boundary_relief,stable_aes_only,tier_not_applicable_offtrack_boundary_relief,relief_surface_unspecified,aes_feasible,8,0,0,8,True,0,0,,False
L2_window_100_current_tiled,success_stabilizer,drift_required_recovery,tier_b_feasible_emergency,post_friction_step,drift_required,2,0,1,1,True,0,0,,False
L2_window_100_current_tiled,success_stabilizer,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,drift_required,2,0,0,2,True,4,3,L0_current_masked;L1_one_step;L3_reset_control_corrected,True
L2_window_100_current_tiled,success_stabilizer,drift_required_recovery,tier_c_boundary_near_miss,steady_surface,drift_required,2,0,0,2,True,0,0,,False
L2_window_100_current_tiled,success_stabilizer,stable_aeb,tier_b_feasible_emergency,post_friction_step,aeb_feasible,2,0,0,2,True,0,0,,False
L2_window_100_current_tiled,success_stabilizer,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,2,0,0,2,True,3,3,L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_100_current_tiled,success_stabilizer,stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,4,0,0,4,True,2,2,L1_one_step;L3_online_gru,True
L2_window_100_current_tiled,success_stabilizer,stable_aes_only,tier_b_feasible_emergency,post_friction_step,aes_feasible,3,0,0,3,True,7,4,L0_current_masked;L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_100_current_tiled,success_stabilizer,stable_aes_only,tier_b_feasible_emergency,steady_surface,aes_feasible,2,0,0,2,True,2,2,L3_online_gru;L3_reset_control_corrected,True
L2_window_100_current_tiled,success_stabilizer,stable_aes_only,tier_d_handling_limit_drift_required,steady_surface,aes_feasible,1,0,0,1,True,2,2,L1_one_step;L3_reset_control_corrected,True
L2_window_100_current_tiled,success_stabilizer,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,1,0,1,0,True,1,1,L0_current_masked,True
L2_window_100_current_tiled,success_stabilizer,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,3,0,2,1,True,4,3,L0_current_masked;L3_online_gru;L3_reset_control_corrected,True
L2_window_13,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,16,0,0,16,True,0,0,,False
L2_window_13,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,16,0,0,16,True,0,0,,False
L2_window_13,mitigation_isolation_check,drift_required_recovery,tier_e_mitigation_only,steady_surface,drift_required,3,0,2,1,True,2,2,L1_one_step;L3_reset_control_corrected,True
L2_window_13,mitigation_isolation_check,stable_aeb,tier_e_mitigation_only,post_friction_step,aeb_feasible,4,0,0,4,True,3,2,L3_online_gru;L3_reset_control_corrected,True
L2_window_13,mitigation_isolation_check,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,2,0,2,0,True,3,2,L0_current_masked;L1_one_step,True
L2_window_13,mitigation_isolation_check,unavoidable_mitigation,tier_c_boundary_near_miss,post_friction_step,unavoidable,2,0,0,2,True,0,0,,False
L2_window_13,mitigation_isolation_check,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,5,0,5,0,True,5,3,L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_13,offtrack_boundary_relief,stable_aes_only,tier_not_applicable_offtrack_boundary_relief,relief_surface_unspecified,aes_feasible,8,0,0,8,True,0,0,,False
L2_window_13,success_stabilizer,drift_required_recovery,tier_b_feasible_emergency,post_friction_step,drift_required,2,0,0,2,True,0,0,,False
L2_window_13,success_stabilizer,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,drift_required,2,0,0,2,True,4,3,L0_current_masked;L1_one_step;L3_reset_control_corrected,True
L2_window_13,success_stabilizer,drift_required_recovery,tier_c_boundary_near_miss,steady_surface,drift_required,2,0,0,2,True,0,0,,False
L2_window_13,success_stabilizer,stable_aeb,tier_b_feasible_emergency,post_friction_step,aeb_feasible,2,0,0,2,True,0,0,,False
L2_window_13,success_stabilizer,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,2,0,0,2,True,3,3,L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_13,success_stabilizer,stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,4,0,0,4,True,2,2,L1_one_step;L3_online_gru,True
L2_window_13,success_stabilizer,stable_aes_only,tier_b_feasible_emergency,post_friction_step,aes_feasible,3,0,0,3,True,7,4,L0_current_masked;L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_13,success_stabilizer,stable_aes_only,tier_b_feasible_emergency,steady_surface,aes_feasible,2,0,0,2,True,2,2,L3_online_gru;L3_reset_control_corrected,True
L2_window_13,success_stabilizer,stable_aes_only,tier_d_handling_limit_drift_required,steady_surface,aes_feasible,1,0,0,1,True,2,2,L1_one_step;L3_reset_control_corrected,True
L2_window_13,success_stabilizer,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,1,0,0,1,True,1,1,L0_current_masked,True
L2_window_13,success_stabilizer,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,3,0,3,0,True,4,3,L0_current_masked;L3_online_gru;L3_reset_control_corrected,True
L2_window_13_current_tiled,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,16,0,0,16,True,0,0,,False
L2_window_13_current_tiled,anchor_neighborhood,stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,16,0,0,16,True,0,0,,False
L2_window_13_current_tiled,mitigation_isolation_check,drift_required_recovery,tier_e_mitigation_only,steady_surface,drift_required,3,0,1,2,True,2,2,L1_one_step;L3_reset_control_corrected,True
L2_window_13_current_tiled,mitigation_isolation_check,stable_aeb,tier_e_mitigation_only,post_friction_step,aeb_feasible,4,0,0,4,True,3,2,L3_online_gru;L3_reset_control_corrected,True
L2_window_13_current_tiled,mitigation_isolation_check,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,2,0,1,1,True,3,2,L0_current_masked;L1_one_step,True
L2_window_13_current_tiled,mitigation_isolation_check,unavoidable_mitigation,tier_c_boundary_near_miss,post_friction_step,unavoidable,2,0,1,1,True,0,0,,False
L2_window_13_current_tiled,mitigation_isolation_check,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,5,0,5,0,True,5,3,L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_13_current_tiled,offtrack_boundary_relief,stable_aes_only,tier_not_applicable_offtrack_boundary_relief,relief_surface_unspecified,aes_feasible,8,0,0,8,True,0,0,,False
L2_window_13_current_tiled,success_stabilizer,drift_required_recovery,tier_b_feasible_emergency,post_friction_step,drift_required,2,0,0,2,True,0,0,,False
L2_window_13_current_tiled,success_stabilizer,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,drift_required,2,0,0,2,True,4,3,L0_current_masked;L1_one_step;L3_reset_control_corrected,True
L2_window_13_current_tiled,success_stabilizer,drift_required_recovery,tier_c_boundary_near_miss,steady_surface,drift_required,2,0,0,2,True,0,0,,False
L2_window_13_current_tiled,success_stabilizer,stable_aeb,tier_b_feasible_emergency,post_friction_step,aeb_feasible,2,0,0,2,True,0,0,,False
L2_window_13_current_tiled,success_stabilizer,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,2,0,0,2,True,3,3,L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_13_current_tiled,success_stabilizer,stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,4,0,0,4,True,2,2,L1_one_step;L3_online_gru,True
L2_window_13_current_tiled,success_stabilizer,stable_aes_only,tier_b_feasible_emergency,post_friction_step,aes_feasible,3,0,0,3,True,7,4,L0_current_masked;L1_one_step;L3_online_gru;L3_reset_control_corrected,True
L2_window_13_current_tiled,success_stabilizer,stable_aes_only,tier_b_feasible_emergency,steady_surface,aes_feasible,2,0,0,2,True,2,2,L3_online_gru;L3_reset_control_corrected,True
L2_window_13_current_tiled,success_stabilizer,stable_aes_only,tier_d_handling_limit_drift_required,steady_surface,aes_feasible,1,0,0,1,True,2,2,L1_one_step;L3_reset_control_corrected,True
L2_window_13_current_tiled,success_stabilizer,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,1,0,1,0,True,1,1,L0_current_masked,True
L2_window_13_current_tiled,success_stabilizer,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,3,0,3,0,True,4,3,L0_current_masked;L3_online_gru;L3_reset_control_corrected,True
