slice_kind,dominance_type,episode_count,success_count,collision_count,offtrack_outcome_count,collision_rate,offtrack_outcome_rate,support_label,profile_name,repair_source_kind,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label
outcome_by_profile,offtrack,80,0,11,69,0.1375,0.8625,no_support,L2_window_100,,,,,
outcome_by_profile,offtrack,80,0,13,67,0.1625,0.8375,no_support,L2_window_100_current_tiled,,,,,
outcome_by_profile,offtrack,80,0,12,68,0.15,0.85,no_support,L2_window_13,,,,,
outcome_by_profile,offtrack,80,0,12,68,0.15,0.85,no_support,L2_window_13_current_tiled,,,,,
outcome_by_profile,offtrack,80,0,12,68,0.15,0.85,no_support,L2_window_25,,,,,
outcome_by_profile,offtrack,80,0,14,66,0.175,0.825,no_support,L2_window_25_current_tiled,,,,,
outcome_by_profile,offtrack,80,0,12,68,0.15,0.85,no_support,L2_window_50,,,,,
outcome_by_profile,offtrack,80,0,11,69,0.1375,0.8625,no_support,L2_window_50_current_tiled,,,,,
outcome_by_repair_source_kind,offtrack,384,0,0,384,0.0,1.0,no_support,,anchor_neighborhood,,,,
outcome_by_repair_source_kind,offtrack,96,0,0,96,0.0,1.0,no_support,,offtrack_boundary_relief,,,,
outcome_by_selection_quota,offtrack,192,0,0,192,0.0,1.0,no_support,,,,,,
outcome_by_selection_quota,offtrack,192,0,0,192,0.0,1.0,no_support,,,,,,
outcome_by_selection_quota,offtrack,96,0,0,96,0.0,1.0,no_support,,,,,,
outcome_by_selection_quota,offtrack,24,0,0,24,0.0,1.0,no_support,,,,,,
outcome_by_selection_quota,offtrack,48,3,0,45,0.0,0.9375,weak_support,,,,,,
outcome_by_selection_quota,offtrack,48,2,0,46,0.0,0.9583333333333334,weak_support,,,,,,
outcome_by_selection_quota,offtrack,36,7,0,29,0.0,0.8055555555555556,weak_support,,,,,,
outcome_by_selection_quota,offtrack,36,4,0,32,0.0,0.8888888888888888,weak_support,,,,,,
outcome_by_role,offtrack,528,8,7,513,0.013257575757575758,0.9715909090909091,weak_support,,,stable_aeb,,,
outcome_by_role,offtrack,168,11,0,157,0.0,0.9345238095238095,weak_support,,,stable_aes_only,,,
outcome_by_parent_tier,offtrack,528,9,12,507,0.022727272727272728,0.9602272727272727,weak_support,,,,tier_c_boundary_near_miss,,
outcome_by_parent_tier,offtrack,96,0,0,96,0.0,1.0,no_support,,,,tier_not_applicable_offtrack_boundary_relief,,
outcome_by_parent_surface,offtrack,96,0,0,96,0.0,1.0,no_support,,,,,,
outcome_by_parent_surface,offtrack,432,21,51,360,0.11805555555555555,0.8333333333333334,weak_support,,,,,,
