profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,outcome_by_profile,candidate_support,80,6,13,61,61,0.075,0.1625,0.7625,0.7625,20.430296239290826,5.591014710758103,21.1375,True,6,13,61,61,13,6
L1_one_step,outcome_by_profile,candidate_support,80,11,12,57,57,0.1375,0.15,0.7125,0.7125,20.455739951255826,7.631325906484871,21.5375,True,11,12,57,57,12,11
L2_window_100,outcome_by_profile,no_support,80,0,11,69,74,0.0,0.1375,0.8625,0.925,21.799389269162727,1.3721188104945932,18.125,True,0,11,69,74,6,0
L2_window_100_current_tiled,outcome_by_profile,no_support,80,0,13,67,75,0.0,0.1625,0.8375,0.9375,21.86077166471238,0.8948001043381788,18.0,True,0,13,67,75,5,0
L2_window_13,outcome_by_profile,no_support,80,0,12,68,74,0.0,0.15,0.85,0.925,21.96076224906003,0.5472223185924701,17.925,True,0,12,68,74,6,0
L2_window_13_current_tiled,outcome_by_profile,no_support,80,0,12,68,73,0.0,0.15,0.85,0.9125,21.919112384292838,0.6381236163410634,17.9,True,0,12,68,73,7,0
L2_window_25,outcome_by_profile,no_support,80,0,12,68,70,0.0,0.15,0.85,0.875,21.78550106001203,0.9633776141713977,18.175,True,0,12,68,70,10,0
L2_window_25_current_tiled,outcome_by_profile,no_support,80,0,14,66,73,0.0,0.175,0.825,0.9125,21.936990188770274,0.8505137275947637,17.85,True,0,14,66,73,7,0
L2_window_50,outcome_by_profile,no_support,80,0,12,68,71,0.0,0.15,0.85,0.8875,21.951740788484354,1.0980621253494722,17.9375,True,0,12,68,71,9,0
L2_window_50_current_tiled,outcome_by_profile,no_support,80,0,11,69,73,0.0,0.1375,0.8625,0.9125,21.940880932196645,1.329206386676011,17.8875,True,0,11,69,73,7,0
L3_online_gru,outcome_by_profile,comparison_ready_candidate_without_profile_diversity_check,80,9,16,55,56,0.1125,0.2,0.6875,0.7,20.382759059471645,9.126593074567545,20.9375,True,9,16,55,56,15,9
L3_reset_control_corrected,outcome_by_profile,candidate_support,80,12,12,56,56,0.15,0.15,0.7,0.7,20.367217255380904,10.094732141057824,21.2375,True,12,12,56,56,12,12
