profile_name,repair_source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,41.339988713785836,7.361791757232457,18.46875,True,0,0,32,32,0,0
L0_current_masked,mitigation_isolation_check,outcome_by_profile_source_kind,weak_support,16,1,10,5,5,0.0625,0.625,0.3125,0.3125,0.4076468723372694,-3.1799686224481123,21.8125,True,1,10,5,5,10,1
L0_current_masked,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,15.249306342108802,7.29257180734715,18.25,True,0,0,8,8,0,0
L0_current_masked,success_stabilizer,outcome_by_profile_source_kind,comparison_ready_candidate_without_profile_diversity_check,24,5,3,16,16,0.20833333333333334,0.125,0.6666666666666666,0.6666666666666666,7.626135816993858,8.51011517206676,25.208333333333332,True,5,3,16,16,3,5
L1_one_step,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,41.263539730546405,6.819714860161662,18.59375,True,0,0,32,32,0,0
L1_one_step,mitigation_isolation_check,outcome_by_profile_source_kind,candidate_support,16,5,7,4,4,0.3125,0.4375,0.25,0.25,0.3925842214719148,7.020522852713873,23.1875,True,5,7,4,4,7,5
L1_one_step,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,14.989338762322582,8.405146630999527,18.625,True,0,0,8,8,0,0
L1_one_step,success_stabilizer,outcome_by_profile_source_kind,comparison_ready_candidate_without_profile_diversity_check,24,6,5,13,13,0.25,0.20833333333333334,0.5416666666666666,0.5416666666666666,7.909577795035413,8.862735762591594,25.333333333333332,True,6,5,13,13,5,6
L2_window_100,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,42.62479716277291,3.612858102003774,16.53125,True,0,0,32,32,0,0
L2_window_100,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,16,0,8,8,12,0.0,0.5,0.5,0.75,1.0845107641927252,-5.109986526464492,19.5,True,0,8,8,12,4,0
L2_window_100,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,15.960913505295713,4.847705331048295,16.875,True,0,0,8,8,0,0
L2_window_100,success_stabilizer,outcome_by_profile_source_kind,no_support,24,0,3,21,22,0.0,0.125,0.875,0.9166666666666666,9.788256335618154,1.5473411396038408,19.75,True,0,3,21,22,2,0
L2_window_100_current_tiled,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,42.86799276554498,3.606473024402213,16.21875,True,0,0,32,32,0,0
L2_window_100_current_tiled,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,16,0,9,7,12,0.0,0.5625,0.4375,0.75,1.064871530308136,-6.513853233560895,19.375,True,0,9,7,12,4,0
L2_window_100_current_tiled,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.347516353071093,3.6342641181834834,16.375,True,0,0,8,8,0,0
L2_window_100_current_tiled,success_stabilizer,outcome_by_profile_source_kind,no_support,24,0,4,20,23,0.0,0.16666666666666666,0.8333333333333334,0.9583333333333334,9.552828723752171,1.3051837649037477,20.0,True,0,4,20,23,1,0
L2_window_13,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,42.90489645221027,3.1605866180046314,16.21875,True,0,0,32,32,0,0
L2_window_13,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,16,0,9,7,12,0.0,0.5625,0.4375,0.75,1.0970402077942518,-6.690111636596126,19.4375,True,0,9,7,12,4,0
L2_window_13,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.505397976421925,4.315548265637756,16.25,True,0,0,8,8,0,0
L2_window_13,success_stabilizer,outcome_by_profile_source_kind,no_support,24,0,3,21,22,0.0,0.125,0.875,0.9166666666666666,9.7628527632496,0.6315172404868904,19.75,True,0,3,21,22,2,0
L2_window_13_current_tiled,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,42.88704477476306,3.337427730537355,16.1875,True,0,0,32,32,0,0
L2_window_13_current_tiled,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,16,0,8,8,11,0.0,0.5,0.5,0.6875,1.099180291173222,-6.3332960120533315,19.3125,True,0,8,8,11,5,0
L2_window_13_current_tiled,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,16.34235284419221,4.197080284256103,16.375,True,0,0,8,8,0,0
L2_window_13_current_tiled,success_stabilizer,outcome_by_profile_source_kind,no_support,24,0,4,20,22,0.0,0.16666666666666666,0.8333333333333334,0.9166666666666666,9.700743772445817,0.5003456603705915,19.75,True,0,4,20,22,2,0
L2_window_25,anchor_neighborhood,outcome_by_profile_source_kind,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,42.64749171418536,3.6843139276639754,16.5,True,0,0,32,32,0,0
