workload_id,candidate_source_id,task_source_id,profile_name,repair_source_kind,selection_quota_name,source_role_semantics,parent_feasibility_tier_id,parent_surface_variant,normalized_surface_variant,sampled_obstacle_label,base_geometry_source,representative_cell_rule,outcome_bucket,termination_reason,min_clearance_margin,return,steps
tqcm_exec_v0_0035_otsr_v0_0084_success_stabilizer::L1_one_step,otsr_v0_0084_success_stabilizer,tqcm_exec_v0_0035_otsr_v0_0084_success_stabilizer,L1_one_step,success_stabilizer,success_stable_aeb_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,aeb_feasible,m1928::parent_task_source_id,stable_aeb_max_threshold_then_farther_distance,success_obstacle_pass,,6.4617009465182775,34.39210078471121,31
tqcm_exec_v0_0035_otsr_v0_0084_success_stabilizer::L3_online_gru,otsr_v0_0084_success_stabilizer,tqcm_exec_v0_0035_otsr_v0_0084_success_stabilizer,L3_online_gru,success_stabilizer,success_stable_aeb_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,aeb_feasible,m1928::parent_task_source_id,stable_aeb_max_threshold_then_farther_distance,success_obstacle_pass,,6.189381827298293,42.08772834389603,30
tqcm_exec_v0_0035_otsr_v0_0084_success_stabilizer::L3_reset_control_corrected,otsr_v0_0084_success_stabilizer,tqcm_exec_v0_0035_otsr_v0_0084_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_stable_aeb_post,stable_aeb,tier_c_boundary_near_miss,post_friction_step,post_friction_step,aeb_feasible,m1928::parent_task_source_id,stable_aeb_max_threshold_then_farther_distance,success_obstacle_pass,,3.7632466228187464,23.060899701602693,31
tqcm_exec_v0_0036_otsr_v0_0110_success_stabilizer::L1_one_step,otsr_v0_0110_success_stabilizer,tqcm_exec_v0_0036_otsr_v0_0110_success_stabilizer,L1_one_step,success_stabilizer,success_stable_aeb_steady,stable_aeb,tier_c_boundary_near_miss,steady_surface,steady_surface,aeb_feasible,m1928::parent_task_source_id,stable_aeb_max_threshold_then_farther_distance,success_obstacle_pass,,7.274595609320542,36.34140237315117,35
tqcm_exec_v0_0037_otsr_v0_0111_success_stabilizer::L3_online_gru,otsr_v0_0111_success_stabilizer,tqcm_exec_v0_0037_otsr_v0_0111_success_stabilizer,L3_online_gru,success_stabilizer,success_stable_aeb_steady,stable_aeb,tier_c_boundary_near_miss,steady_surface,steady_surface,aeb_feasible,m1928::parent_task_source_id,stable_aeb_max_threshold_then_farther_distance,success_obstacle_pass,,7.079397950385592,43.68455389344751,30
tqcm_exec_v0_0040_otsr_v0_0103_success_stabilizer::L0_current_masked,otsr_v0_0103_success_stabilizer,tqcm_exec_v0_0040_otsr_v0_0103_success_stabilizer,L0_current_masked,success_stabilizer,success_stable_aes_post,stable_aes_only,tier_b_feasible_emergency,post_friction_step,post_friction_step,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,2.445036084591449,28.612309082620346,30
tqcm_exec_v0_0040_otsr_v0_0103_success_stabilizer::L1_one_step,otsr_v0_0103_success_stabilizer,tqcm_exec_v0_0040_otsr_v0_0103_success_stabilizer,L1_one_step,success_stabilizer,success_stable_aes_post,stable_aes_only,tier_b_feasible_emergency,post_friction_step,post_friction_step,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,3.6185961409140646,37.005980474189585,29
tqcm_exec_v0_0040_otsr_v0_0103_success_stabilizer::L3_online_gru,otsr_v0_0103_success_stabilizer,tqcm_exec_v0_0040_otsr_v0_0103_success_stabilizer,L3_online_gru,success_stabilizer,success_stable_aes_post,stable_aes_only,tier_b_feasible_emergency,post_friction_step,post_friction_step,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,2.1228970383385612,28.957207279503688,29
tqcm_exec_v0_0040_otsr_v0_0103_success_stabilizer::L3_reset_control_corrected,otsr_v0_0103_success_stabilizer,tqcm_exec_v0_0040_otsr_v0_0103_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_stable_aes_post,stable_aes_only,tier_b_feasible_emergency,post_friction_step,post_friction_step,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,1.857776234955153,28.410136803635076,29
tqcm_exec_v0_0041_otsr_v0_0070_success_stabilizer::L0_current_masked,otsr_v0_0070_success_stabilizer,tqcm_exec_v0_0041_otsr_v0_0070_success_stabilizer,L0_current_masked,success_stabilizer,success_stable_aes_post,stable_aes_only,tier_b_feasible_emergency,post_friction_step,post_friction_step,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,3.2511823069202377,28.207643571971353,29
tqcm_exec_v0_0041_otsr_v0_0070_success_stabilizer::L1_one_step,otsr_v0_0070_success_stabilizer,tqcm_exec_v0_0041_otsr_v0_0070_success_stabilizer,L1_one_step,success_stabilizer,success_stable_aes_post,stable_aes_only,tier_b_feasible_emergency,post_friction_step,post_friction_step,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,2.4481215326143233,21.025429181086736,29
tqcm_exec_v0_0041_otsr_v0_0070_success_stabilizer::L3_online_gru,otsr_v0_0070_success_stabilizer,tqcm_exec_v0_0041_otsr_v0_0070_success_stabilizer,L3_online_gru,success_stabilizer,success_stable_aes_post,stable_aes_only,tier_b_feasible_emergency,post_friction_step,post_friction_step,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,3.014867249960723,35.788616384584124,29
tqcm_exec_v0_0044_otsr_v0_0067_success_stabilizer::L3_online_gru,otsr_v0_0067_success_stabilizer,tqcm_exec_v0_0044_otsr_v0_0067_success_stabilizer,L3_online_gru,success_stabilizer,success_stable_aes_steady,stable_aes_only,tier_b_feasible_emergency,steady_surface,steady_surface,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,3.5298226646262414,22.35014623743247,21
tqcm_exec_v0_0044_otsr_v0_0067_success_stabilizer::L3_reset_control_corrected,otsr_v0_0067_success_stabilizer,tqcm_exec_v0_0044_otsr_v0_0067_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_stable_aes_steady,stable_aes_only,tier_b_feasible_emergency,steady_surface,steady_surface,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,3.4986445066865297,22.23771870415604,21
tqcm_exec_v0_0045_otsr_v0_0091_success_stabilizer::L1_one_step,otsr_v0_0091_success_stabilizer,tqcm_exec_v0_0045_otsr_v0_0091_success_stabilizer,L1_one_step,success_stabilizer,success_stable_aes_steady,stable_aes_only,tier_d_handling_limit_drift_required,steady_surface,steady_surface,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,2.429383387184383,24.531027870911885,31
tqcm_exec_v0_0045_otsr_v0_0091_success_stabilizer::L3_reset_control_corrected,otsr_v0_0091_success_stabilizer,tqcm_exec_v0_0045_otsr_v0_0091_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_stable_aes_steady,stable_aes_only,tier_d_handling_limit_drift_required,steady_surface,steady_surface,aes_feasible,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,2.545870260969049,32.79038722077633,30
tqcm_exec_v0_0048_otsr_v0_0076_success_stabilizer::L0_current_masked,otsr_v0_0076_success_stabilizer,tqcm_exec_v0_0048_otsr_v0_0076_success_stabilizer,L0_current_masked,success_stabilizer,success_drift_post,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,post_friction_step,drift_required,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,2.7689326402667715,26.08135276025034,31
tqcm_exec_v0_0048_otsr_v0_0076_success_stabilizer::L3_reset_control_corrected,otsr_v0_0076_success_stabilizer,tqcm_exec_v0_0048_otsr_v0_0076_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_drift_post,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,post_friction_step,drift_required,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,3.132480410135761,37.742858012045616,30
tqcm_exec_v0_0049_otsr_v0_0107_success_stabilizer::L1_one_step,otsr_v0_0107_success_stabilizer,tqcm_exec_v0_0049_otsr_v0_0107_success_stabilizer,L1_one_step,success_stabilizer,success_drift_post,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,post_friction_step,drift_required,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,2.913000323797587,21.141340599983685,31
tqcm_exec_v0_0049_otsr_v0_0107_success_stabilizer::L3_reset_control_corrected,otsr_v0_0107_success_stabilizer,tqcm_exec_v0_0049_otsr_v0_0107_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_drift_post,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,post_friction_step,drift_required,m1928::parent_task_source_id,boundary_min_threshold_then_closer_wider,success_obstacle_pass,,3.54235101695547,37.902979410329834,29
tqcm_exec_v0_0052_otsr_v0_0073_success_stabilizer::L0_current_masked,otsr_v0_0073_success_stabilizer,tqcm_exec_v0_0052_otsr_v0_0073_success_stabilizer,L0_current_masked,success_stabilizer,success_unavoidable_post,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,post_friction_step,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.2818947850114002,28.422976190558828,29
tqcm_exec_v0_0054_otsr_v0_0092_success_stabilizer::L0_current_masked,otsr_v0_0092_success_stabilizer,tqcm_exec_v0_0054_otsr_v0_0092_success_stabilizer,L0_current_masked,success_stabilizer,success_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.013421852509595489,16.721271064469477,18
tqcm_exec_v0_0054_otsr_v0_0092_success_stabilizer::L3_online_gru,otsr_v0_0092_success_stabilizer,tqcm_exec_v0_0054_otsr_v0_0092_success_stabilizer,L3_online_gru,success_stabilizer,success_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.13992412759584694,22.649338022068598,18
tqcm_exec_v0_0054_otsr_v0_0092_success_stabilizer::L3_reset_control_corrected,otsr_v0_0092_success_stabilizer,tqcm_exec_v0_0054_otsr_v0_0092_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.012466760503001773,16.74230862537351,18
tqcm_exec_v0_0055_otsr_v0_0095_success_stabilizer::L3_reset_control_corrected,otsr_v0_0095_success_stabilizer,tqcm_exec_v0_0055_otsr_v0_0095_success_stabilizer,L3_reset_control_corrected,success_stabilizer,success_unavoidable_steady,unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,steady_surface,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,1.4394364759027214,26.062573348594007,17
tqcm_exec_v0_0065_otsr_v0_0144_mitigation_isolation_check::L1_one_step,otsr_v0_0144_mitigation_isolation_check,tqcm_exec_v0_0065_otsr_v0_0144_mitigation_isolation_check,L1_one_step,mitigation_isolation_check,mitigation_unavoidable_post,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,post_friction_step,unavoidable,m1928::parent_task_source_id,mitigation_closer_wider_then_threshold,success_obstacle_pass,,0.1901327175145897,29.041340660849396,29
