source_role_semantics,feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,candidate_count,supported_source_count,accepted_cell_count_total
drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,drift_required,4,3,23
drift_required_recovery,tier_d_handling_limit_drift_required,steady_surface,unavoidable,2,1,9
drift_required_recovery,tier_e_mitigation_only,steady_surface,drift_required,2,2,51
stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,66,66,3990
stable_aeb,tier_c_boundary_near_miss,steady_surface,aeb_feasible,8,8,392
stable_aeb,tier_e_mitigation_only,post_friction_step,aeb_feasible,3,3,105
stable_aes_only,tier_b_feasible_emergency,post_friction_step,aes_feasible,12,12,247
stable_aes_only,tier_b_feasible_emergency,steady_surface,aes_feasible,2,2,60
stable_aes_only,tier_d_handling_limit_drift_required,steady_surface,aes_feasible,2,1,15
stable_aes_only,tier_not_applicable_offtrack_boundary_relief,relief_surface_unspecified,aes_feasible,32,32,2464
unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,4,4,50
unavoidable_mitigation,tier_d_handling_limit_drift_required,post_friction_step,unavoidable,2,0,0
unavoidable_mitigation,tier_d_handling_limit_drift_required,steady_surface,unavoidable,53,50,952
