repair_candidate_id,repair_axis,repair_source_kind,repair_source_family,source_split,recovery_corridor_profile,mitigation_metric_mode,parent_candidate_source_id,parent_task_source_id,parent_profile_name,parent_repair_source_kind,parent_selection_quota_name,parent_feasibility_tier_id,parent_source_role_semantics,parent_surface_variant,parent_normalized_surface_variant,parent_sampled_obstacle_label,parent_base_geometry_source,parent_outcome_bucket,parent_termination_reason,target_feasibility_tier_id,target_source_role_semantics,target_surface_variant,target_normalized_surface_variant,target_sampled_obstacle_label,candidate_source_id,source_v1_bounded_panel_spec_id,source_scenario_spec_id,source_role_semantics,profile_name,profile_group,speed_ref,mu,friction_step_enabled,friction_step_at,grid_cell_count,accepted_cell_count,min_accepted_cells,source_support_status,source_support_failure_reason,accepted_distance_min,accepted_distance_max,accepted_half_width_min,accepted_half_width_max,dominant_label,dominant_reject_reason,label_counts,reject_reason_counts,feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,post_obstacle_track_width,base_geometry_source,labels_enter_actor_input,v2_ranking_admissible_by_default,profile_specific_tuning,controller_family_ranking_claim_made,paper_level_claim_made,level3_self_id_claim_made
cosr_v0_0000_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_000,offtrack_anchor_relief_000,slice_anchor,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief,cosr_v0_0000_offtrack_anchor_relief_scenario,stable_aeb,slice_anchor,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,50.0,58.0,0.6,0.9,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0001_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_001,offtrack_anchor_relief_001,L0_current_masked,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0001_offtrack_anchor_relief,cosr_v0_0001_offtrack_anchor_relief,cosr_v0_0001_offtrack_anchor_relief_scenario,stable_aeb,L0_current_masked,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,52.0,60.0,0.6,0.9,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0002_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_002,offtrack_anchor_relief_002,L1_one_step,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0002_offtrack_anchor_relief,cosr_v0_0002_offtrack_anchor_relief,cosr_v0_0002_offtrack_anchor_relief_scenario,stable_aeb,L1_one_step,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,54.0,62.0,0.6,0.9,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0003_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_003,offtrack_anchor_relief_003,L2_window_100,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0003_offtrack_anchor_relief,cosr_v0_0003_offtrack_anchor_relief,cosr_v0_0003_offtrack_anchor_relief_scenario,stable_aeb,L2_window_100,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,56.0,64.0,0.6,0.9,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0004_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_004,offtrack_anchor_relief_004,L2_window_100_current_tiled,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0004_offtrack_anchor_relief,cosr_v0_0004_offtrack_anchor_relief,cosr_v0_0004_offtrack_anchor_relief_scenario,stable_aeb,L2_window_100_current_tiled,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,50.0,58.0,0.5499999999999999,0.85,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0005_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_005,offtrack_anchor_relief_005,L2_window_13,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0005_offtrack_anchor_relief,cosr_v0_0005_offtrack_anchor_relief,cosr_v0_0005_offtrack_anchor_relief_scenario,stable_aeb,L2_window_13,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,52.0,60.0,0.5499999999999999,0.85,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0006_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_006,offtrack_anchor_relief_006,L2_window_13_current_tiled,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0006_offtrack_anchor_relief,cosr_v0_0006_offtrack_anchor_relief,cosr_v0_0006_offtrack_anchor_relief_scenario,stable_aeb,L2_window_13_current_tiled,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,54.0,62.0,0.5499999999999999,0.85,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0007_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_007,offtrack_anchor_relief_007,L2_window_25,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0007_offtrack_anchor_relief,cosr_v0_0007_offtrack_anchor_relief,cosr_v0_0007_offtrack_anchor_relief_scenario,stable_aeb,L2_window_25,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,56.0,64.0,0.5499999999999999,0.85,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.25,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0008_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_008,offtrack_anchor_relief_008,L2_window_25_current_tiled,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0008_offtrack_anchor_relief,cosr_v0_0008_offtrack_anchor_relief,cosr_v0_0008_offtrack_anchor_relief_scenario,stable_aeb,L2_window_25_current_tiled,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,50.0,58.0,0.5,0.8,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.5,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
cosr_v0_0009_offtrack_anchor_relief,offtrack_anchor_relief,anchor_neighborhood,4178ce2f098eb75e,public_debug,anchor_offtrack_relief,not_mitigation,offtrack_anchor_relief_009,offtrack_anchor_relief_009,L2_window_50,anchor_neighborhood,,tier_c_boundary_near_miss,stable_aeb,,post_friction_step,aeb_feasible,,,,tier_c_boundary_near_miss,stable_aeb,post_friction_step,post_friction_step,aeb_feasible,cosr_v0_0009_offtrack_anchor_relief,cosr_v0_0009_offtrack_anchor_relief,cosr_v0_0009_offtrack_anchor_relief_scenario,stable_aeb,L2_window_50,stable_aeb,18.0,0.4,True,20,63,63,3,supported,none,52.0,60.0,0.5,0.8,aeb_feasible,,"{""aeb_feasible"": 63}","{""accepted"": 63}",tier_c_boundary_near_miss,post_friction_step,aeb_feasible,6.5,m1950_calibrated_anchor_fallback::post_friction_step,False,False,False,False,False,False
