profile_name,parent_feasibility_tier_id,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,tier_b_feasible_emergency,outcome_by_profile_parent_tier,candidate_support,7,5,2,0,0,0.7142857142857143,0.2857142857142857,0.0,0.0,1.612993840614744,19.25516134820435,29.285714285714285,True,5,2,0,0,2,5
L0_current_masked,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,weak_support,32,3,0,29,29,0.09375,0.0,0.90625,0.90625,31.937588203924903,9.62347606112911,23.78125,True,3,0,29,29,0,3
L0_current_masked,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.03910269432809286,-9.245193086368161,11.65,True,0,19,1,1,19,0
L0_current_masked,tier_e_mitigation_only,outcome_by_profile_parent_tier,weak_support,5,1,1,3,3,0.2,0.2,0.6,0.6,1.9616831683353397,8.31897758640151,28.2,True,1,1,3,3,1,1
L0_current_masked,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.70494947776517,8.015476520527177,22.875,True,0,0,16,16,0,0
L1_one_step,tier_b_feasible_emergency,outcome_by_profile_parent_tier,weak_support,7,4,1,2,2,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.5683703633291777,19.233398331246203,29.285714285714285,True,4,1,2,2,1,4
L1_one_step,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,weak_support,32,3,0,29,29,0.09375,0.0,0.90625,0.90625,31.613878796851512,10.174065844050839,24.46875,True,3,0,29,29,0,3
L1_one_step,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.02883872820332033,-8.785610232916946,11.85,True,0,19,1,1,19,0
L1_one_step,tier_e_mitigation_only,outcome_by_profile_parent_tier,weak_support,5,2,1,2,2,0.4,0.2,0.4,0.4,2.257492540930916,15.10442984333206,29.4,True,2,1,2,2,1,2
L1_one_step,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.74334561821295,8.6530180072824,22.8125,True,0,0,16,16,0,0
L2_window_100,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,1,6,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,2.0966297018094044,2.3201567612121012,24.428571428571427,True,0,1,6,6,1,0
L2_window_100,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,33.85899631347965,3.2837477781419344,20.03125,True,0,0,32,32,0,0
L2_window_100,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.017823567062928158,-10.85108101722887,11.4,True,0,19,1,1,19,0
L2_window_100,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,3,0.0,0.4,0.6,0.6,4.326338255489633,-3.1020713182319977,23.0,True,0,2,3,3,2,0
L2_window_100,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.381012255927082,4.1901408000298055,19.8125,True,0,0,16,16,0,0
L2_window_100_current_tiled,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,1,6,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,1.5681877501710466,2.938240673364361,24.857142857142858,True,0,1,6,6,1,0
L2_window_100_current_tiled,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,33.711292094363294,3.47817697986704,20.125,True,0,0,32,32,0,0
L2_window_100_current_tiled,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.05149363459195,-10.787082745921868,11.35,True,0,19,1,1,19,0
L2_window_100_current_tiled,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,3,0.0,0.4,0.6,0.6,4.155922397327182,-5.410860012722119,23.4,True,0,2,3,3,2,0
L2_window_100_current_tiled,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.190069135996618,3.878791826414213,19.9375,True,0,0,16,16,0,0
L2_window_13,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,1,6,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,2.1273503441058432,2.9755800626454394,24.285714285714285,True,0,1,6,6,1,0
L2_window_13,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,33.83220637130166,3.0082878996992255,20.0625,True,0,0,32,32,0,0
L2_window_13,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.06562504060421137,-10.803472036430566,11.5,True,0,19,1,1,19,0
L2_window_13,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,3,0.0,0.4,0.6,0.6,4.030438608930064,-1.6277882340521699,23.6,True,0,2,3,3,2,0
L2_window_13,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.630154046321046,3.7023051301010357,19.5,True,0,0,16,16,0,0
L2_window_13_current_tiled,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,2,5,6,0.0,0.2857142857142857,0.7142857142857143,0.8571428571428571,1.9926857412907368,0.2336471759072373,24.285714285714285,True,0,2,5,6,1,0
L2_window_13_current_tiled,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,34.0661608759873,3.666840674047964,19.65625,True,0,0,32,32,0,0
L2_window_13_current_tiled,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.014214971345516424,-10.806249694076918,11.4,True,0,19,1,1,19,0
L2_window_13_current_tiled,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,4,0.0,0.4,0.6,0.8,3.9975032841470757,-4.760288424549036,23.6,True,0,2,3,4,1,0
L2_window_13_current_tiled,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,11.932711727955684,6.106492408254444,20.25,True,0,0,16,16,0,0
L2_window_25,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,3,4,5,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,1.7392058628323777,-1.0599968871646896,24.714285714285715,True,0,3,4,5,2,0
L2_window_25,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,33.85285719299486,3.8283238690668164,20.03125,True,0,0,32,32,0,0
L2_window_25,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,2,0.0,0.95,0.05,0.1,-0.08678371594403658,-10.771048088203818,11.55,True,0,19,1,2,18,0
L2_window_25,tier_e_mitigation_only,outcome_by_profile_parent_tier,no_support,5,0,2,3,3,0.0,0.4,0.6,0.6,4.202276929799483,-3.7679057760491603,23.4,True,0,2,3,3,2,0
L2_window_25,tier_not_applicable_offtrack_boundary_relief,outcome_by_profile_parent_tier,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.143437910610688,4.194676831703251,20.125,True,0,0,16,16,0,0
L2_window_25_current_tiled,tier_b_feasible_emergency,outcome_by_profile_parent_tier,no_support,7,0,1,6,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,1.754463184566205,4.405214794089155,24.571428571428573,True,0,1,6,6,1,0
L2_window_25_current_tiled,tier_c_boundary_near_miss,outcome_by_profile_parent_tier,no_support,32,0,0,32,32,0.0,0.0,1.0,1.0,34.04225800684374,3.3811026856774458,19.71875,True,0,0,32,32,0,0
L2_window_25_current_tiled,tier_d_handling_limit_drift_required,outcome_by_profile_parent_tier,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.08685561279609473,-10.568252992552221,11.5,True,0,19,1,1,19,0
