profile_name,repair_source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,40.817547248896126,8.149364390050952,21.333333333333332,True,0,0,24,24,0,0
L0_current_masked,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.03910269432809286,-9.245193086368161,11.65,True,0,19,1,1,19,0
L0_current_masked,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.70494947776517,8.015476520527177,22.875,True,0,0,16,16,0,0
L0_current_masked,success_stabilizer,outcome_by_profile_source_kind,comparison_ready_candidate_without_profile_diversity_check,20,9,3,8,8,0.45,0.15,0.4,0.4,3.1740530639034845,14.437375298217336,29.75,True,9,3,8,8,3,9
L1_one_step,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,40.58807334129511,8.615244343649936,21.708333333333332,True,0,0,24,24,0,0
L1_one_step,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,-0.02883872820332033,-8.785610232916946,11.85,True,0,19,1,1,19,0
L1_one_step,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,10.74334561821295,8.6530180072824,22.8125,True,0,0,16,16,0,0
L1_one_step,success_stabilizer,outcome_by_profile_source_kind,comparison_ready_candidate_without_profile_diversity_check,20,9,2,9,9,0.45,0.1,0.45,0.45,2.989820827806226,16.448009014870603,30.7,True,9,2,9,9,2,9
L2_window_100,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,42.44156691543672,3.3273302923165264,18.75,True,0,0,24,24,0,0
L2_window_100,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.017823567062928158,-10.85108101722887,11.4,True,0,19,1,1,19,0
L2_window_100,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.381012255927082,4.1901408000298055,19.8125,True,0,0,16,16,0,0
L2_window_100,success_stabilizer,outcome_by_profile_source_kind,no_support,20,0,3,17,17,0.0,0.15,0.85,0.85,5.059918762549087,1.2977371311134998,23.85,True,0,3,17,17,3,0
L2_window_100_current_tiled,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,42.22612368561214,3.783054565719187,18.916666666666668,True,0,0,24,24,0,0
L2_window_100_current_tiled,mitigation_isolation_check,outcome_by_profile_source_kind,no_support,20,0,19,1,1,0.0,0.95,0.05,0.05,0.05149363459195,-10.787082745921868,11.35,True,0,19,1,1,19,0
L2_window_100_current_tiled,offtrack_boundary_relief,outcome_by_profile_source_kind,no_support,16,0,0,16,16,0.0,0.0,1.0,1.0,12.190069135996618,3.878791826414213,19.9375,True,0,0,16,16,0,0
L2_window_100_current_tiled,success_stabilizer,outcome_by_profile_source_kind,no_support,20,0,3,17,17,0.0,0.15,0.85,0.85,4.854565240138371,0.7010869214212359,24.05,True,0,3,17,17,3,0
L2_window_13,anchor_neighborhood,outcome_by_profile_source_kind,no_support,24,0,0,24,24,0.0,0.0,1.0,1.0,42.3379249443354,3.271875227907375,18.875,True,0,0,24,24,0,0
