action_id,panel_task_family,action_type,source_origin,source_kind,panel_source_id,reason
repair-0000,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,anchor_neighborhood,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,increase T1 count and reduce success_stabilizer singleton dominance
repair-0001,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,mitigation_isolation_check,m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,increase T1 count and reduce success_stabilizer singleton dominance
repair-0002,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,offtrack_boundary_relief,m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,increase T1 count and reduce success_stabilizer singleton dominance
repair-0003,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,anchor_neighborhood,m2026-t1-m1983_outcome_support-cosr_v0_0001_offtrack_anchor_relief,increase T1 count and reduce success_stabilizer singleton dominance
repair-0004,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,mitigation_isolation_check,m2026-t1-m1983_outcome_support-cosr_v0_0145_collision_mitigation_relief,increase T1 count and reduce success_stabilizer singleton dominance
repair-0005,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,offtrack_boundary_relief,m2026-t1-m1983_outcome_support-cosr_v0_0065_offtrack_boundary_relief_extension,increase T1 count and reduce success_stabilizer singleton dominance
repair-0006,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,anchor_neighborhood,m2026-t1-m1983_outcome_support-cosr_v0_0002_offtrack_anchor_relief,increase T1 count and reduce success_stabilizer singleton dominance
repair-0007,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,mitigation_isolation_check,m2026-t1-m1983_outcome_support-cosr_v0_0146_collision_mitigation_relief,increase T1 count and reduce success_stabilizer singleton dominance
repair-0008,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,offtrack_boundary_relief,m2026-t1-m1983_outcome_support-cosr_v0_0066_offtrack_boundary_relief_extension,increase T1 count and reduce success_stabilizer singleton dominance
repair-0009,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,anchor_neighborhood,m2026-t1-m1983_outcome_support-cosr_v0_0003_offtrack_anchor_relief,increase T1 count and reduce success_stabilizer singleton dominance
repair-0010,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,mitigation_isolation_check,m2026-t1-m1983_outcome_support-cosr_v0_0147_collision_mitigation_relief,increase T1 count and reduce success_stabilizer singleton dominance
repair-0011,T1_reactive_active_safety,add_t1_source,m1983_outcome_support,offtrack_boundary_relief,m2026-t1-m1983_outcome_support-cosr_v0_0067_offtrack_boundary_relief_extension,increase T1 count and reduce success_stabilizer singleton dominance
repair-0012,T2_same_current_different_older_history,unresolved_no_clean_topup_in_current_artifacts,,,,current M1680/M2023 pool has no additional clean same-family sources; route to audit rather than weakening thresholds or duplicating sources
repair-0013,T3_active_diagnostic_warmup,unresolved_no_clean_topup_in_current_artifacts,,,,current M1680/M2023 pool has no additional clean same-family sources; route to audit rather than weakening thresholds or duplicating sources
