action_id,panel_task_family,action_type,source_kind,panel_source_id,reason
generation-0000,T2_same_current_different_older_history,add_generated_source,same_current_brake_authority_older_history_proxy,m2029-t2-same_current_brake_authority_older_history_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0001,T2_same_current_different_older_history,add_generated_source,same_current_brake_authority_older_history_proxy,m2029-t2-same_current_brake_authority_older_history_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0002,T2_same_current_different_older_history,add_generated_source,same_current_brake_authority_older_history_proxy,m2029-t2-same_current_brake_authority_older_history_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0003,T2_same_current_different_older_history,add_generated_source,same_current_brake_authority_older_history_proxy,m2029-t2-same_current_brake_authority_older_history_proxy-03,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0004,T2_same_current_different_older_history,add_generated_source,same_current_brake_authority_older_history_proxy,m2029-t2-same_current_brake_authority_older_history_proxy-04,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0005,T2_same_current_different_older_history,add_generated_source,same_current_brake_authority_older_history_proxy,m2029-t2-same_current_brake_authority_older_history_proxy-05,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0006,T2_same_current_different_older_history,add_generated_source,same_current_yaw_authority_older_history_proxy,m2029-t2-same_current_yaw_authority_older_history_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0007,T2_same_current_different_older_history,add_generated_source,same_current_yaw_authority_older_history_proxy,m2029-t2-same_current_yaw_authority_older_history_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0008,T2_same_current_different_older_history,add_generated_source,same_current_yaw_authority_older_history_proxy,m2029-t2-same_current_yaw_authority_older_history_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0009,T2_same_current_different_older_history,add_generated_source,same_current_yaw_authority_older_history_proxy,m2029-t2-same_current_yaw_authority_older_history_proxy-03,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0010,T2_same_current_different_older_history,add_generated_source,same_current_yaw_authority_older_history_proxy,m2029-t2-same_current_yaw_authority_older_history_proxy-04,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0011,T2_same_current_different_older_history,add_generated_source,same_current_yaw_authority_older_history_proxy,m2029-t2-same_current_yaw_authority_older_history_proxy-05,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0012,T2_same_current_different_older_history,add_generated_source,same_current_steer_lag_older_history_proxy,m2029-t2-same_current_steer_lag_older_history_proxy-00,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0013,T2_same_current_different_older_history,add_generated_source,same_current_steer_lag_older_history_proxy,m2029-t2-same_current_steer_lag_older_history_proxy-01,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0014,T2_same_current_different_older_history,add_generated_source,same_current_steer_lag_older_history_proxy,m2029-t2-same_current_steer_lag_older_history_proxy-02,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0015,T2_same_current_different_older_history,add_generated_source,same_current_steer_lag_older_history_proxy,m2029-t2-same_current_steer_lag_older_history_proxy-03,increase T2/T3 source-kind diversity with no-rollout generated source rows
generation-0016,T2_same_current_different_older_history,add_generated_source,same_current_steer_lag_older_history_proxy,m2029-t2-same_current_steer_lag_older_history_proxy-04,increase T2/T3 source-kind diversity with no-rollout generated source rows
