panel_source_id,panel_task_family,source_origin,source_kind,source_edge,window_tag,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,source_reference
m2020-active-safety-0000,T1_reactive_active_safety,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required,m2020_public_diagnostic,drift_required_recovery,tier_c_boundary_near_miss,post_friction_step,drift_required,success_stabilizer|drift_required_recovery|tier_c_boundary_near_miss|post_friction_step|drift_required
m2020-active-safety-0001,T1_reactive_active_safety,m2020_multi_slice_bounded_diagnostic,success_stabilizer,drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required,m2020_public_diagnostic,drift_required_recovery,tier_e_mitigation_only,steady_surface,drift_required,success_stabilizer|drift_required_recovery|tier_e_mitigation_only|steady_surface|drift_required
m2020-active-safety-0002,T1_reactive_active_safety,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2020_public_diagnostic,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,success_stabilizer|stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible
m2020-active-safety-0003,T1_reactive_active_safety,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible,m2020_public_diagnostic,stable_aeb,tier_e_mitigation_only,post_friction_step,aeb_feasible,success_stabilizer|stable_aeb|tier_e_mitigation_only|post_friction_step|aeb_feasible
m2020-active-safety-0004,T1_reactive_active_safety,m2020_multi_slice_bounded_diagnostic,success_stabilizer,stable_aes_only|tier_b_feasible_emergency|post_friction_step|aes_feasible,m2020_public_diagnostic,stable_aes_only,tier_b_feasible_emergency,post_friction_step,aes_feasible,success_stabilizer|stable_aes_only|tier_b_feasible_emergency|post_friction_step|aes_feasible
m2020-active-safety-0005,T1_reactive_active_safety,m2020_multi_slice_bounded_diagnostic,success_stabilizer,unavoidable_mitigation|tier_b_feasible_emergency|post_friction_step|unavoidable,m2020_public_diagnostic,unavoidable_mitigation,tier_b_feasible_emergency,post_friction_step,unavoidable,success_stabilizer|unavoidable_mitigation|tier_b_feasible_emergency|post_friction_step|unavoidable
m1680-spec-0000,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,actuator_delay_step|capability_step_up,reveal_plus_4,clean_history_control_public_pairs,T4,capability_step_up,actuator_delay_step,m1595_selector_balanced_clean_source_repair_smoke::selected-0001|right_target
m1680-spec-0001,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,public_measured_intervention_candidate,T4,actuator_delay_step,t4_capability_step_temporal,m1538::pair-0013
m1680-spec-0002,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,public_measured_intervention_candidate,T4,capability_step_down,t4_actuator_delay_response,m1538::pair-0012
m1680-spec-0003,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_actuator_delay_response,actuator_delay_step,m1538::pair-0005
m1680-spec-0004,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_actuator_delay_response,capability_step_up,m1538::pair-0004
m1680-spec-0005,T2_same_current_different_older_history,m1680_controller_family_task_source,capability_step_proxy,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_capability_step_temporal,capability_step_down,m1538::pair-0002
m1680-spec-0006,T2_same_current_different_older_history,m1680_controller_family_task_source,capability_step_proxy+warmup_proxy,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_staged_warmup_capability,capability_step_up,m1538::pair-0000
m1680-spec-0007,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,actuator_delay_step|capability_step_up,reveal_plus_4,clean_history_control_public_pairs,T4,capability_step_up,actuator_delay_step,m1595_selector_balanced_clean_source_repair_smoke::selected-0025|right_target
m1680-spec-0008,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,public_measured_intervention_candidate,T4,actuator_delay_step,t4_capability_step_temporal,m1538::pair-0013
m1680-spec-0009,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,public_measured_intervention_candidate,T4,capability_step_down,t4_actuator_delay_response,m1538::pair-0012
m1680-spec-0010,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_actuator_delay_response,actuator_delay_step,m1538::pair-0005
m1680-spec-0011,T2_same_current_different_older_history,m1680_controller_family_task_source,actuator_delay_proxy+capability_step_proxy,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_actuator_delay_response,capability_step_up,m1538::pair-0004
m1680-spec-0012,T2_same_current_different_older_history,m1680_controller_family_task_source,capability_step_proxy,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,public_measured_intervention_candidate,T4,t4_capability_step_temporal,capability_step_down,m1538::pair-0003
