seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,termination_reason,obstacle_passed_raw,completion_reason,outcome_bucket,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,dt,track_width,first_obstacle_pass_step,first_obstacle_pass_time_s,first_recovery_step,first_recovery_time_s,recovery_success,recovery_time_proxy,max_abs_beta,max_abs_yaw_rate,drift_used,controlled_drift_recovery_success,impact_speed_proxy,impact_beta_abs,impact_yaw_rate_abs,impact_severity_proxy,collision_mitigation_score,max_off_track_overshoot,time_to_first_off_track_s,off_track_severity_proxy,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,workload_id,task_source_id,panel_source_id,panel_task_family,source_origin,source_kind,source_edge,window_tag,source_role_semantics,parent_feasibility_tier_id,normalized_surface_variant,sampled_obstacle_label,source_reference,materialization_semantics,proxy_template_family,generated_source_row,paper_validity_claim,profile_name,profile_config_path,checkpoint_path,eval_seed,success,controlled_routing_smoke_measured_execution,environment_rollout_started,policy_action_executed,measured_rollout_started,training_started,replay_started,ppo_used,promoted,private_holdout_used,actor_input_contract_changed,profile_specific_tuning,controller_family_ranking_claim_made,finite_window_vs_gru_conclusion_made,paper_level_claim_made,level3_self_id_claim_made,reset_sampled_obstacle_label
203900,checkpoint,87,True,False,0.8279474821965743,0.8279474821965743,1526.6184522293547,1.0528403118823135,0.9473860941832798,0.06327193964208577,1.1092227739099636,1.1352475411120104,0.8158592237076833,2.0510068096436544,2.0510068096436544,,False,True,aeb_feasible,False,False,6.490177268464728,1.8228848986921273,4.667292369772601,off_track,False,off_track,off_track_noncollision_noncompletion,10.15870432515106,0.11676671638104667,2.31404754583332,5.040771887864956,0.629424591688377,0.021682546842251096,0.0,8.919389150582589,0.002573417266830802,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.021682546842251096,0.39589139608293983,False,False,nan,nan,nan,nan,0.0,0.04077188786495611,1.74,0.04077188786495611,87,2.31404754583332,0.629424591688377,8.919389150582589,0.11676671638104667,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L0_current_masked,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L0_current_masked,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,203900,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203901,checkpoint,67,True,False,0.7012839879979953,0.7012839879979953,1484.0944706335367,1.0235134280231288,1.184843321562124,-0.05737370541083875,0.86590151408368,1.1416196521139301,1.035325443812021,1.0930597776946478,1.0930597776946478,,False,True,aeb_feasible,True,False,1.6370035269079133,1.6466786130741142,-0.009675086166200941,obstacle_collision,False,obstacle_collision,collision_failure,26.091448696411568,0.3894246074091279,1.3835128757365474,2.992377645681554,0.4524772816240458,0.03074495761999395,0.0,9.17636389840149,0.0018765897257253528,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.03074495761999395,0.4323744932798296,False,False,9.138827946229389,0.0027296373590069574,0.028829420487201936,9.191451137788617,9.191451137788617,0.0,nan,0.0,67,1.3835128757365474,0.4524772816240458,9.17636389840149,0.3894246074091279,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L1_one_step,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L1_one_step,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,203901,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203902,checkpoint,69,True,False,0.44089327880876666,0.44089327880876666,1253.0400287434663,0.8641655370644595,0.9821056219345367,-0.018324728024462056,0.9586518660011121,0.6130154751616659,0.7813694346317656,1.312709757522187,1.312709757522187,,False,True,aeb_feasible,False,False,11.663090489484938,2.063217575786827,9.59987291369811,off_track,False,off_track,off_track_noncollision_noncompletion,12.632808202387857,0.18308417684620082,2.2902693579462645,5.144729636188114,0.6322844833753717,0.06848220773981996,0.0,8.65154982627063,0.002526127500459552,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.06848220773981996,0.5163681327000356,False,False,nan,nan,nan,nan,0.0,0.14472963618811363,1.3800000000000001,0.14472963618811363,69,2.2902693579462645,0.6322844833753717,8.65154982627063,0.18308417684620082,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L2_window_100,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L2_window_100,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100/seed_167400/checkpoint.pt,203902,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203903,checkpoint,63,True,False,0.5159824128162525,0.5159824128162525,1736.1660301066972,1.197355882832205,1.1379173944990342,0.06920615762362514,0.8459705407821164,0.7790076579623902,0.9482973201413092,2.06299872921646,2.06299872921646,,False,True,aeb_feasible,False,False,15.542758308134427,1.7014875927227369,13.84127071541169,off_track,False,off_track,off_track_noncollision_noncompletion,8.977095956634756,0.1424935866132501,2.4708989469757197,5.068836436475067,0.5930613847697853,0.06947728338725855,0.0,9.145902562372715,0.003003915073350072,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.06947728338725855,0.452499396289963,False,False,nan,nan,nan,nan,0.0,0.06883643647506688,1.26,0.06883643647506688,63,2.4708989469757197,0.5930613847697853,9.145902562372715,0.1424935866132501,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L2_window_100_current_tiled,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L2_window_100_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100_current_tiled/seed_167400/checkpoint.pt,203903,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203904,checkpoint,91,True,False,0.3440517832184713,0.3440517832184713,1530.2827763220562,1.0553674319462456,1.248821794849269,0.08104829306186612,0.8552164870411075,1.1221165054979163,0.7878875549540586,1.332519098432768,1.332519098432768,,False,True,aeb_feasible,False,False,2.059361690328224,1.9768380220213064,0.08252366830691749,off_track,False,off_track,off_track_noncollision_noncompletion,10.470083300341415,0.11505586044331224,2.217305498617545,5.0656507503897075,0.5315500492856746,0.04661211221663546,0.0,6.7583789050646725,0.001929734367877245,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.04661211221663546,0.3501741047869493,False,False,nan,nan,nan,nan,0.0,0.06565075038970747,1.82,0.06565075038970747,91,2.217305498617545,0.5315500492856746,6.7583789050646725,0.11505586044331224,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L2_window_13,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L2_window_13,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13/seed_167400/checkpoint.pt,203904,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203905,checkpoint,60,True,False,0.6111642581984889,0.6111642581984889,1391.7493364923384,0.9598271286154059,1.0208889049661887,0.06035526689700932,1.0887844712103818,0.8557355367644137,1.0440316415334747,1.0460936324863563,1.0460936324863563,,False,True,aeb_feasible,False,False,2.376975669277696,1.989300770174435,0.38767489910326125,off_track,False,off_track,off_track_noncollision_noncompletion,22.920340339415276,0.38200567232358795,2.2126867248861073,5.056710295883349,0.33624930108996864,0.039169051604228684,0.0,9.89208973910146,0.003504374995827675,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.039169051604228684,0.49955153652079654,False,False,nan,nan,nan,nan,0.0,0.05671029588334875,1.2,0.05671029588334875,60,2.2126867248861073,0.33624930108996864,9.89208973910146,0.38200567232358795,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L2_window_13_current_tiled,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L2_window_13_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13_current_tiled/seed_167400/checkpoint.pt,203905,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203906,checkpoint,60,True,False,0.6436124575839108,0.6436124575839108,1675.6127837784088,1.1555950232954544,1.0299918211546726,-0.049473270225151245,0.8967495467451232,0.886044136081937,0.9470940517556501,1.2969740497538846,1.2969740497538846,,False,True,aeb_feasible,False,False,3.1494473365577376,2.0507426504054096,1.098704686152328,off_track,False,off_track,off_track_noncollision_noncompletion,15.03760490304889,0.25062674838414817,2.333686803014742,5.142613380642555,0.362864558147584,0.07556610359638939,0.0,9.643285084735265,0.0025687874294817448,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.07556610359638939,0.47089593224693144,False,False,nan,nan,nan,nan,0.0,0.1426133806425547,1.2,0.1426133806425547,60,2.333686803014742,0.362864558147584,9.643285084735265,0.25062674838414817,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L2_window_25,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L2_window_25,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25/seed_167400/checkpoint.pt,203906,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203907,checkpoint,70,True,False,0.39237920052467434,0.39237920052467434,1522.90963379107,1.050282506062807,0.8752577828097247,-0.037034594819410405,0.7963141929114994,0.8537554678638627,0.9621697333566042,1.1191014646516981,1.1191014646516981,,False,True,aeb_feasible,False,False,12.7237632662747,1.5964732669417472,11.127289999332953,off_track,False,off_track,off_track_noncollision_noncompletion,26.50675180973454,0.3786678829962077,2.260690367702571,5.053654997275416,0.33063975214800995,0.03762709508111617,0.0,8.149585125388564,0.002851380966603756,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.03762709508111617,0.49967175014490356,False,False,nan,nan,nan,nan,0.0,0.053654997275415894,1.4000000000000001,0.053654997275415894,70,2.260690367702571,0.33063975214800995,8.149585125388564,0.3786678829962077,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L2_window_25_current_tiled,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L2_window_25_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25_current_tiled/seed_167400/checkpoint.pt,203907,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203908,checkpoint,53,True,False,0.9910890777423488,0.9910890777423488,1545.2986715715756,1.0657232217735004,1.131056475587178,-0.03611799657809667,0.9643393114012702,0.9619106907276367,0.9646242429621836,1.3989446195371005,1.3989446195371005,,False,True,aeb_feasible,False,False,17.393989860665876,2.0076480084280925,15.386341852237784,off_track,False,off_track,off_track_noncollision_noncompletion,8.389144619610354,0.158285747539818,2.255987211886722,5.029637567752175,0.5170910208793233,0.03480152100854909,0.0,10.994245075486523,0.0028838790021836758,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.03480152100854909,0.4791782364038758,False,False,nan,nan,nan,nan,0.0,0.029637567752175187,1.06,0.029637567752175187,53,2.255987211886722,0.5170910208793233,10.994245075486523,0.158285747539818,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L2_window_50,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L2_window_50,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,203908,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
203909,checkpoint,60,True,False,0.8796243602198702,0.8796243602198702,1523.2814142810676,1.0505389064007362,0.8759714298587745,-0.010767380020078265,1.068419373512227,1.1237476531368271,0.9170515856833984,1.8219140654969064,1.8219140654969064,,False,True,aeb_feasible,False,False,16.794627415227662,2.2282801217947767,14.566347293432885,off_track,False,off_track,off_track_noncollision_noncompletion,6.517930867205793,0.10863218112009655,2.377016735430916,5.133424541929504,0.5105919462419986,0.03976771201368864,0.0,9.440510333137244,0.0031635279301553965,1,nan,nan,0.02,5.0,nan,nan,nan,nan,False,nan,0.03976771201368864,0.42841268179648506,False,False,nan,nan,nan,nan,0.0,0.1334245419295037,1.2,0.1334245419295037,60,2.377016735430916,0.5105919462419986,9.440510333137244,0.10863218112009655,0,nan,nan,nan,nan,0,nan,nan,nan,nan,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief::L2_window_50_current_tiled,m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,m1983_outcome_support,anchor_neighborhood,stable_aeb|tier_c_boundary_near_miss|post_friction_step|aeb_feasible,m2026_source_coverage_repair,stable_aeb,tier_c_boundary_near_miss,post_friction_step,aeb_feasible,cosr_v0_0000_offtrack_anchor_relief,smoke_proxy,t5_near_boundary_warmup,false,false,L2_window_50_current_tiled,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50_current_tiled/seed_167400/checkpoint.pt,203909,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,aeb_feasible
