profile_name,panel_task_family,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
L0_current_masked,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,1.8375987166311383,22.73363703678203,86.75,0,,0,,True,0,0,4,4,0,0
L0_current_masked,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,2,8,8,0.0,0.2,0.8,0.8,7.113301806772421,24.924409274367854,80.8,0,,0,,True,0,2,8,8,2,0
L0_current_masked,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,1,9,10,0.0,0.1,0.9,1.0,9.753322503854346,28.564149739818713,84.4,0,,0,,True,0,1,9,10,0,0
L0_current_masked,T4_variable_diagnostic_delay,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,9.200292244162572,22.22591058641338,82.0,0,,0,,True,0,0,4,4,0,0
L0_current_masked,T5_source_rich_extreme_dynamics,outcome_by_profile_family,no_support,8,0,1,7,7,0.0,0.125,0.875,0.875,4.081387790982143,22.85934357359401,80.25,0,,0,,True,0,1,7,7,1,0
L1_one_step,T1_reactive_active_safety,outcome_by_profile_family,weak_support,4,1,1,2,2,0.25,0.25,0.5,0.5,6.8744763681837435,33.59341473642889,73.75,1,L1_one_step,1,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,True,1,1,2,2,1,1
L1_one_step,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,1,9,9,0.0,0.1,0.9,0.9,12.802537107978415,15.568724686446902,92.6,0,,0,,True,0,1,9,9,1,0
L1_one_step,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,12.757489116526623,22.07744093425028,79.7,0,,0,,True,0,0,10,10,0,0
L1_one_step,T4_variable_diagnostic_delay,outcome_by_profile_family,weak_support,4,1,0,3,3,0.25,0.0,0.75,0.75,8.001280194848615,50.73698163137732,85.0,1,L1_one_step,1,m2033-smoke-0027-m1680-spec-0040,True,1,0,3,3,0,1
L1_one_step,T5_source_rich_extreme_dynamics,outcome_by_profile_family,weak_support,8,2,0,6,6,0.25,0.0,0.75,0.75,6.944420325824208,29.75219704346543,83.75,1,L1_one_step,2,m2033-smoke-0030-m1680-spec-0036;m2033-smoke-0032-m1680-spec-0038,True,2,0,6,6,0,2
L2_window_100,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,7.039532772212785,17.122040538055675,64.25,0,,0,,True,0,0,4,4,0,0
L2_window_100,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,14.85816823072708,13.460637755860427,66.2,0,,0,,True,0,0,10,10,0,0
L2_window_100,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,13.315053971138962,12.126620813648795,66.8,0,,0,,True,0,0,10,10,0,0
L2_window_100,T4_variable_diagnostic_delay,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,9.239409734473181,14.256363800855981,63.75,0,,0,,True,0,0,4,4,0,0
L2_window_100,T5_source_rich_extreme_dynamics,outcome_by_profile_family,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,11.803323928098974,11.867292137448871,66.75,0,,0,,True,0,0,8,8,0,0
L2_window_100_current_tiled,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,10.97107497910412,12.975156015445803,58.75,0,,0,,True,0,0,4,4,0,0
L2_window_100_current_tiled,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,12.683184285277893,13.157570655588518,65.3,0,,0,,True,0,0,10,10,0,0
L2_window_100_current_tiled,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,14.36086310304837,12.347211500316796,63.2,0,,0,,True,0,0,10,10,0,0
L2_window_100_current_tiled,T4_variable_diagnostic_delay,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,12.495930127705158,12.067818964801758,67.75,0,,0,,True,0,0,4,4,0,0
L2_window_100_current_tiled,T5_source_rich_extreme_dynamics,outcome_by_profile_family,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,8.862330085596179,15.04927714838025,60.875,0,,0,,True,0,0,8,8,0,0
L2_window_13,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,11.034292893827667,8.736160755882823,65.5,0,,0,,True,0,0,4,4,0,0
L2_window_13,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,15.145593062190846,12.77615698381473,66.9,0,,0,,True,0,0,10,10,0,0
L2_window_13,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,11.296621717088698,15.04132088340126,67.4,0,,0,,True,0,0,10,10,0,0
L2_window_13,T4_variable_diagnostic_delay,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,7.170714011463449,15.80150616451137,67.75,0,,0,,True,0,0,4,4,0,0
L2_window_13,T5_source_rich_extreme_dynamics,outcome_by_profile_family,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,9.59376150836466,15.647342286778322,62.125,0,,0,,True,0,0,8,8,0,0
L2_window_13_current_tiled,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,6.02020648039909,16.794407054868593,59.75,0,,0,,True,0,0,4,4,0,0
L2_window_13_current_tiled,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,10.290761422358553,14.917730058288933,67.2,0,,0,,True,0,0,10,10,0,0
L2_window_13_current_tiled,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,12.236804758833085,16.25052954985859,61.7,0,,0,,True,0,0,10,10,0,0
L2_window_13_current_tiled,T4_variable_diagnostic_delay,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,8.487484477081384,17.53035391870335,61.75,0,,0,,True,0,0,4,4,0,0
L2_window_13_current_tiled,T5_source_rich_extreme_dynamics,outcome_by_profile_family,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,12.612093853392661,17.132955872260606,60.25,0,,0,,True,0,0,8,8,0,0
L2_window_25,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,10.1474719936531,18.643202841010023,63.25,0,,0,,True,0,0,4,4,0,0
L2_window_25,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,12.103204890014181,13.417318366380002,68.9,0,,0,,True,0,0,10,10,0,0
L2_window_25,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,7.167256878814986,17.90768390203407,67.2,0,,0,,True,0,0,10,10,0,0
L2_window_25,T4_variable_diagnostic_delay,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,10.010001779384337,16.706938668488235,63.75,0,,0,,True,0,0,4,4,0,0
L2_window_25,T5_source_rich_extreme_dynamics,outcome_by_profile_family,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,10.429564641636983,15.394093778554405,64.25,0,,0,,True,0,0,8,8,0,0
L2_window_25_current_tiled,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,8.669187120472413,16.32569524549223,61.75,0,,0,,True,0,0,4,4,0,0
L2_window_25_current_tiled,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,14.677117658368747,13.856760922129453,65.9,0,,0,,True,0,0,10,10,0,0
L2_window_25_current_tiled,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,10.798830323107454,14.56767829198699,68.1,0,,0,,True,0,0,10,10,0,0
L2_window_25_current_tiled,T4_variable_diagnostic_delay,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,9.735941912145416,17.039979949249965,62.0,0,,0,,True,0,0,4,4,0,0
L2_window_25_current_tiled,T5_source_rich_extreme_dynamics,outcome_by_profile_family,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,15.559508383030044,14.664121611108298,62.75,0,,0,,True,0,0,8,8,0,0
L2_window_50,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,9.661443195131806,18.412777356186297,59.75,0,,0,,True,0,0,4,4,0,0
L2_window_50,T2_same_current_different_older_history,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,12.156370783179959,16.405244821237197,64.9,0,,0,,True,0,0,10,10,0,0
L2_window_50,T3_active_diagnostic_warmup,outcome_by_profile_family,no_support,10,0,0,10,10,0.0,0.0,1.0,1.0,10.908511329467318,15.92510830661583,65.5,0,,0,,True,0,0,10,10,0,0
L2_window_50,T4_variable_diagnostic_delay,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,12.011553414631685,12.103661890848429,65.25,0,,0,,True,0,0,4,4,0,0
L2_window_50,T5_source_rich_extreme_dynamics,outcome_by_profile_family,no_support,8,0,0,8,8,0.0,0.0,1.0,1.0,11.101970792369512,11.090743637215551,64.0,0,,0,,True,0,0,8,8,0,0
L2_window_50_current_tiled,T1_reactive_active_safety,outcome_by_profile_family,no_support,4,0,0,4,4,0.0,0.0,1.0,1.0,14.357186059770408,8.739794808137514,60.75,0,,0,,True,0,0,4,4,0,0
