task_source_id,panel_task_family,source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2033-smoke-0000-m2026-t1-m1983_outcome_support-cosr_v0_0000_offtrack_anchor_relief,T1_reactive_active_safety,anchor_neighborhood,outcome_by_source_family_kind,no_support,12,0,1,11,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,7.1762033543643,20.220229657425683,71.83333333333333,0,,0,,True,0,1,11,11,1,0
m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,T1_reactive_active_safety,mitigation_isolation_check,outcome_by_source_family_kind,weak_support,12,2,1,9,9,0.16666666666666666,0.08333333333333333,0.75,0.75,5.9977296576628225,23.7654890385469,65.83333333333333,2,L1_one_step;L3_online_gru,1,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,True,2,1,9,9,1,2
m2033-smoke-0002-m2026-t1-m1983_outcome_support-cosr_v0_0064_offtrack_boundary_relief_extension,T1_reactive_active_safety,offtrack_boundary_relief,outcome_by_source_family_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,11.508040952493014,19.29947699510814,66.5,0,,0,,True,0,0,12,12,0,0
m2033-smoke-0003-m2020-active-safety-0000,T1_reactive_active_safety,success_stabilizer,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,8.917060827965425,18.15285282910771,73.66666666666667,1,L3_online_gru,1,m2033-smoke-0003-m2020-active-safety-0000,True,1,0,11,11,0,1
m2033-smoke-0004-m1680-spec-0003,T2_same_current_different_older_history,actuator_delay_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,13.631192023820134,21.46507448984954,70.58333333333333,1,L3_reset_control_corrected,1,m2033-smoke-0004-m1680-spec-0003,True,1,0,11,11,0,1
m2033-smoke-0005-m1680-spec-0000,T2_same_current_different_older_history,actuator_delay_proxy+capability_step_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,14.005384471323424,26.082524126901145,76.5,1,L3_online_gru,1,m2033-smoke-0005-m1680-spec-0000,True,1,0,11,11,0,1
m2033-smoke-0006-m1680-spec-0005,T2_same_current_different_older_history,capability_step_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,15.322137344907722,23.952250400725372,76.66666666666667,1,L3_online_gru,1,m2033-smoke-0006-m1680-spec-0005,True,1,0,11,11,0,1
m2033-smoke-0007-m1680-spec-0006,T2_same_current_different_older_history,capability_step_proxy+warmup_proxy,outcome_by_source_family_kind,weak_support,12,2,0,10,10,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,9.976870773050573,34.20125933721275,75.83333333333333,2,L3_online_gru;L3_reset_control_corrected,1,m2033-smoke-0007-m1680-spec-0006,True,2,0,10,10,0,2
m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00,T2_same_current_different_older_history,same_current_brake_authority_older_history_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,12.916700152070398,17.425528151989244,83.58333333333333,1,L3_online_gru,1,m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00,True,1,0,11,11,0,1
m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history_proxy,outcome_by_source_family_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,15.776873381238635,23.964468065049633,74.0,1,L3_reset_control_corrected,1,m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,True,1,0,11,11,0,1
