source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
actuator_delay_proxy,outcome_by_source_kind,weak_support,24,1,0,23,23,0.041666666666666664,0.0,0.9583333333333334,0.9583333333333334,13.082184075632107,20.298334199151906,70.75,1,L3_reset_control_corrected,1,m2033-smoke-0004-m1680-spec-0003,True,1,0,23,23,0,1
actuator_delay_proxy+capability_step_proxy,outcome_by_source_kind,weak_support,36,1,0,35,35,0.027777777777777776,0.0,0.9722222222222222,0.9722222222222222,13.000041355629252,23.211639581738954,76.75,1,L3_online_gru,1,m2033-smoke-0005-m1680-spec-0000,True,1,0,35,35,0,1
actuator_delay_proxy+terminal_boundary_proxy+warmup_proxy,outcome_by_source_kind,weak_support,36,1,4,31,32,0.027777777777777776,0.1111111111111111,0.8611111111111112,0.8888888888888888,7.313424415476831,18.45248166494878,69.77777777777777,1,L1_one_step,1,m2033-smoke-0030-m1680-spec-0036,True,1,4,31,32,3,1
anchor_neighborhood,outcome_by_source_kind,no_support,12,0,1,11,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,7.1762033543643,20.220229657425683,71.83333333333333,0,,0,,True,0,1,11,11,1,0
capability_step_proxy,outcome_by_source_kind,weak_support,24,2,0,22,22,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,12.975502023255054,23.635335557844503,78.5,2,L3_online_gru;L3_reset_control_corrected,2,m2033-smoke-0006-m1680-spec-0005;m2033-smoke-0031-m1680-spec-0005,True,2,0,22,22,0,2
capability_step_proxy+terminal_boundary_proxy+warmup_proxy,outcome_by_source_kind,weak_support,36,1,2,33,33,0.027777777777777776,0.05555555555555555,0.9166666666666666,0.9166666666666666,8.652908796986738,23.11124334082512,66.0,1,L1_one_step,1,m2033-smoke-0032-m1680-spec-0038,True,1,2,33,33,2,1
capability_step_proxy+warmup_proxy,outcome_by_source_kind,weak_support,36,3,0,33,33,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,11.654535871529605,25.874818810073286,74.36111111111111,2,L3_online_gru;L3_reset_control_corrected,2,m2033-smoke-0007-m1680-spec-0006;m2033-smoke-0016-m1680-spec-0006,True,3,0,33,33,0,3
mitigation_isolation_check,outcome_by_source_kind,weak_support,12,2,1,9,9,0.16666666666666666,0.08333333333333333,0.75,0.75,5.9977296576628225,23.7654890385469,65.83333333333333,2,L1_one_step;L3_online_gru,1,m2033-smoke-0001-m2026-t1-m1983_outcome_support-cosr_v0_0144_collision_mitigation_relief,True,2,1,9,9,1,2
offtrack_boundary_relief,outcome_by_source_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,11.508040952493014,19.29947699510814,66.5,0,,0,,True,0,0,12,12,0,0
same_current_brake_authority_older_history_proxy,outcome_by_source_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,12.916700152070398,17.425528151989244,83.58333333333333,1,L3_online_gru,1,m2033-smoke-0008-m2029-t2-same_current_brake_authority_older_history_proxy-00,True,1,0,11,11,0,1
same_current_drive_brake_asymmetry_older_history_proxy,outcome_by_source_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,15.776873381238635,23.964468065049633,74.0,1,L3_reset_control_corrected,1,m2033-smoke-0009-m2029-t2-same_current_drive_brake_asymmetry_older_history_proxy-00,True,1,0,11,11,0,1
same_current_mixed_authority_older_history_proxy,outcome_by_source_kind,no_support,12,0,2,10,10,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,4.6041279570211096,22.20930288414296,70.66666666666667,0,,0,,True,0,2,10,10,2,0
same_current_rear_lateral_authority_older_history_proxy,outcome_by_source_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,15.19803107347335,19.287967286208815,75.0,0,,0,,True,0,0,12,12,0,0
same_current_steer_lag_older_history_proxy,outcome_by_source_kind,no_support,12,0,0,12,12,0.0,0.0,1.0,1.0,14.221624094190537,21.084965375532498,73.5,0,,0,,True,0,0,12,12,0,0
same_current_yaw_authority_older_history_proxy,outcome_by_source_kind,no_support,12,0,2,10,10,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,10.21435659267559,14.963552909476242,71.25,0,,0,,True,0,2,10,10,2,0
success_stabilizer,outcome_by_source_kind,weak_support,12,1,0,11,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,8.917060827965425,18.15285282910771,73.66666666666667,1,L3_online_gru,1,m2033-smoke-0003-m2020-active-safety-0000,True,1,0,11,11,0,1
terminal_boundary_proxy,outcome_by_source_kind,weak_support,24,2,0,22,22,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,6.576504491605587,24.661112264565364,69.54166666666667,2,L1_one_step;L3_reset_control_corrected,2,m2033-smoke-0027-m1680-spec-0040;m2033-smoke-0034-m1680-spec-0037,True,2,0,22,22,0,2
