panel_task_family,source_kind,count
T1_reactive_active_safety,curved_road_reactive_evasion,8
T1_reactive_active_safety,high_speed_reactive_evasion,8
T1_reactive_active_safety,late_obstacle_reactive_evasion,8
T1_reactive_active_safety,low_mu_reactive_evasion,8
T1_reactive_active_safety,narrow_road_reactive_evasion,8
T1_reactive_active_safety,ordinary_reactive_stable_aes,8
T2_same_current_different_older_history,same_current_brake_authority_older_history,10
T2_same_current_different_older_history,same_current_drive_brake_asymmetry_older_history,10
T2_same_current_different_older_history,same_current_mixed_authority_older_history,10
T2_same_current_different_older_history,same_current_rear_lateral_authority_older_history,10
T2_same_current_different_older_history,same_current_steer_lag_older_history,10
T2_same_current_different_older_history,same_current_yaw_authority_older_history,10
T3_active_diagnostic_warmup,warmup_brake_authority_probe,10
T3_active_diagnostic_warmup,warmup_combined_brake_steer_probe,10
T3_active_diagnostic_warmup,warmup_steering_lag_probe,10
T3_active_diagnostic_warmup,warmup_terminal_recovery_probe,10
T3_active_diagnostic_warmup,warmup_throttle_release_response,10
T3_active_diagnostic_warmup,warmup_yaw_authority_probe,10
T4_variable_diagnostic_delay,delayed_obstacle_reveal_response,6
T4_variable_diagnostic_delay,long_delay_steer_lag_evidence,6
T4_variable_diagnostic_delay,medium_delay_yaw_evidence,6
T4_variable_diagnostic_delay,short_delay_brake_evidence,6
T4_variable_diagnostic_delay,stale_evidence_boundary_check,6
T4_variable_diagnostic_delay,variable_delay_mixed_authority,6
T5_terminal_boundary_near_constraint,actuator_delay_terminal_boundary,6
T5_terminal_boundary_near_constraint,late_terminal_boundary_margin,6
T5_terminal_boundary_near_constraint,low_grip_terminal_boundary,6
T5_terminal_boundary_near_constraint,mixed_dynamics_terminal_boundary,6
T5_terminal_boundary_near_constraint,near_zero_clearance_margin,6
T5_terminal_boundary_near_constraint,tight_road_terminal_boundary,6
