task_source_id,panel_source_id,candidate_id,source_reference,panel_task_family,source_split,source_kind,source_edge,window_tag,materialization_semantics,proxy_template_family,generated_source_row,paper_validity_claim
m2063-osd-osd_v0_0144_t3,osd_v0_0144_t3,osd_v0_0144_t3,osd_v0_0144_t3,T3_active_diagnostic_warmup,public_gate,warmup_brake_authority_probe,T3_active_diagnostic_warmup|warmup_brake_authority_probe|late|generous|moderate|low_mu|low,m2060_t3_036,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0145_t3,osd_v0_0145_t3,osd_v0_0145_t3,osd_v0_0145_t3,T3_active_diagnostic_warmup,public_gate,warmup_yaw_authority_probe,T3_active_diagnostic_warmup|warmup_yaw_authority_probe|early|nominal|high|mixed_mu|nominal,m2060_t3_037,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0146_t3,osd_v0_0146_t3,osd_v0_0146_t3,osd_v0_0146_t3,T3_active_diagnostic_warmup,public_gate,warmup_steering_lag_probe,T3_active_diagnostic_warmup|warmup_steering_lag_probe|medium|tight|straight_or_low|actuator_delay|high,m2060_t3_038,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0147_t3,osd_v0_0147_t3,osd_v0_0147_t3,osd_v0_0147_t3,T3_active_diagnostic_warmup,public_gate,warmup_throttle_release_response,T3_active_diagnostic_warmup|warmup_throttle_release_response|late|generous|moderate|nominal_mu|low,m2060_t3_039,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0148_t3,osd_v0_0148_t3,osd_v0_0148_t3,osd_v0_0148_t3,T3_active_diagnostic_warmup,public_gate,warmup_combined_brake_steer_probe,T3_active_diagnostic_warmup|warmup_combined_brake_steer_probe|early|nominal|high|low_mu|nominal,m2060_t3_040,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0149_t3,osd_v0_0149_t3,osd_v0_0149_t3,osd_v0_0149_t3,T3_active_diagnostic_warmup,public_gate,warmup_terminal_recovery_probe,T3_active_diagnostic_warmup|warmup_terminal_recovery_probe|medium|tight|straight_or_low|mixed_mu|high,m2060_t3_041,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0150_t3,osd_v0_0150_t3,osd_v0_0150_t3,osd_v0_0150_t3,T3_active_diagnostic_warmup,public_gate,warmup_brake_authority_probe,T3_active_diagnostic_warmup|warmup_brake_authority_probe|late|generous|moderate|actuator_delay|low,m2060_t3_042,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0151_t3,osd_v0_0151_t3,osd_v0_0151_t3,osd_v0_0151_t3,T3_active_diagnostic_warmup,public_gate,warmup_yaw_authority_probe,T3_active_diagnostic_warmup|warmup_yaw_authority_probe|early|nominal|high|nominal_mu|nominal,m2060_t3_043,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0152_t3,osd_v0_0152_t3,osd_v0_0152_t3,osd_v0_0152_t3,T3_active_diagnostic_warmup,public_gate,warmup_steering_lag_probe,T3_active_diagnostic_warmup|warmup_steering_lag_probe|medium|tight|straight_or_low|low_mu|high,m2060_t3_044,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0153_t3,osd_v0_0153_t3,osd_v0_0153_t3,osd_v0_0153_t3,T3_active_diagnostic_warmup,public_gate,warmup_throttle_release_response,T3_active_diagnostic_warmup|warmup_throttle_release_response|late|generous|moderate|mixed_mu|low,m2060_t3_045,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0154_t3,osd_v0_0154_t3,osd_v0_0154_t3,osd_v0_0154_t3,T3_active_diagnostic_warmup,public_gate,warmup_combined_brake_steer_probe,T3_active_diagnostic_warmup|warmup_combined_brake_steer_probe|early|nominal|high|actuator_delay|nominal,m2060_t3_046,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0155_t3,osd_v0_0155_t3,osd_v0_0155_t3,osd_v0_0155_t3,T3_active_diagnostic_warmup,public_gate,warmup_terminal_recovery_probe,T3_active_diagnostic_warmup|warmup_terminal_recovery_probe|medium|tight|straight_or_low|nominal_mu|high,m2060_t3_047,smoke_proxy,t4_staged_warmup_capability,True,False
m2063-osd-osd_v0_0156_t3,osd_v0_0156_t3,osd_v0_0156_t3,osd_v0_0156_t3,T3_active_diagnostic_warmup,public_gate,warmup_brake_authority_probe,T3_active_diagnostic_warmup|warmup_brake_authority_probe|late|generous|moderate|low_mu|low,m2060_t3_048,smoke_proxy,t4_staged_warmup_capability,True,False
