row_index,workload_id,task_source_id,profile_name,missing_metadata_fields
0,m2063-osd-osd_v0_0144_t3::L0_current_masked,m2063-osd-osd_v0_0144_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
1,m2063-osd-osd_v0_0144_t3::L1_one_step,m2063-osd-osd_v0_0144_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
2,m2063-osd-osd_v0_0144_t3::L2_window_50,m2063-osd-osd_v0_0144_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
3,m2063-osd-osd_v0_0144_t3::L3_online_gru,m2063-osd-osd_v0_0144_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
4,m2063-osd-osd_v0_0144_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0144_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
5,m2063-osd-osd_v0_0145_t3::L0_current_masked,m2063-osd-osd_v0_0145_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
6,m2063-osd-osd_v0_0145_t3::L1_one_step,m2063-osd-osd_v0_0145_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
7,m2063-osd-osd_v0_0145_t3::L2_window_50,m2063-osd-osd_v0_0145_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
8,m2063-osd-osd_v0_0145_t3::L3_online_gru,m2063-osd-osd_v0_0145_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
9,m2063-osd-osd_v0_0145_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0145_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
10,m2063-osd-osd_v0_0146_t3::L0_current_masked,m2063-osd-osd_v0_0146_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
11,m2063-osd-osd_v0_0146_t3::L1_one_step,m2063-osd-osd_v0_0146_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
12,m2063-osd-osd_v0_0146_t3::L2_window_50,m2063-osd-osd_v0_0146_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
13,m2063-osd-osd_v0_0146_t3::L3_online_gru,m2063-osd-osd_v0_0146_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
14,m2063-osd-osd_v0_0146_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0146_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
15,m2063-osd-osd_v0_0147_t3::L0_current_masked,m2063-osd-osd_v0_0147_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
16,m2063-osd-osd_v0_0147_t3::L1_one_step,m2063-osd-osd_v0_0147_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
17,m2063-osd-osd_v0_0147_t3::L2_window_50,m2063-osd-osd_v0_0147_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
18,m2063-osd-osd_v0_0147_t3::L3_online_gru,m2063-osd-osd_v0_0147_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
19,m2063-osd-osd_v0_0147_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0147_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
20,m2063-osd-osd_v0_0148_t3::L0_current_masked,m2063-osd-osd_v0_0148_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
21,m2063-osd-osd_v0_0148_t3::L1_one_step,m2063-osd-osd_v0_0148_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
22,m2063-osd-osd_v0_0148_t3::L2_window_50,m2063-osd-osd_v0_0148_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
23,m2063-osd-osd_v0_0148_t3::L3_online_gru,m2063-osd-osd_v0_0148_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
24,m2063-osd-osd_v0_0148_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0148_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
25,m2063-osd-osd_v0_0149_t3::L0_current_masked,m2063-osd-osd_v0_0149_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
26,m2063-osd-osd_v0_0149_t3::L1_one_step,m2063-osd-osd_v0_0149_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
27,m2063-osd-osd_v0_0149_t3::L2_window_50,m2063-osd-osd_v0_0149_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
28,m2063-osd-osd_v0_0149_t3::L3_online_gru,m2063-osd-osd_v0_0149_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
29,m2063-osd-osd_v0_0149_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0149_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
30,m2063-osd-osd_v0_0150_t3::L0_current_masked,m2063-osd-osd_v0_0150_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
31,m2063-osd-osd_v0_0150_t3::L1_one_step,m2063-osd-osd_v0_0150_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
32,m2063-osd-osd_v0_0150_t3::L2_window_50,m2063-osd-osd_v0_0150_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
33,m2063-osd-osd_v0_0150_t3::L3_online_gru,m2063-osd-osd_v0_0150_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
34,m2063-osd-osd_v0_0150_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0150_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
35,m2063-osd-osd_v0_0151_t3::L0_current_masked,m2063-osd-osd_v0_0151_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
36,m2063-osd-osd_v0_0151_t3::L1_one_step,m2063-osd-osd_v0_0151_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
37,m2063-osd-osd_v0_0151_t3::L2_window_50,m2063-osd-osd_v0_0151_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
38,m2063-osd-osd_v0_0151_t3::L3_online_gru,m2063-osd-osd_v0_0151_t3,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
39,m2063-osd-osd_v0_0151_t3::L3_reset_control_corrected,m2063-osd-osd_v0_0151_t3,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
40,m2063-osd-osd_v0_0152_t3::L0_current_masked,m2063-osd-osd_v0_0152_t3,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
41,m2063-osd-osd_v0_0152_t3::L1_one_step,m2063-osd-osd_v0_0152_t3,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
42,m2063-osd-osd_v0_0152_t3::L2_window_50,m2063-osd-osd_v0_0152_t3,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
