source_kind,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
actuator_delay_terminal_boundary,outcome_by_source_kind,weak_support,30,1,29,0,0,0.03333333333333333,0.9666666666666667,0.0,0.0,-0.08506077589881053,5.895753675935729,35.53333333333333,1,L2_window_50,1,m2063-osd-osd_v0_0226_t5,True,1,29,0,0,29,1
delayed_obstacle_reveal_response,outcome_by_source_kind,no_support,30,0,30,0,0,0.0,1.0,0.0,0.0,-0.09999705584489736,4.168262257390939,34.333333333333336,0,,0,,True,0,30,0,0,30,0
late_terminal_boundary_margin,outcome_by_source_kind,weak_support,30,1,29,0,0,0.03333333333333333,0.9666666666666667,0.0,0.0,-0.06985665144151576,-6.172840841341511,22.733333333333334,1,L0_current_masked,1,m2063-osd-osd_v0_0211_t5,True,1,29,0,0,29,1
long_delay_steer_lag_evidence,outcome_by_source_kind,no_support,30,0,30,0,0,0.0,1.0,0.0,0.0,-0.08763775701791181,-10.401893895238494,20.033333333333335,0,,0,,True,0,30,0,0,30,0
low_grip_terminal_boundary,outcome_by_source_kind,weak_support,30,7,18,5,5,0.23333333333333334,0.6,0.16666666666666666,0.16666666666666666,0.3104970289228234,24.75093410048605,44.1,4,L0_current_masked;L1_one_step;L3_online_gru;L3_reset_control_corrected,5,m2063-osd-osd_v0_0207_t5;m2063-osd-osd_v0_0213_t5;m2063-osd-osd_v0_0219_t5;m2063-osd-osd_v0_0231_t5;m2063-osd-osd_v0_0237_t5,True,7,18,5,5,18,7
medium_delay_yaw_evidence,outcome_by_source_kind,weak_support,30,9,17,4,4,0.3,0.5666666666666667,0.13333333333333333,0.13333333333333333,0.49890187142084313,35.95413692370005,56.233333333333334,4,L0_current_masked;L1_one_step;L3_online_gru;L3_reset_control_corrected,6,m2063-osd-osd_v0_0169_t4;m2063-osd-osd_v0_0175_t4;m2063-osd-osd_v0_0181_t4;m2063-osd-osd_v0_0187_t4;m2063-osd-osd_v0_0193_t4;m2063-osd-osd_v0_0199_t4,True,9,17,4,4,17,9
mixed_dynamics_terminal_boundary,outcome_by_source_kind,weak_support,30,1,29,0,0,0.03333333333333333,0.9666666666666667,0.0,0.0,-0.08464178279661617,1.9837420183741552,31.0,1,L3_online_gru,1,m2063-osd-osd_v0_0239_t5,True,1,29,0,0,29,1
near_zero_clearance_margin,outcome_by_source_kind,weak_support,30,9,17,4,4,0.3,0.5666666666666667,0.13333333333333333,0.13333333333333333,0.37487688243998346,37.67588041629362,58.4,4,L0_current_masked;L1_one_step;L3_online_gru;L3_reset_control_corrected,5,m2063-osd-osd_v0_0204_t5;m2063-osd-osd_v0_0210_t5;m2063-osd-osd_v0_0216_t5;m2063-osd-osd_v0_0222_t5;m2063-osd-osd_v0_0234_t5,True,9,17,4,4,17,9
short_delay_brake_evidence,outcome_by_source_kind,weak_support,30,1,29,0,0,0.03333333333333333,0.9666666666666667,0.0,0.0,-0.09037293784151282,-0.5610518364102229,28.533333333333335,1,L3_online_gru,1,m2063-osd-osd_v0_0180_t4,True,1,29,0,0,29,1
stale_evidence_boundary_check,outcome_by_source_kind,weak_support,30,5,21,4,4,0.16666666666666666,0.7,0.13333333333333333,0.13333333333333333,0.19992396791436914,20.646887311301967,46.2,3,L0_current_masked;L3_online_gru;L3_reset_control_corrected,3,m2063-osd-osd_v0_0172_t4;m2063-osd-osd_v0_0184_t4;m2063-osd-osd_v0_0196_t4,True,5,21,4,4,21,5
