task_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2063-osd-osd_v0_0144_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.09178722760518587,10.792392947090423,37.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0144_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1556497207179599,10.816973472441163,41.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0144_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.041912343336838465,7.811861998909894,35.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0144_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.13975034350561244,5.684786734434304,33.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0144_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.13030969214606847,15.961022310807948,41.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0145_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.03986002505397246,4.742128161099089,33.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0145_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.14708889748719844,-1.3029381438092003,31.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0145_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.09431220565748011,-5.744156669738974,28.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0145_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1661911694640572,1.2533806159188785,31.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0145_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.08095955857276982,14.859075228305912,42.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0146_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1179940412376348,4.416504284457609,40.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0146_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.3232889619125492,7.131176483261235,41.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0146_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.057138620080375624,-4.111645341476603,32.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0146_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.28397179438388753,7.327765001900914,34.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0146_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.20622594717893716,6.047776308462602,35.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0147_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.18800412278244227,-12.427952182624512,19.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0147_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1547608849137836,-11.624989763316385,20.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0147_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.016345566623969354,-14.612172335473772,17.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0147_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1706832143082262,-11.28883440047061,20.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0147_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.041516748816991855,-19.659154375992316,12.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0148_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.01708508207755588,10.369258673873809,43.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0148_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.0233541365638974,6.603884047137065,42.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0148_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.08357294740573962,8.853672038667092,45.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0148_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.07370501457125678,10.117687713684436,40.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0148_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.06308376130113302,14.616647877358414,44.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0149_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.18105207719887706,12.647875699806384,50.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0149_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.06773467108023601,13.955468819080188,46.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0149_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.2660011047963582,13.162576281230365,51.0,0,,0,,True,0,0,1,1,0,0
