panel_unit_id,source_kind,comparison_support_intent,profile_label,observed_success_support,absence_semantics,generated_proxy_boundary_only,unit_success_rate,unit_collision_rate,unit_offtrack_outcome_rate
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L0_current_masked,False,no_success_support_observed_in_m2134_aggregate,True,0.14,0.18,0.68
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L1_one_step,True,observed_success_support,True,0.14,0.18,0.68
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L3_online_gru,True,observed_success_support,True,0.14,0.18,0.68
panel_unit_000_actuator_delay_collision_relief,actuator_delay_collision_relief,collision_relief_probe,L3_reset_control_corrected,True,observed_success_support,True,0.14,0.18,0.68
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L0_current_masked,False,no_success_support_observed_in_m2134_aggregate,True,0.18,0.18,0.64
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L1_one_step,True,observed_success_support,True,0.18,0.18,0.64
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L3_online_gru,True,observed_success_support,True,0.18,0.18,0.64
panel_unit_001_gru_memory_discriminative_boundary,gru_memory_discriminative_boundary,discriminative_boundary,L3_reset_control_corrected,True,observed_success_support,True,0.18,0.18,0.64
panel_unit_002_late_boundary_collision_relief,late_boundary_collision_relief,collision_relief_probe,L0_current_masked,False,no_success_support_observed_in_m2134_aggregate,True,0.16,0.16,0.68
panel_unit_002_late_boundary_collision_relief,late_boundary_collision_relief,collision_relief_probe,L1_one_step,True,observed_success_support,True,0.16,0.16,0.68
panel_unit_002_late_boundary_collision_relief,late_boundary_collision_relief,collision_relief_probe,L3_online_gru,True,observed_success_support,True,0.16,0.16,0.68
panel_unit_002_late_boundary_collision_relief,late_boundary_collision_relief,collision_relief_probe,L3_reset_control_corrected,True,observed_success_support,True,0.16,0.16,0.68
panel_unit_003_near_zero_margin_collision_relief,near_zero_margin_collision_relief,collision_relief_probe,L0_current_masked,True,observed_success_support,True,0.12,0.22,0.66
panel_unit_003_near_zero_margin_collision_relief,near_zero_margin_collision_relief,collision_relief_probe,L1_one_step,False,no_success_support_observed_in_m2134_aggregate,True,0.12,0.22,0.66
panel_unit_003_near_zero_margin_collision_relief,near_zero_margin_collision_relief,collision_relief_probe,L3_online_gru,True,observed_success_support,True,0.12,0.22,0.66
panel_unit_003_near_zero_margin_collision_relief,near_zero_margin_collision_relief,collision_relief_probe,L3_reset_control_corrected,True,observed_success_support,True,0.12,0.22,0.66
panel_unit_004_nominal_delay_support_boundary,nominal_delay_support_boundary,support_ladder_medium,L0_current_masked,True,observed_success_support,True,0.26,0.22,0.52
panel_unit_004_nominal_delay_support_boundary,nominal_delay_support_boundary,support_ladder_medium,L1_one_step,True,observed_success_support,True,0.26,0.22,0.52
panel_unit_004_nominal_delay_support_boundary,nominal_delay_support_boundary,support_ladder_medium,L3_online_gru,True,observed_success_support,True,0.26,0.22,0.52
panel_unit_004_nominal_delay_support_boundary,nominal_delay_support_boundary,support_ladder_medium,L3_reset_control_corrected,True,observed_success_support,True,0.26,0.22,0.52
panel_unit_005_profile_diversity_support,profile_diversity_support,support_ladder_medium,L0_current_masked,True,observed_success_support,True,0.26,0.06,0.68
panel_unit_005_profile_diversity_support,profile_diversity_support,support_ladder_medium,L1_one_step,True,observed_success_support,True,0.26,0.06,0.68
panel_unit_005_profile_diversity_support,profile_diversity_support,support_ladder_medium,L3_online_gru,True,observed_success_support,True,0.26,0.06,0.68
panel_unit_005_profile_diversity_support,profile_diversity_support,support_ladder_medium,L3_reset_control_corrected,True,observed_success_support,True,0.26,0.06,0.68
