source_kind,comparison_support_intent,profile_label,episode_count,success_count,collision_count,offtrack_outcome_count,success_rate,collision_rate,offtrack_outcome_rate,clearance_margin_mean,return_mean,steps_mean,observed_success_support,support_absence_semantics,diagnostic_generated_proxy_only
actuator_delay_collision_relief,collision_relief_probe,L0_current_masked,10,0,4,6,0.0,0.4,0.6,2.1571777424236167,24.40312908001338,98.6,False,no_success_support_observed_in_m2134_aggregate,True
actuator_delay_collision_relief,collision_relief_probe,L1_one_step,10,1,3,6,0.1,0.3,0.6,4.0590126784946605,24.5905221420045,97.8,True,observed_success_support,True
actuator_delay_collision_relief,collision_relief_probe,L2_window_50,10,0,0,10,0.0,0.0,1.0,11.612070537658713,6.260846554784023,81.6,False,profile_not_in_m2138_success_support_union,True
actuator_delay_collision_relief,collision_relief_probe,L3_online_gru,10,3,2,5,0.3,0.2,0.5,6.528767034766898,41.34828363324167,104.7,True,observed_success_support,True
actuator_delay_collision_relief,collision_relief_probe,L3_reset_control_corrected,10,3,0,7,0.3,0.0,0.7,9.96058921477137,61.84102957488274,115.7,True,observed_success_support,True
gru_memory_discriminative_boundary,discriminative_boundary,L0_current_masked,10,0,2,8,0.0,0.2,0.8,4.127562388022723,30.675605334211497,94.3,False,no_success_support_observed_in_m2134_aggregate,True
gru_memory_discriminative_boundary,discriminative_boundary,L1_one_step,10,1,5,4,0.1,0.5,0.4,5.210330030367002,31.19041092656392,90.3,True,observed_success_support,True
gru_memory_discriminative_boundary,discriminative_boundary,L2_window_50,10,0,0,10,0.0,0.0,1.0,5.205772641509781,11.281356011631708,79.3,False,profile_not_in_m2138_success_support_union,True
gru_memory_discriminative_boundary,discriminative_boundary,L3_online_gru,10,4,0,6,0.4,0.0,0.6,5.560652889211444,69.97831383949682,104.9,True,observed_success_support,True
gru_memory_discriminative_boundary,discriminative_boundary,L3_reset_control_corrected,10,4,2,4,0.4,0.2,0.4,4.765170842639699,63.64037993642613,108.4,True,observed_success_support,True
late_boundary_collision_relief,collision_relief_probe,L0_current_masked,10,0,1,9,0.0,0.1,0.9,7.0325213130846205,27.442249881233597,87.3,False,no_success_support_observed_in_m2134_aggregate,True
late_boundary_collision_relief,collision_relief_probe,L1_one_step,10,1,1,8,0.1,0.1,0.8,4.517651827887983,20.338530545544636,79.8,True,observed_success_support,True
late_boundary_collision_relief,collision_relief_probe,L2_window_50,10,0,0,10,0.0,0.0,1.0,9.21989471913626,7.991950528017083,64.2,False,profile_not_in_m2138_success_support_union,True
late_boundary_collision_relief,collision_relief_probe,L3_online_gru,10,4,1,5,0.4,0.1,0.5,5.567328513621335,52.71778387340752,85.8,True,observed_success_support,True
late_boundary_collision_relief,collision_relief_probe,L3_reset_control_corrected,10,3,5,2,0.3,0.5,0.2,2.6316560516397094,35.739159949512825,76.2,True,observed_success_support,True
near_zero_margin_collision_relief,collision_relief_probe,L0_current_masked,10,1,3,6,0.1,0.3,0.6,5.158515640269251,31.424041038437927,109.0,True,observed_success_support,True
near_zero_margin_collision_relief,collision_relief_probe,L1_one_step,10,0,4,6,0.0,0.4,0.6,3.184097276351721,18.47743464076101,88.5,False,no_success_support_observed_in_m2134_aggregate,True
near_zero_margin_collision_relief,collision_relief_probe,L2_window_50,10,0,0,10,0.0,0.0,1.0,8.042220876163814,9.00930487522539,75.3,False,profile_not_in_m2138_success_support_union,True
near_zero_margin_collision_relief,collision_relief_probe,L3_online_gru,10,1,2,7,0.1,0.2,0.7,6.311865262910921,54.53852232143733,102.2,True,observed_success_support,True
near_zero_margin_collision_relief,collision_relief_probe,L3_reset_control_corrected,10,4,2,4,0.4,0.2,0.4,3.7663530532472462,60.81101035213211,92.5,True,observed_success_support,True
nominal_delay_support_boundary,support_ladder_medium,L0_current_masked,10,1,3,6,0.1,0.3,0.6,3.529702695845663,25.803466944238732,103.5,True,observed_success_support,True
nominal_delay_support_boundary,support_ladder_medium,L1_one_step,10,1,4,5,0.1,0.4,0.5,2.7540695247055575,28.121661884664622,86.1,True,observed_success_support,True
nominal_delay_support_boundary,support_ladder_medium,L2_window_50,10,0,0,10,0.0,0.0,1.0,6.589649974986434,2.0689251088584224,80.5,False,profile_not_in_m2138_success_support_union,True
nominal_delay_support_boundary,support_ladder_medium,L3_online_gru,10,5,3,2,0.5,0.3,0.2,2.7554640541372315,50.20649053741346,80.5,True,observed_success_support,True
nominal_delay_support_boundary,support_ladder_medium,L3_reset_control_corrected,10,6,1,3,0.6,0.1,0.3,4.603356101203555,66.2671616714237,102.4,True,observed_success_support,True
profile_diversity_support,support_ladder_medium,L0_current_masked,10,1,2,7,0.1,0.2,0.7,7.850148037109025,21.4715128610284,96.0,True,observed_success_support,True
profile_diversity_support,support_ladder_medium,L1_one_step,10,1,1,8,0.1,0.1,0.8,11.257083052112222,24.216473556116377,94.2,True,observed_success_support,True
profile_diversity_support,support_ladder_medium,L2_window_50,10,0,0,10,0.0,0.0,1.0,13.405535728542805,4.049963516617411,70.1,False,profile_not_in_m2138_success_support_union,True
profile_diversity_support,support_ladder_medium,L3_online_gru,10,5,0,5,0.5,0.0,0.5,11.026059897182387,55.72014210191925,94.3,True,observed_success_support,True
profile_diversity_support,support_ladder_medium,L3_reset_control_corrected,10,6,0,4,0.6,0.0,0.4,6.986406261816745,61.57854508912844,99.8,True,observed_success_support,True
