atlas_cell_id,role_family,candidate_group,parameter_bin,hidden_dynamics_bucket,sampled_obstacle_label_scope,reset_attempt_id,reset_seed_index,eval_seed,effective_env_config_path,environment_load_attempted,environment_reset_attempted,reset_success,observation_length,expected_observation_length,observation_dimension_matches_expected,observation_finite,obstacle_initialized,obstacle_label,initial_mu,mu,mass_scale,tire_stiffness_scale,brake_scale,steer_tau_scale,drive_tau_scale,speed_ref,obstacle_distance,obstacle_lateral_offset,obstacle_half_width,obstacle_threshold_score,environment_step_count,policy_action_executed,environment_rollout_started,measured_rollout_started,repair_execution_started,training_started,replay_started,ppo_used,promoted,private_holdout_used,active_config_overwritten,actor_input_contract_changed,ranking_admissible,winner_selected,paper_level_claim_made,finite_window_vs_gru_conclusion_made,level3_self_id_claim_made,scenario_redesign_executed_claim_made,training_repair_success_claim_made,current_sim_verdict_claim_made,failure_type,failure_reason
stable_aes_broad_threshold_free,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_broad_threshold_free,mixed,aes_feasible,stable_aes_broad_threshold_free_seed_002,2,246826,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_broad_threshold_free.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_broad_threshold_free,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_broad_threshold_free,mixed,aes_feasible,stable_aes_broad_threshold_free_seed_003,3,246827,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_broad_threshold_free.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_broad_threshold_free,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_broad_threshold_free,mixed,aes_feasible,stable_aes_broad_threshold_free_seed_004,4,246828,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_broad_threshold_free.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_threshold_band,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_threshold_band_0p6,mixed,aes_feasible,stable_aes_threshold_band_seed_002,2,246834,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_threshold_band.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_threshold_band,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_threshold_band_0p6,mixed,aes_feasible,stable_aes_threshold_band_seed_003,3,246835,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_threshold_band.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_threshold_band,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_threshold_band_0p6,mixed,aes_feasible,stable_aes_threshold_band_seed_005,5,246837,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_threshold_band.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_threshold_band,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_threshold_band_0p6,mixed,aes_feasible,stable_aes_threshold_band_seed_006,6,246838,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_threshold_band.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_threshold_band,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_threshold_band_0p6,mixed,aes_feasible,stable_aes_threshold_band_seed_007,7,246839,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_threshold_band.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_low_mu_near,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_low_mu_near,low_mu,aes_feasible,stable_aes_low_mu_near_seed_002,2,246842,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_low_mu_near.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
stable_aes_low_mu_near,R1_aeb_infeasible_stable_aes,stable_aes_support,aes_low_mu_near,low_mu,aes_feasible,stable_aes_low_mu_near_seed_007,7,246847,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/stable_aes_low_mu_near.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
drift_required_nominal,R2_handling_limit_drift_capable_avoidance,handling_limit_guardrail,drift_required_nominal,nominal,drift_required,drift_required_nominal_seed_005,5,246853,runs/m2468_paper_route_current_sim_dual_axis_scenario_distribution_support_atlas/effective_env_configs/drift_required_nominal.json,True,True,False,0,72,False,False,False,,,,,,,,,,,,,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scenario_sampling_failure,RuntimeError:failed to sample an obstacle scenario matching the configured filters
