metric_name,metric_family,supported_row_count,missing_row_count,total_row_count,support_status,gap_reason,claim_boundary
observation_shape,contract,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
action_shape,contract,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
actor_contract_id,contract,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
actor_input_leak_flags,contract,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
action_finite,contract,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
action_within_bounds,contract,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
episode_started,episode_status,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
episode_completed,episode_status,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
terminal_status,episode_status,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
step_count,episode_status,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
reset_status,episode_status,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
backend_status,episode_status,12,0,12,supported_by_existing_source_artifacts,present in source-only panel or derived from existing telemetry,diagnostic completeness only; not a behavior verdict
collision_event,avoidance_boundary,0,12,12,unsupported_by_existing_source_artifacts,not present in M2498/M2501 source-only panel or telemetry,diagnostic completeness only; not a behavior verdict
obstacle_passed_event,avoidance_boundary,0,12,12,unsupported_by_existing_source_artifacts,not present in M2498/M2501 source-only panel or telemetry,diagnostic completeness only; not a behavior verdict
road_departure_event,avoidance_boundary,0,12,12,unsupported_by_existing_source_artifacts,not present in M2498/M2501 source-only panel or telemetry,diagnostic completeness only; not a behavior verdict
minimum_obstacle_clearance_m,avoidance_boundary,0,12,12,unsupported_by_existing_source_artifacts,not present in M2498/M2501 source-only panel or telemetry,diagnostic completeness only; not a behavior verdict
minimum_road_margin_m,avoidance_boundary,0,12,12,unsupported_by_existing_source_artifacts,not present in M2498/M2501 source-only panel or telemetry,diagnostic completeness only; not a behavior verdict
final_road_margin_m,avoidance_boundary,0,12,12,unsupported_by_existing_source_artifacts,not present in M2498/M2501 source-only panel or telemetry,diagnostic completeness only; not a behavior verdict
