protocol_version,milestone_id,source_behavior_row_id,source_run_id,evidence_layer,surface_id,scenario_role,fixture_id,subject_id,actor_contract_id,observation_shape,action_shape,actor_encoder,action_horizon,actor_input_leak_flags,step_count,primary_obstacle_present,primary_obstacle_x0_m,primary_obstacle_y0_m,primary_obstacle_vx_mps,primary_obstacle_vy_mps,primary_obstacle_half_width_m,primary_obstacle_half_length_m,vehicle_half_width_proxy_m,vehicle_half_length_proxy_m,collision_event,obstacle_passed_event,road_departure_event,minimum_obstacle_clearance_m,minimum_road_margin_m,final_road_margin_m,collision_speed_proxy,impact_angle_proxy,severity_proxy,recovery_time_proxy_s,filled_m2516_unsupported_metrics,remaining_unsupported_metrics,diagnostic_only_no_ranking_claim,claim_scope,forbidden_interpretation,source_artifacts
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2498_role_drift_required_recovery,m2498_engineering_controller_parameterized_source_only_role_metric_panel,source_only_diagnostic,source_only_four_wheel_hf0,drift_required_recovery,hf0_four_wheel_drift_required_recovery_fixture,m1154_policy_actor,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,26,0.75,-7,-0.2,0.8,0.9,0.9,2,false,false,true,3.83939741006,-6.56332153385,-6.56332153385,0,0,0,0,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2498_role_stable_aes,m2498_engineering_controller_parameterized_source_only_role_metric_panel,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture,m1154_policy_actor,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,32,-0.5,-8,0,0.75,0.75,0.9,2,false,false,true,7.90222146063,-6.77455270611,-6.77455270611,0,0,0,0,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2498_role_unavoidable_mitigation,m2498_engineering_controller_parameterized_source_only_role_metric_panel,source_only_diagnostic,source_only_four_wheel_hf0,unavoidable_mitigation,hf0_four_wheel_unavoidable_mitigation_fixture,m1154_policy_actor,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,17,0.15,-6.5,0.1,0.95,1,0.9,2,true,true,true,-1.0818686564,-2.5793726981,-2.5793726981,6.08344584361,0.675769141956,6.42900768352,0.02,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2501_coast_open_loop_drift_required_recovery,m2501_engineering_controller_source_only_baseline_comparison_preflight,source_only_diagnostic,source_only_four_wheel_hf0,drift_required_recovery,hf0_four_wheel_drift_required_recovery_fixture,coast_open_loop,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,26,0.75,-7,-0.2,0.8,0.9,0.9,2,true,true,false,-0.93668321745,1.37937454012,1.37937454012,9.90224365269,1.06960058855e-13,9.27106690419,0.04,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2501_coast_open_loop_stable_aes,m2501_engineering_controller_source_only_baseline_comparison_preflight,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture,coast_open_loop,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,32,-0.5,-8,0,0.75,0.75,0.9,2,true,false,false,-1.13835964462,2.08734854885,2.08734854885,8.87741623537,8.93674885245e-28,10.09930012,0,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2501_coast_open_loop_unavoidable_mitigation,m2501_engineering_controller_source_only_baseline_comparison_preflight,source_only_diagnostic,source_only_four_wheel_hf0,unavoidable_mitigation,hf0_four_wheel_unavoidable_mitigation_fixture,coast_open_loop,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,17,0.15,-6.5,0.1,0.95,1,0.9,2,true,true,false,-0.905639235377,1.57551859368,1.57551859368,8.1363067251,1.92681631001e-10,7.36490494082,0.02,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2501_m1154_policy_actor_drift_required_recovery,m2501_engineering_controller_source_only_baseline_comparison_preflight,source_only_diagnostic,source_only_four_wheel_hf0,drift_required_recovery,hf0_four_wheel_drift_required_recovery_fixture,m1154_policy_actor,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,26,0.75,-7,-0.2,0.8,0.9,0.9,2,false,false,true,3.83939741006,-6.56332153385,-6.56332153385,0,0,0,0,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2501_m1154_policy_actor_stable_aes,m2501_engineering_controller_source_only_baseline_comparison_preflight,source_only_diagnostic,source_only_four_wheel_hf0,stable_aes,hf0_four_wheel_stable_aes_fixture,m1154_policy_actor,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,32,-0.5,-8,0,0.75,0.75,0.9,2,false,false,true,7.90222146063,-6.77455270611,-6.77455270611,0,0,0,0,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2501_m1154_policy_actor_unavoidable_mitigation,m2501_engineering_controller_source_only_baseline_comparison_preflight,source_only_diagnostic,source_only_four_wheel_hf0,unavoidable_mitigation,hf0_four_wheel_unavoidable_mitigation_fixture,m1154_policy_actor,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,17,0.15,-6.5,0.1,0.95,1,0.9,2,true,true,true,-1.0818686564,-2.5793726981,-2.5793726981,6.08344584361,0.675769141956,6.42900768352,0.02,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
engineering_controller_behavior_outcome_v0,m2518-engineering-controller-source-only-outcome-event-instrumentation-preflight,m2501_straight_full_brake_open_loop_drift_required_recovery,m2501_engineering_controller_source_only_baseline_comparison_preflight,source_only_diagnostic,source_only_four_wheel_hf0,drift_required_recovery,hf0_four_wheel_drift_required_recovery_fixture,straight_full_brake_open_loop,P0_human_view_72_action_3_no_oracle,72,3,human_view_online_gru,1,,100,true,26,0.75,-7,-0.2,0.8,0.9,0.9,2,true,false,false,-1.00339546619,1.44956706719,1.44956706719,2.94603778603,1.04968604485e-14,2.53552099411,0.04,collision_event|collision_speed_proxy|final_road_margin_m|impact_angle_proxy|minimum_obstacle_clearance_m|minimum_road_margin_m|obstacle_passed_event|recovery_time_proxy_s|road_departure_event|severity_proxy,mitigation_delta_against_reference|seed,true,source-only evaluator-side outcome event instrumentation only,"driver performance, controller ranking, winner selection, success-rate verdict, validation, paper, finite-window-vs-GRU, or self-ID claim",runs/m2516_engineering_controller_source_only_behavior_outcome_row_completeness/behavior_outcome_rows.csv|runs/m2498_engineering_controller_parameterized_source_only_role_metric_panel/telemetry_rows.csv|runs/m2501_engineering_controller_source_only_baseline_comparison_preflight/telemetry_rows.csv
