seed_panel_id,role_family,seed_index,seed,base_fixture_id,fixture_id,surface_id,fixture_variant_digest,initial_state_digest,fault_scale_digest,road_digest,obstacle_digest,role_metadata_only,seed_metadata_only,hidden_diagnostics_metadata_only,actor_input_contract_changed,variant_reason
m2523_stable_aes_seed_252300,stable_aes,0,252300,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_252300,source_only_four_wheel_hf0,23292a67f6698515,0f7c6e6d7ea09c36,30d605f5df8d0d5f,041d30defefcb4b7,c9a24a11aa9dcd2e,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_stable_aes_seed_252301,stable_aes,1,252301,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_252301,source_only_four_wheel_hf0,245a8a8447a05b7e,fa09a098519c398b,a4fe2a9c9048177d,413b9ad1594798fa,59d9f952db3b984f,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_stable_aes_seed_252302,stable_aes,2,252302,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_252302,source_only_four_wheel_hf0,e0b4d5b77054d712,b518030a29c3b426,c312d73cc4d20cc1,3ea132f4b3b93ea9,b10c00b61887bfe4,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_stable_aes_seed_252303,stable_aes,3,252303,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_252303,source_only_four_wheel_hf0,ebed85c04dd92f52,bd035d597841620b,61193f99c92604d0,a6a7dde944ab309a,8fd804a7930ef109,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_stable_aes_seed_252304,stable_aes,4,252304,hf0_four_wheel_stable_aes_fixture,hf0_four_wheel_stable_aes_fixture_fresh_seed_252304,source_only_four_wheel_hf0,f04ffa26e0d3ad8c,67035f2f3a8684d5,0f201b99911cb811,0a1d8c4947658a15,5280c53b569e79a8,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_drift_required_recovery_seed_253300,drift_required_recovery,0,253300,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253300,source_only_four_wheel_hf0,528f857ccb96eecb,3e78fd9c7ae66757,74363186628ff808,52e32d412c1b80a0,c21e20af5a5dc916,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_drift_required_recovery_seed_253301,drift_required_recovery,1,253301,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253301,source_only_four_wheel_hf0,4e1268f893f9fe90,3aebc0fc359de1fb,098c795c88bbcebf,fe937a2081266f54,e2926c0f28c3a22c,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_drift_required_recovery_seed_253302,drift_required_recovery,2,253302,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253302,source_only_four_wheel_hf0,8cd6e73ce38f5864,3d0686b8128087a1,c6187217e724a68b,d15a66f233a1b107,68f7e165d2f153f1,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_drift_required_recovery_seed_253303,drift_required_recovery,3,253303,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253303,source_only_four_wheel_hf0,25dc6e00a196e527,40e72fd7ddffaf5c,854f4549e2329f33,5908c787d57e0f9d,a7023ffc65f2a2b7,True,True,True,False,deterministic source-only fresh-seed perturbation
m2523_drift_required_recovery_seed_253304,drift_required_recovery,4,253304,hf0_four_wheel_drift_required_recovery_fixture,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_253304,source_only_four_wheel_hf0,75eb8c2ab9cef341,f836658d48a77412,682c69c14fcc9397,b22c9f63b0ae6cc0,d0c4d8710968315e,True,True,True,False,deterministic source-only fresh-seed perturbation
