decision_evidence_id,source_artifact,evidence_role,admitted_for_platform_selection_decision_in_m2607,admitted_for_validation_readiness_in_m2607,admitted_for_driver_performance_in_m2607,status_pass,claim_boundary
m2606_synthesis_doc_decision_result_evidence,docs/m2606-engineering-controller-route-a-baseline-hf3-after-closure-platform-selection-decision-materialization-result-synthesis.md,m2606_synthesis_doc,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2605_audit_doc_decision_result_evidence,docs/m2605-engineering-controller-route-a-baseline-hf3-after-closure-platform-selection-decision-materialization-result-audit.md,m2605_audit_doc,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_summary_decision_result_evidence,runs/m2604_engineering_controller_route_a_hf3_after_closure_platform_selection_decision/summary.json,m2604_summary,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_decision_request_rows_decision_result_evidence,runs/m2604_engineering_controller_route_a_hf3_after_closure_platform_selection_decision/hf3_after_closure_platform_selection_decision_request_rows.csv,m2604_decision_request_rows,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_evidence_admission_rows_decision_result_evidence,runs/m2604_engineering_controller_route_a_hf3_after_closure_platform_selection_decision/hf3_after_closure_platform_selection_evidence_admission_rows.csv,m2604_evidence_admission_rows,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_candidate_comparison_rows_decision_result_evidence,runs/m2604_engineering_controller_route_a_hf3_after_closure_platform_selection_decision/hf3_after_closure_platform_selection_candidate_comparison_rows.csv,m2604_candidate_comparison_rows,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_dependency_guard_rows_decision_result_evidence,runs/m2604_engineering_controller_route_a_hf3_after_closure_platform_selection_decision/hf3_after_closure_platform_selection_dependency_guard_rows.csv,m2604_dependency_guard_rows,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_validation_role_compatibility_rows_decision_result_evidence,runs/m2604_engineering_controller_route_a_hf3_after_closure_platform_selection_decision/hf3_after_closure_platform_selection_validation_role_compatibility_rows.csv,m2604_validation_role_compatibility_rows,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_actor_action_guard_rows_decision_result_evidence,runs/m2604_engineering_controller_route_a_hf3_after_closure_platform_selection_decision/hf3_after_closure_platform_selection_decision_actor_action_guard_rows.csv,m2604_actor_action_guard_rows,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2604_claim_boundary_rows_decision_result_evidence,runs/m2604_engineering_controller_route_a_hf3_after_closure_platform_selection_decision/hf3_after_closure_platform_selection_decision_claim_boundary_checks.csv,m2604_claim_boundary_rows,True,False,False,True,"Route A HF3 after-closure platform-selection decision-result materialization only; a bounded open/auditable platform family may be selected for future validation preparation; not validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
