gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,lineage,True,missing=0,missing=0,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2607_m2608_m2609_m2610_selected_platform_evidence_accepted,lineage,True,m2607_status=True;selected=chrono_vehicle_or_equivalent_open_backend;protocol_ready=False;external_execution=False,m2607_status=True;selected=chrono_vehicle_or_equivalent_open_backend;protocol_ready=False;external_execution=False,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
dependency_inventory_rows_pass,contract,True,rows=4;selected=chrono_vehicle_or_equivalent_open_backend,rows=4;selected=chrono_vehicle_or_equivalent_open_backend;install/import/run/mutation=false,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_build_adapter_probe_readiness_rows_pass,contract,True,rows=4,rows=4;static=true;source_build/adapter_probe/install/import/run/mutation=false,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
protocol_skeleton_rows_pass,claim_boundary,True,rows=2,rows=2;obs=72;action=3;execution/readiness/result=false,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_admission_prerequisite_rows_pass,claim_boundary,True,rows=2,rows=2;future prerequisites=true;ready/admitted/execution/result=false,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_guard_rows_pass,contract,True,rows=2,rows=2;obs=72;action=3;hidden/status/selection/outcomes=false,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
claim_boundary_rows_pass,claim_boundary,True,rows=20;forbidden_claims=0,rows=20;forbidden_claims=0;materialization_claims_only=true,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_contract_preserved,contract,True,obs=72;action=3,obs=72;action=3,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_external_install_import_runtime_or_dependency_mutation,claim_boundary,True,install/import/run/mutation=false,install/import/run/mutation=false,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
no_reset_action_step_rollout_or_validation_execution,claim_boundary,True,reset/action/step/rollout/validation=false,reset/action/step/rollout/validation=false,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_readiness_result_and_performance_forbidden,claim_boundary,True,dependency/readiness/admission/result/performance=false,dependency/readiness/admission/result/performance=false,,"Route A HF3 selected-platform dependency/protocol readiness design materialization only; dependency inventory and protocol skeleton rows may be materialized for the selected open/auditable platform family; not dependency execution readiness, source/build execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, HF4 discrepancy result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
