outcome_taxonomy_id,outcome_field,field_family,required_for_future_source_build_adapter_probe_audit,allowed_to_support_backend_availability_after_execution,allowed_to_support_reset_execution_admission_after_execution,actor_visible_allowed,materialized_in_m2627,status_pass,claim_boundary
source_available_source_build_adapter_probe_outcome_taxonomy,source_available,source_status,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
configure_attempted_source_build_adapter_probe_outcome_taxonomy,configure_attempted,source_build_status,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
compile_attempted_source_build_adapter_probe_outcome_taxonomy,compile_attempted,source_build_status,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
build_artifact_available_source_build_adapter_probe_outcome_taxonomy,build_artifact_available,build_artifact_status,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
adapter_import_attempted_source_build_adapter_probe_outcome_taxonomy,adapter_import_attempted,adapter_probe_status,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
adapter_probe_attempted_source_build_adapter_probe_outcome_taxonomy,adapter_probe_attempted,adapter_probe_status,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
backend_discovered_source_build_adapter_probe_outcome_taxonomy,backend_discovered,backend_status,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
probe_status_source_build_adapter_probe_outcome_taxonomy,probe_status,probe_status,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
failure_reason_source_build_adapter_probe_outcome_taxonomy,failure_reason,audit_metadata,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
execution_timestamp_source_build_adapter_probe_outcome_taxonomy,execution_timestamp,audit_metadata,True,True,True,False,True,True,"Route A HF3 selected-platform source-build/adapter-probe execution design materialization only; command contracts isolation guards future artifact/trace capture contracts outcome taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, adapter probe execution, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
