gate_id,gate_family,status_pass,observed,expected,failure_type,claim_boundary
source_artifacts_exist,lineage,True,missing=0,missing=0,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
m2627_m2628_m2629_source_build_adapter_probe_design_evidence_accepted,lineage,True,m2627_status=True;selected=chrono_vehicle_or_equivalent_open_backend;source_build=False;adapter_probe=False;backend=False,m2627_status=True;selected=chrono_vehicle_or_equivalent_open_backend;source_build=False;adapter_probe=False;backend=False,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
source_build_attempt_admission_rows_pass,contract,True,rows=2;selected=chrono_vehicle_or_equivalent_open_backend,rows=2;selected=chrono_vehicle_or_equivalent_open_backend;attempt=false;network=false,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
adapter_probe_attempt_admission_rows_pass,contract,True,rows=2;selected=chrono_vehicle_or_equivalent_open_backend,rows=2;selected=chrono_vehicle_or_equivalent_open_backend;attempt/backend/reset=false,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
dependency_runtime_guard_rows_pass,contract,True,rows=5,rows=5;install/import/mutation/network/runtime/build/probe/backend=false,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
execution_attempt_log_capture_rows_pass,contract,True,rows=5,rows=5;future capture only;source_build/probe/log_observed=false,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
backend_discovery_evidence_capture_rows_pass,contract,True,rows=4,rows=4;future capture only;probe/backend/reset/evidence=false,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
execution_failure_taxonomy_rows_pass,claim_boundary,True,rows=11,rows=11;schema only;actor-visible=false,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
actor_action_guard_rows_pass,contract,True,rows=2,rows=2;obs=72;action=3;mapping preserved;metadata=false,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
claim_boundary_rows_pass,claim_boundary,True,rows=31;forbidden_claims=0,rows=31;forbidden_claims=0;protocol_claim_only=true,,"Route A HF3 selected-platform source-build/adapter-probe execution-attempt protocol materialization only; command attempt/admission rows runtime guards future log/evidence capture rows failure taxonomy actor/action guard claim-boundary and gate panels may be materialized for the selected open/auditable platform family; not dependency execution readiness, source build execution, source build success, adapter probe execution, adapter probe success, backend discovery, backend availability, reset execution, reset success, rollout feasibility, replay execution, validation protocol readiness, validation admission, external validation execution, high-fidelity validation readiness/result, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
