protocol_version,milestone_id,measured_behavior_row_id,seed_panel_id,seed_index,evidence_layer,surface_id,scenario_role,fixture_id,base_fixture_id,subject_id,seed,mitigation_reference_subject,collision_event,obstacle_passed_event,road_departure_event,minimum_obstacle_clearance_m,minimum_road_margin_m,final_road_margin_m,collision_speed_proxy,impact_angle_proxy,severity_proxy,mitigation_delta_against_reference,recovery_time_proxy_s,diagnostic_only_no_ranking_claim,claim_scope,forbidden_interpretation,dynamics_axis_id,dynamics_axis_family,axis_index
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_coast_open_loop_stable_avoidable_seed_264100_fresh_nominal_or_role_default,m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,m2641_source_only_stable_avoidable_base,coast_open_loop,264100,straight_full_brake_open_loop,false,false,false,11.9616213571,1.82423440132,1.82423440132,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_m1154_original_policy_stable_avoidable_seed_264100_fresh_nominal_or_role_default,m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,m2641_source_only_stable_avoidable_base,m1154_original_policy,264100,straight_full_brake_open_loop,false,false,true,16.4124018759,-3.2245710157,-3.2245710157,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_m2532_guarded_repair_policy_stable_avoidable_seed_264100_fresh_nominal_or_role_default,m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,m2641_source_only_stable_avoidable_base,m2532_guarded_repair_policy,264100,straight_full_brake_open_loop,false,false,false,18.3567875301,0.637402384001,0.638079342471,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_m2537_mitigation_preserving_policy_stable_avoidable_seed_264100_fresh_nominal_or_role_default,m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,m2641_source_only_stable_avoidable_base,m2537_mitigation_preserving_policy,264100,straight_full_brake_open_loop,false,false,false,18.3567866205,0.637401490509,0.63807843179,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_straight_full_brake_open_loop_stable_avoidable_seed_264100_fresh_nominal_or_role_default,m2641_stable_avoidable_seed_264100_fresh_nominal_or_role_default,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,m2641_source_only_stable_avoidable_base,straight_full_brake_open_loop,264100,straight_full_brake_open_loop,false,false,false,17.0310382364,1.88517601604,1.88552123471,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_nominal_or_role_default,fresh_nominal_or_role_default,0
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_coast_open_loop_stable_avoidable_seed_264100_fresh_fault_delay_noise,m2641_stable_avoidable_seed_264100_fresh_fault_delay_noise,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,coast_open_loop,264100,straight_full_brake_open_loop,false,false,false,11.9615662417,1.82771546746,1.82771546746,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_fault_delay_noise,fresh_fault_delay_noise,1
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_m1154_original_policy_stable_avoidable_seed_264100_fresh_fault_delay_noise,m2641_stable_avoidable_seed_264100_fresh_fault_delay_noise,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,m1154_original_policy,264100,straight_full_brake_open_loop,false,false,true,15.5695157667,-2.61617343709,-2.61617343709,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_fault_delay_noise,fresh_fault_delay_noise,1
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_m2532_guarded_repair_policy_stable_avoidable_seed_264100_fresh_fault_delay_noise,m2641_stable_avoidable_seed_264100_fresh_fault_delay_noise,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,m2532_guarded_repair_policy,264100,straight_full_brake_open_loop,false,false,false,17.7726082214,0.806804870194,0.806804870194,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_fault_delay_noise,fresh_fault_delay_noise,1
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_m2537_mitigation_preserving_policy_stable_avoidable_seed_264100_fresh_fault_delay_noise,m2641_stable_avoidable_seed_264100_fresh_fault_delay_noise,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,m2537_mitigation_preserving_policy,264100,straight_full_brake_open_loop,false,false,false,17.7726073234,0.806803842284,0.806803842284,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_fault_delay_noise,fresh_fault_delay_noise,1
engineering_controller_behavior_outcome_v0,m2641-engineering-controller-route-a-baseline-source-only-fresh-generalization-panel-materialization-preflight,m2641_straight_full_brake_open_loop_stable_avoidable_seed_264100_fresh_fault_delay_noise,m2641_stable_avoidable_seed_264100_fresh_fault_delay_noise,0,source_only_diagnostic,source_only_four_wheel_hf0,stable_avoidable,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,straight_full_brake_open_loop,264100,straight_full_brake_open_loop,false,false,false,16.5703855126,1.88321350889,1.88321350889,0,0,0,0,0,true,Route A source-only fresh generalization panel materialization preflight only,"controller ranking, winner selection, success-rate verdict, promotion, validation, driver performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID claim",fresh_fault_delay_noise,fresh_fault_delay_noise,1
