panel_spec_id,role_family,role_class,seed_index,seed,fresh_seed_not_in_m2641,source_focus_seed,source_focus_dynamics_axis_id,base_fixture_id,fixture_id,surface_id,fixture_variant_digest,initial_state_digest,fault_scale_digest,road_digest,obstacle_digest,dynamics_axis_id,dynamics_axis_family,axis_index,axis_family,uniform_grip_scale,left_right_split_mu_scale,lateral_stiffness_scale,brake_scale,steering_delay_steps,throttle_delay_steps,brake_delay_steps,sensor_noise_std,source_only_fault_axis_applied,actuator_delay_applied_to_backend,sensor_noise_applied_to_actor_input,obstacle_longitudinal_delta_m,obstacle_lateral_delta_m,obstacle_width_scale,fresh_failure_surface_axis,actor_visible_allowed,actor_input_contract_changed,hidden_diagnostics_metadata_only,variant_reason,claim_scope
m2662_unavoidable_mitigation_seed_268200_fresh_protected_nominal,unavoidable_mitigation,protected,0,268200,True,267100,fresh_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268200_m2662_fresh_protected_nominal,source_only_four_wheel_hf0,afc820bc75dcc238,ff91835aa963c110,0f47c98d248a1d10,49e6462ba95b9f9d,7ca4aa33aac0ec7c,fresh_protected_nominal,protected_nominal,0,protected_nominal,1.0,1.0,1.0,1.0,0,0,0,0.0,False,False,False,0.0,0.0,1.0,False,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268200_fresh_protected_fault_delay_noise,unavoidable_mitigation,protected,0,268200,True,267100,fresh_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268200_m2662_fresh_protected_fault_delay_noise,source_only_four_wheel_hf0,e4da7c18282d757a,ff91835aa963c110,0b7d98c7663abdfd,49e6462ba95b9f9d,7ca4aa33aac0ec7c,fresh_protected_fault_delay_noise,protected_fault_delay_noise,1,protected_fault_delay_noise,0.6773330809111469,0.8970677184096966,0.8143798287153103,0.9385104202107029,0,0,0,0.0,True,False,False,0.0,0.0,1.0,True,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268200_fresh_protected_close_cut_in_fault,unavoidable_mitigation,protected,0,268200,True,267100,fresh_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268200_m2662_fresh_protected_close_cut_in_fault,source_only_four_wheel_hf0,5bc19b0a7a485947,ff91835aa963c110,ce8a5173d6536093,49e6462ba95b9f9d,541bdb6efee12fa7,fresh_protected_close_cut_in_fault,protected_close_cut_in_fault,2,protected_close_cut_in_fault,0.6711196819170856,0.9412180802958622,0.8434778424812941,0.8602830282990499,0,0,0,0.0,True,False,False,-1.5452991993433942,-0.2896043973022615,1.0867781320720076,True,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268201_fresh_protected_nominal,unavoidable_mitigation,protected,1,268201,True,267100,fresh_nominal_or_role_default,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268201_m2662_fresh_protected_nominal,source_only_four_wheel_hf0,a29f8f69164e634f,5de2db8602bf41d6,7c589375bc1b7cbc,542c08111d06ea2e,70422544415c3977,fresh_protected_nominal,protected_nominal,0,protected_nominal,1.0,1.0,1.0,1.0,0,0,0,0.0,False,False,False,0.0,0.0,1.0,False,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268201_fresh_protected_fault_delay_noise,unavoidable_mitigation,protected,1,268201,True,267100,fresh_nominal_or_role_default,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268201_m2662_fresh_protected_fault_delay_noise,source_only_four_wheel_hf0,5afc3433ab98b22e,5de2db8602bf41d6,11c5d70bc8dd8d6d,542c08111d06ea2e,70422544415c3977,fresh_protected_fault_delay_noise,protected_fault_delay_noise,1,protected_fault_delay_noise,0.8981502445639307,0.7257227065657288,0.7288322305631237,0.7497724838438434,0,0,0,0.0,True,False,False,0.0,0.0,1.0,True,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268201_fresh_protected_close_cut_in_fault,unavoidable_mitigation,protected,1,268201,True,267100,fresh_nominal_or_role_default,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268201_m2662_fresh_protected_close_cut_in_fault,source_only_four_wheel_hf0,21d3d528b864fd79,5de2db8602bf41d6,a8b03e2c00ede9e0,542c08111d06ea2e,4fbbcf08a395b582,fresh_protected_close_cut_in_fault,protected_close_cut_in_fault,2,protected_close_cut_in_fault,0.814372585592305,0.7331494994674579,0.5925556424139988,0.8164209010993166,0,0,0,0.0,True,False,False,-2.068493699451876,-0.024392426506893772,1.0423669196400656,True,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268202_fresh_protected_nominal,unavoidable_mitigation,protected,2,268202,True,267101,fresh_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268202_m2662_fresh_protected_nominal,source_only_four_wheel_hf0,dd9baeedf586de42,f81aa57ffbcb4b25,9bd77ca21846f375,deb17aabe1975c52,b5d29c0a2b7d89ef,fresh_protected_nominal,protected_nominal,0,protected_nominal,1.0,1.0,1.0,1.0,0,0,0,0.0,False,False,False,0.0,0.0,1.0,False,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268202_fresh_protected_fault_delay_noise,unavoidable_mitigation,protected,2,268202,True,267101,fresh_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268202_m2662_fresh_protected_fault_delay_noise,source_only_four_wheel_hf0,b06df320f13be852,f81aa57ffbcb4b25,3f78be50c2a90c69,deb17aabe1975c52,b5d29c0a2b7d89ef,fresh_protected_fault_delay_noise,protected_fault_delay_noise,1,protected_fault_delay_noise,0.7676585243654616,0.9897941542449755,0.7431164971516402,0.9609593232452498,0,0,0,0.0,True,False,False,0.0,0.0,1.0,True,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268202_fresh_protected_close_cut_in_fault,unavoidable_mitigation,protected,2,268202,True,267101,fresh_fault_delay_noise,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268202_m2662_fresh_protected_close_cut_in_fault,source_only_four_wheel_hf0,69c13111aeda78bf,f81aa57ffbcb4b25,e313bf7b90dffce9,deb17aabe1975c52,a45ac8d7dfe0cb4e,fresh_protected_close_cut_in_fault,protected_close_cut_in_fault,2,protected_close_cut_in_fault,0.6165452928825086,0.7757935383112559,0.7972846984683465,0.7372777747727881,0,0,0,0.0,True,False,False,-1.9818547257871715,-0.09726105736297092,1.0888900549938003,True,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
m2662_unavoidable_mitigation_seed_268203_fresh_protected_nominal,unavoidable_mitigation,protected,3,268203,True,267101,fresh_nominal_or_role_default,hf0_four_wheel_unavoidable_mitigation_fixture,hf0_four_wheel_unavoidable_mitigation_fixture_fresh_seed_268203_m2662_fresh_protected_nominal,source_only_four_wheel_hf0,4512db076cc46a90,fb6f97d8c8c22a5f,2c6dd851fe61151c,8745eac0a0b83cee,059ddd40a6afe7e5,fresh_protected_nominal,protected_nominal,0,protected_nominal,1.0,1.0,1.0,1.0,0,0,0,0.0,False,False,False,0.0,0.0,1.0,False,False,False,True,m2662 fresh protected mitigation failure-surface seed and axis,"Route A source-only protected mitigation fresh failure-surface panel only; no repair execution, training, PPO, ranking, winner selection, promotion, success-rate verdict, validation, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, or self-ID claim"
