profile_name,profile_seed,config_path,checkpoint_path,config_exists,checkpoint_exists,level,actor_encoder,observation_dim,env_history_length,contract_violations
L0_current_masked,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L0_current_masked_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L0_current_masked/seed_167400/checkpoint.pt,True,True,L0_current_observation,mlp,72,1,[]
L1_one_step,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L1_one_step_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L1_one_step/seed_167400/checkpoint.pt,True,True,L1_one_step_feedback,mlp,72,1,[]
L2_window_13,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13/seed_167400/checkpoint.pt,True,True,L2_finite_window,temporal_gru,936,13,[]
L2_window_13_current_tiled,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_13_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_13_current_tiled/seed_167400/checkpoint.pt,True,True,L2_finite_window_current_tiled_control,temporal_gru,936,13,[]
L2_window_25,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25/seed_167400/checkpoint.pt,True,True,L2_finite_window,temporal_gru,1800,25,[]
L2_window_25_current_tiled,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_25_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_25_current_tiled/seed_167400/checkpoint.pt,True,True,L2_finite_window_current_tiled_control,temporal_gru,1800,25,[]
L2_window_50,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50/seed_167400/checkpoint.pt,True,True,L2_finite_window,temporal_gru,3600,50,[]
L2_window_50_current_tiled,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_50_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_50_current_tiled/seed_167400/checkpoint.pt,True,True,L2_finite_window_current_tiled_control,temporal_gru,3600,50,[]
L2_window_100,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100/seed_167400/checkpoint.pt,True,True,L2_finite_window,temporal_gru,7200,100,[]
L2_window_100_current_tiled,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L2_window_100_current_tiled_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L2_window_100_current_tiled/seed_167400/checkpoint.pt,True,True,L2_finite_window_current_tiled_control,temporal_gru,7200,100,[]
L3_online_gru,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,True,True,L3_online_gru,human_view_online_gru,72,1,[]
L3_reset_control_corrected,167400,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_reset_control_corrected_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_reset_control_corrected/seed_167400/checkpoint.pt,True,True,L3_online_gru_reset_control_corrected,human_view_online_gru,72,1,[]
