comparison,left_group,right_group,left_episode_count,right_episode_count,success_rate_delta,collision_rate_delta,clearance_margin_mean_delta,return_mean_delta,diagnostic_only_no_ranking_claim
L2_window_13_normal_minus_current_tiled,L2_window_13,L2_window_13_current_tiled,72,72,0.0,0.0,2.359387733433195,-2.1947367764887016,True
L2_window_25_normal_minus_current_tiled,L2_window_25,L2_window_25_current_tiled,72,72,0.0,-0.013888888888888888,-0.45226525240409643,-1.4131979242146198,True
L2_window_50_normal_minus_current_tiled,L2_window_50,L2_window_50_current_tiled,72,72,0.0,0.013888888888888888,1.1857766403112784,-0.06681855193161113,True
L2_window_100_normal_minus_current_tiled,L2_window_100,L2_window_100_current_tiled,72,72,0.0,0.0,1.5656475359731434,-2.6773000219571887,True
L3_online_minus_L3_reset_control,L3_online_gru,L3_reset_control_corrected,72,72,-0.06944444444444445,0.027777777777777776,-0.5557775117167676,1.7427032208057796,True
L3_online_minus_best_L2_normal,L3_online_gru,L2_window_13,72,72,0.19444444444444445,0.05555555555555555,-7.282939746731788,36.775994428242385,True
L3_online_minus_all_L2,L3_online_gru,all_L2,72,576,0.19444444444444445,0.04513888888888889,-5.223405297690711,35.62322604606851,True
L1_one_step_minus_history_capable,L1_one_step,L2_L3,72,648,-0.021604938271604937,0.19290123456790126,-3.942607897651423,6.299968576647331,True
task_family_T4_minus_T5,T4,T5,432,432,-0.034722222222222224,-0.034722222222222224,6.154529915652447,1.0469510727325329,True
explicit_window_subset_minus_all_72_specs,explicit_window_subset,all_72_specs,396,864,0.009995791245791245,0.01757154882154882,-2.031015556523572,-0.6087645610751053,True
mapping_window_unspecified_minus_all_72_specs,mapping_window_unspecified,all_72_specs,468,864,-0.00845797720797721,-0.014868233618233619,1.718551624750713,0.5151084747558556,True
