slice_kind,slice_id,profile_name,task_source_id,task_family,episode_count,profile_count,spec_count,success_count,collision_count,offtrack_outcome_count,speed_too_low_count,termination_offtrack_count,success_rate,collision_rate,offtrack_outcome_rate,termination_offtrack_rate,dominant_outcome,dominance_share,hidden_dynamics_bucket_present,outcome_dominance_blocked,task_quality_blocked,interpretable_for_history_comparison,reason,claim_boundary
spec,task_source_id=m1680-spec-0000,,m1680-spec-0000,,12,12,1,1,0,11,0,11,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,off_track_noncollision_noncompletion,0.9166666666666666,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.9167; offtrack task-quality blocker active; hidden_dynamics_bucket missing,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0001,,m1680-spec-0001,,12,12,1,0,0,12,0,12,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0002,,m1680-spec-0002,,12,12,1,1,0,10,1,10,0.08333333333333333,0.0,0.8333333333333334,0.8333333333333334,off_track_noncollision_noncompletion,0.8333333333333334,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.8333; offtrack task-quality blocker active; hidden_dynamics_bucket missing,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0003,,m1680-spec-0003,,12,12,1,0,0,12,0,12,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0004,,m1680-spec-0004,,12,12,1,0,0,12,0,12,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0005,,m1680-spec-0005,,12,12,1,0,0,12,0,12,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0006,,m1680-spec-0006,,12,12,1,0,0,12,0,12,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0007,,m1680-spec-0007,,12,12,1,0,0,12,0,12,0.0,0.0,1.0,1.0,off_track_noncollision_noncompletion,1.0,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=1.0000; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0008,,m1680-spec-0008,,12,12,1,0,1,11,0,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,off_track_noncollision_noncompletion,0.9166666666666666,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.9167; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
spec,task_source_id=m1680-spec-0009,,m1680-spec-0009,,12,12,1,0,1,11,0,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,off_track_noncollision_noncompletion,0.9166666666666666,False,True,True,False,dominant_outcome=off_track_noncollision_noncompletion share=0.9167; offtrack task-quality blocker active; hidden_dynamics_bucket missing; zero success support,"Route B task-quality and outcome-dominance calibration materialization only; existing M2677 rows may be reaggregated into diagnostic blocker and interpretability panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
