subset_row_id,candidate_id,task_source_id,workload_id,profile_name,task_family,source_edge,role_semantics_proxy,window_tag,strata,existing_outcome_bucket,existing_termination_reason,existing_profile_env_history_length,future_execution_reason,proposed_execution_stage,diagnostic_only_no_verdict,not_selected_from_success_only,actor_input_contract_changed,role_semantics_actor_visible,hidden_oracle_actor_input_required,claim_boundary
m2682-subset-0001,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L0_current_masked,L0_current_masked,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,1,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0002,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L1_one_step,L1_one_step,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,1,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0003,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L2_window_100,L2_window_100,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,100,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0004,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L2_window_100_current_tiled,L2_window_100_current_tiled,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,100,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0005,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L2_window_13,L2_window_13,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,13,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0006,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L2_window_13_current_tiled,L2_window_13_current_tiled,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,13,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0007,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L2_window_25,L2_window_25,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,25,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0008,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L2_window_25_current_tiled,L2_window_25_current_tiled,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,25,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0009,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L2_window_50,L2_window_50,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,50,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0010,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L2_window_50_current_tiled,L2_window_50_current_tiled,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,50,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0011,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L3_online_gru,L3_online_gru,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,success_obstacle_pass,,1,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0012,m2682-candidate-001,m1680-spec-0000,m1680-spec-0000::L3_reset_control_corrected,L3_reset_control_corrected,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,1,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0013,m2682-candidate-001,m1680-spec-0028,m1680-spec-0028::L0_current_masked,L0_current_masked,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,1,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0014,m2682-candidate-001,m1680-spec-0028,m1680-spec-0028::L1_one_step,L1_one_step,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,1,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0015,m2682-candidate-001,m1680-spec-0028,m1680-spec-0028::L2_window_100,L2_window_100,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,100,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0016,m2682-candidate-001,m1680-spec-0028,m1680-spec-0028::L2_window_100_current_tiled,L2_window_100_current_tiled,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,100,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2682-subset-0017,m2682-candidate-001,m1680-spec-0028,m1680-spec-0028::L2_window_13,L2_window_13,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,off_track_noncollision_noncompletion,off_track,13,"candidate admits whole spec/profile cells for post-audit measured execution, not current-row interpretation",post_audit_measured_subset_candidate,True,True,False,False,False,"Route B task-quality and role-semantics repair materialization only; existing M2677 and M2680 rows may be reaggregated into diagnostic blocker, candidate, excluded, and proposed future measured-subset panels, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
