protocol_controller_family_id,runtime_profile_name,executed_profile_name,target_subset_cell_count,target_subset_spec_count,executed_episode_count,executed_spec_count,failed_cell_count,accounted_cell_count,runtime_enforcement_status_pass,runtime_join_status_pass,config_exists,protocol_row_present,actor_encoder,actor_history_length,env_history_length,observation_shape,action_shape,observation_mask,history_transform,reset_hidden_policy,current_tiled_expected,current_tiled_runtime_observed,reset_truncated_expected,reset_policy_routing_ok,previous_command_mask_observed,actor_contract_shape_72_action_3,hidden_oracle_actor_input_detected,private_holdout_used,m2673_policy_rollout_run,bounded_subset_policy_rollout_run,policy_rollout_allowed,training_started,ppo_used,replay_started,profile_specific_tuning,role_semantics_actor_visible,success_rate_metric_recorded,comparison_delta_metric_recorded,success_rate_verdict_claim_made,controller_family_ranking_claim_made,claim_boundary
L0-current,L0_current_masked,L0_current_masked,18,18,18,18,0,18,True,True,True,True,mlp,1,1,72,3,zero_previous_command_fields,none,not_applicable,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L1-one-step,L1_one_step,L1_one_step,18,18,18,18,0,18,True,True,True,True,mlp,1,1,72,3,none,none,not_applicable,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L2-window-13,L2_window_13,L2_window_13,18,18,18,18,0,18,True,True,True,True,temporal_gru,13,13,936,3,none,none,per_decision_window,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L2-current-tiled,L2_window_13_current_tiled,L2_window_13_current_tiled,18,18,18,18,0,18,True,True,True,True,temporal_gru,13,13,936,3,none,current_tiled,per_decision_window,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L2-window-25,L2_window_25,L2_window_25,18,18,18,18,0,18,True,True,True,True,temporal_gru,25,25,1800,3,none,none,per_decision_window,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L2-current-tiled,L2_window_25_current_tiled,L2_window_25_current_tiled,18,18,18,18,0,18,True,True,True,True,temporal_gru,25,25,1800,3,none,current_tiled,per_decision_window,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L2-window-50,L2_window_50,L2_window_50,18,18,18,18,0,18,True,True,True,True,temporal_gru,50,50,3600,3,none,none,per_decision_window,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L2-current-tiled,L2_window_50_current_tiled,L2_window_50_current_tiled,18,18,18,18,0,18,True,True,True,True,temporal_gru,50,50,3600,3,none,current_tiled,per_decision_window,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L2-window-100,L2_window_100,L2_window_100,18,18,18,18,0,18,True,True,True,True,temporal_gru,100,100,7200,3,none,none,per_decision_window,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L2-current-tiled,L2_window_100_current_tiled,L2_window_100_current_tiled,18,18,18,18,0,18,True,True,True,True,temporal_gru,100,100,7200,3,none,current_tiled,per_decision_window,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L3-online-GRU,L3_online_gru,L3_online_gru,18,18,18,18,0,18,True,True,True,True,human_view_online_gru,1,1,72,3,none,none,episode_persistent,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
L3-reset-truncated-control,L3_reset_control_corrected,L3_reset_control_corrected,18,18,18,18,0,18,True,True,True,True,human_view_online_gru,1,1,72,3,none,none,every_step_control,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,"Route B task-quality and role-semantics bounded subset execution preflight only; reset, step, rollout, and policy actions may be recorded for the pre-registered M2682 216-row subset or explicit failure rows, but no replay, training, PPO, private holdout, profile-specific tuning, controller-family ranking, winner selection, promotion, success-rate verdict, comparison-delta verdict, driver-performance, paper, finite-window-vs-GRU, current-response sufficiency, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
