target_id,target_family,source_family,source_key,task_family,source_edge_or_axis,role_semantics_proxy,episode_or_row_count,blocking_count,regressed_row_count,existing_success_count,existing_collision_count,existing_offtrack_count,source_diversity_bucket,future_execution_role,diagnostic_only_no_verdict,actor_input_contract_changed,target_labels_actor_visible,hidden_oracle_actor_input_required,protected_rows_in_success_denominator,claim_scope
m2691-target-0001,current_sim_offtrack_containment,current_sim_offtrack,T4:actuator_delay_step|capability_step_up,T4,actuator_delay_step|capability_step_up,hidden_dynamics_or_actuator_response,24,22,,2,0,22,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0002,current_sim_offtrack_containment,current_sim_offtrack,T4:capability_step_down|t4_actuator_delay_response,T4,capability_step_down|t4_actuator_delay_response,hidden_dynamics_or_actuator_response,24,24,,0,0,24,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0003,current_sim_offtrack_containment,current_sim_offtrack,T4:t4_actuator_delay_response|capability_step_up,T4,t4_actuator_delay_response|capability_step_up,hidden_dynamics_or_actuator_response,24,24,,0,0,24,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0004,current_sim_offtrack_containment,current_sim_offtrack,T4:t4_capability_step_temporal|capability_step_down,T4,t4_capability_step_temporal|capability_step_down,hidden_dynamics_or_actuator_response,24,22,,1,1,22,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0005,current_sim_offtrack_containment,current_sim_offtrack,T4:t4_staged_warmup_capability|capability_step_up,T4,t4_staged_warmup_capability|capability_step_up,hidden_dynamics_or_actuator_response,24,23,,0,1,23,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0006,current_sim_offtrack_containment,current_sim_offtrack,T5:actuator_delay_step|t5_near_boundary_warmup,T5,actuator_delay_step|t5_near_boundary_warmup,hidden_dynamics_or_actuator_response,24,21,,3,0,21,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0007,current_sim_offtrack_containment,current_sim_offtrack,T5:capability_step_down|t5_near_boundary_warmup,T5,capability_step_down|t5_near_boundary_warmup,hidden_dynamics_or_actuator_response,24,22,,2,0,22,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0008,current_sim_offtrack_containment,current_sim_offtrack,T5:curved_boundary_obstacle|t5_boundary_axis_retarget,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,boundary_or_reveal_geometry,24,22,,1,1,22,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0009,current_sim_offtrack_containment,current_sim_offtrack,T5:drive_loss_proxy|curved_boundary_obstacle,T5,drive_loss_proxy|curved_boundary_obstacle,boundary_or_reveal_geometry,24,22,,2,0,22,current_sim_task_source_edge,post_audit_measured_target_candidate; must include fresh source diversity before verdict,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0010,protected_mitigation_preservation,protected_mitigation,m2657_protected_mitigation_tradeoff_boundary,route_a_protected,scenario_role,unavoidable_mitigation,8,8,5,,,,route_a_fresh_protected_taxonomy,post_audit_measured_target_candidate; protected rows must remain outside success denominators,True,False,False,False,False,"M2691 source-diverse off-track/protected target-panel materialization only; existing M2684 off-track, M2664/M2667 protected, and M2688 blocker artifacts may be reanalyzed into blocker-source, target-panel, source-diversity, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, package publication, ranking, winner selection, promotion, success-rate verdict, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
