target_id,source_family,target_family,source_key,source_diversity_bucket,existing_blocking_count,existing_regressed_row_count,existing_offtrack_count,execution_row_count,failure_row_count,accounted,protected_rows_in_success_denominator,target_labels_actor_visible,claim_boundary
m2691-target-0001,current_sim_offtrack,current_sim_offtrack_containment,T4:actuator_delay_step|capability_step_up,current_sim_task_source_edge,22,,22,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0002,current_sim_offtrack,current_sim_offtrack_containment,T4:capability_step_down|t4_actuator_delay_response,current_sim_task_source_edge,24,,24,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0003,current_sim_offtrack,current_sim_offtrack_containment,T4:t4_actuator_delay_response|capability_step_up,current_sim_task_source_edge,24,,24,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0004,current_sim_offtrack,current_sim_offtrack_containment,T4:t4_capability_step_temporal|capability_step_down,current_sim_task_source_edge,22,,22,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0005,current_sim_offtrack,current_sim_offtrack_containment,T4:t4_staged_warmup_capability|capability_step_up,current_sim_task_source_edge,23,,23,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0006,current_sim_offtrack,current_sim_offtrack_containment,T5:actuator_delay_step|t5_near_boundary_warmup,current_sim_task_source_edge,21,,21,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0007,current_sim_offtrack,current_sim_offtrack_containment,T5:capability_step_down|t5_near_boundary_warmup,current_sim_task_source_edge,22,,22,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0008,current_sim_offtrack,current_sim_offtrack_containment,T5:curved_boundary_obstacle|t5_boundary_axis_retarget,current_sim_task_source_edge,22,,22,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0009,current_sim_offtrack,current_sim_offtrack_containment,T5:drive_loss_proxy|curved_boundary_obstacle,current_sim_task_source_edge,22,,22,1,0,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2691-target-0010,protected_mitigation,protected_mitigation_preservation,m2657_protected_mitigation_tradeoff_boundary,route_a_fresh_protected_taxonomy,8,5,,0,1,True,False,False,"M2693 source-diverse off-track/protected bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the bounded M2691 current-sim target rows, protected targets may be recorded as explicit non-executable failure rows, but no replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
