workload_candidate_id,runner_spec_id,source_panel_spec_id,profile_name,policy_subject_id,policy_checkpoint_path,policy_checkpoint_exists,reference_profile_config_path,reference_profile_config_exists,reference_profile_checkpoint_path,m1690_exact_workload_match,m1690_reference_workload_id,protected_task_family,protected_source_edge,workload_candidate_status,environment_rollout_scheduled,training_scheduled,profile_specific_tuning,actor_input_contract_changed,hidden_oracle_actor_input_required,target_labels_actor_visible,protected_rows_in_success_denominator,materialization_only_no_execution,diagnostic_only_no_verdict,claim_boundary
m2697-protected-runner-spec-0001::L3_online_gru,m2697-protected-runner-spec-0001,m2662_unavoidable_mitigation_seed_268200_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0002::L3_online_gru,m2697-protected-runner-spec-0002,m2662_unavoidable_mitigation_seed_268200_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0003::L3_online_gru,m2697-protected-runner-spec-0003,m2662_unavoidable_mitigation_seed_268200_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0004::L3_online_gru,m2697-protected-runner-spec-0004,m2662_unavoidable_mitigation_seed_268201_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0005::L3_online_gru,m2697-protected-runner-spec-0005,m2662_unavoidable_mitigation_seed_268201_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0006::L3_online_gru,m2697-protected-runner-spec-0006,m2662_unavoidable_mitigation_seed_268201_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0007::L3_online_gru,m2697-protected-runner-spec-0007,m2662_unavoidable_mitigation_seed_268202_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0008::L3_online_gru,m2697-protected-runner-spec-0008,m2662_unavoidable_mitigation_seed_268202_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0009::L3_online_gru,m2697-protected-runner-spec-0009,m2662_unavoidable_mitigation_seed_268202_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2697-protected-runner-spec-0010::L3_online_gru,m2697-protected-runner-spec-0010,m2662_unavoidable_mitigation_seed_268203_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,protected_runner_spec_materialized_not_in_current_m1690_workload,False,False,False,False,False,False,False,True,True,"M2697 protected mitigation runner-spec generation materialization only; M2695 unbridgeable protected targets, M2662 protected panel specs, M2664 taxonomy rows, M2667 known-failure rows, and M1690 executable workload schema may be reanalyzed into protected runner-spec, workload-candidate, traceability, unmaterialized, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
