adapter_candidate_id,workload_candidate_id,runner_spec_id,source_panel_spec_id,profile_name,policy_subject_id,policy_checkpoint_path,policy_checkpoint_exists,reference_profile_config_path,reference_profile_config_exists,m1690_exact_workload_match,m1690_reference_workload_id,protected_task_family,protected_source_edge,adapter_admission_status,adapter_backend_family,adapter_contract_rule,environment_rollout_scheduled,training_scheduled,profile_specific_tuning,actor_input_contract_changed,hidden_oracle_actor_input_required,protected_labels_actor_visible,protected_rows_in_success_denominator,materialization_only_no_execution,diagnostic_only_no_verdict,claim_scope
m2700-adapter-candidate-0001,m2697-protected-runner-spec-0001::L3_online_gru,m2697-protected-runner-spec-0001,m2662_unavoidable_mitigation_seed_268200_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0002,m2697-protected-runner-spec-0002::L3_online_gru,m2697-protected-runner-spec-0002,m2662_unavoidable_mitigation_seed_268200_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0003,m2697-protected-runner-spec-0003::L3_online_gru,m2697-protected-runner-spec-0003,m2662_unavoidable_mitigation_seed_268200_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0004,m2697-protected-runner-spec-0004::L3_online_gru,m2697-protected-runner-spec-0004,m2662_unavoidable_mitigation_seed_268201_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0005,m2697-protected-runner-spec-0005::L3_online_gru,m2697-protected-runner-spec-0005,m2662_unavoidable_mitigation_seed_268201_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0006,m2697-protected-runner-spec-0006::L3_online_gru,m2697-protected-runner-spec-0006,m2662_unavoidable_mitigation_seed_268201_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0007,m2697-protected-runner-spec-0007::L3_online_gru,m2697-protected-runner-spec-0007,m2662_unavoidable_mitigation_seed_268202_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0008,m2697-protected-runner-spec-0008::L3_online_gru,m2697-protected-runner-spec-0008,m2662_unavoidable_mitigation_seed_268202_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0009,m2697-protected-runner-spec-0009::L3_online_gru,m2697-protected-runner-spec-0009,m2662_unavoidable_mitigation_seed_268202_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2700-adapter-candidate-0010,m2697-protected-runner-spec-0010::L3_online_gru,m2697-protected-runner-spec-0010,m2662_unavoidable_mitigation_seed_268203_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,True,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,True,False,m1680-spec-0000::L3_online_gru,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,adapter_contract_materialized_not_execution_admitted,source_only_four_wheel_hf0,m2697_candidate_to_protected_runner_adapter_contract,False,False,False,False,False,False,False,True,True,"M2700 protected runner adapter contract materialization only; M2697 protected runner-spec rows, protected workload candidates, traceability rows, actor-contract guard rows, claim-boundary rows, gate rows, and M1690 schema references may be reanalyzed into adapter input-source, candidate mapping, rejection, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
