support_candidate_id,execution_admission_candidate_id,adapter_candidate_id,workload_candidate_id,runner_spec_id,source_panel_spec_id,profile_name,policy_subject_id,protected_task_family,protected_source_edge,execution_admission_status,m1690_exact_workload_match,m1690_reference_workload_id,support_status,support_blocker_status,support_rule,required_follow_up,candidate_can_be_represented_in_current_runner,candidate_requires_new_workload_row,candidate_requires_simulator_fixture,candidate_requires_runtime_adapter,environment_reset_scheduled,environment_rollout_scheduled,measured_validation_scheduled,training_scheduled,profile_specific_tuning,actor_input_contract_changed,hidden_oracle_actor_input_required,protected_labels_actor_visible,protected_rows_in_success_denominator,materialization_only_no_execution,diagnostic_only_no_verdict,claim_scope
m2706-support-candidate-0001,m2703-execution-admission-candidate-0001,m2700-adapter-candidate-0001,m2697-protected-runner-spec-0001::L3_online_gru,m2697-protected-runner-spec-0001,m2662_unavoidable_mitigation_seed_268200_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0002,m2703-execution-admission-candidate-0002,m2700-adapter-candidate-0002,m2697-protected-runner-spec-0002::L3_online_gru,m2697-protected-runner-spec-0002,m2662_unavoidable_mitigation_seed_268200_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0003,m2703-execution-admission-candidate-0003,m2700-adapter-candidate-0003,m2697-protected-runner-spec-0003::L3_online_gru,m2697-protected-runner-spec-0003,m2662_unavoidable_mitigation_seed_268200_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0004,m2703-execution-admission-candidate-0004,m2700-adapter-candidate-0004,m2697-protected-runner-spec-0004::L3_online_gru,m2697-protected-runner-spec-0004,m2662_unavoidable_mitigation_seed_268201_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0005,m2703-execution-admission-candidate-0005,m2700-adapter-candidate-0005,m2697-protected-runner-spec-0005::L3_online_gru,m2697-protected-runner-spec-0005,m2662_unavoidable_mitigation_seed_268201_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0006,m2703-execution-admission-candidate-0006,m2700-adapter-candidate-0006,m2697-protected-runner-spec-0006::L3_online_gru,m2697-protected-runner-spec-0006,m2662_unavoidable_mitigation_seed_268201_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0007,m2703-execution-admission-candidate-0007,m2700-adapter-candidate-0007,m2697-protected-runner-spec-0007::L3_online_gru,m2697-protected-runner-spec-0007,m2662_unavoidable_mitigation_seed_268202_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0008,m2703-execution-admission-candidate-0008,m2700-adapter-candidate-0008,m2697-protected-runner-spec-0008::L3_online_gru,m2697-protected-runner-spec-0008,m2662_unavoidable_mitigation_seed_268202_fresh_protected_fault_delay_noise,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_fault_delay_noise,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0009,m2703-execution-admission-candidate-0009,m2700-adapter-candidate-0009,m2697-protected-runner-spec-0009::L3_online_gru,m2697-protected-runner-spec-0009,m2662_unavoidable_mitigation_seed_268202_fresh_protected_nominal,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_nominal,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2706-support-candidate-0010,m2703-execution-admission-candidate-0010,m2700-adapter-candidate-0010,m2697-protected-runner-spec-0010::L3_online_gru,m2697-protected-runner-spec-0010,m2662_unavoidable_mitigation_seed_268203_fresh_protected_close_cut_in_fault,L3_online_gru,m2655_mitigation_preserving_policy,route_a_protected,unavoidable_mitigation|fresh_protected_close_cut_in_fault,execution_admission_blocked_no_current_m1690_workload,False,m1680-spec-0000::L3_online_gru,support_materialized_candidate_requires_new_workload_row,support_blocker_new_workload_row_required,m2703_blocked_execution_admission_to_no_execution_support_classification,materialize a current M1690 workload row and simulator fixture before protected execution admission,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,"M2706 protected runner simulator/workload support materialization only; M2703 blocked execution-admission rows, M2704 audit, M2705 design, M2700 adapter rows, and M1690 schema references may be reanalyzed into support input-source, candidate, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
