blocker_id,workload_fixture_proposal_id,support_candidate_id,blocker_type,blocker_reason,required_follow_up,actor_visible,claim_scope
m2710-workload-fixture-blocker-0001,m2710-workload-fixture-proposal-0001,m2706-support-candidate-0001,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0002,m2710-workload-fixture-proposal-0002,m2706-support-candidate-0002,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0003,m2710-workload-fixture-proposal-0003,m2706-support-candidate-0003,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0004,m2710-workload-fixture-proposal-0004,m2706-support-candidate-0004,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0005,m2710-workload-fixture-proposal-0005,m2706-support-candidate-0005,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0006,m2710-workload-fixture-proposal-0006,m2706-support-candidate-0006,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0007,m2710-workload-fixture-proposal-0007,m2706-support-candidate-0007,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0008,m2710-workload-fixture-proposal-0008,m2706-support-candidate-0008,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0009,m2710-workload-fixture-proposal-0009,m2706-support-candidate-0009,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2710-workload-fixture-blocker-0010,m2710-workload-fixture-proposal-0010,m2706-support-candidate-0010,workload_fixture_support_blocker_existing_m1690_match_absent,proposal materializes a new workload/fixture support row but no existing exact M1690 workload match,M2711 result audit before any execution admission design or protected runner execution route,False,"M2710 protected runner current-M1690 workload fixture support materialization only; M2706 support rows, M2697 protected runner specs, M2700 adapter rows, M2703 execution-admission rows, and M1690 schema references may be reanalyzed into workload/fixture proposal, exact-match admission, blocker, traceability, actor-contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, private holdout, profile-specific tuning, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-response, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
