candidate_id,target_panel_id,source_taxonomy_id,scenario_role_id,scenario_role,source_row_type,source_milestone,source_family,source_key,workload_id,task_source_id,profile_name,task_family,taxonomy_family,primary_failure_family,repair_signal,target_panel_admitted,execution_scheduled_in_m2743,execution_scheduled_in_m2746,guardrail_only,actor_visible_allowed,target_labels_actor_visible,ranking_allowed,ordinary_success_denominator_allowed,diagnostic_only_no_verdict,claim_boundary
m2746-execution-candidate-0001,m2743-target-panel-0001,m2740-taxonomy-execution-0001,m2743-role-0001,offtrack_containment_target,candidate_execution,m2693,source_diverse_current_sim_offtrack,T4:actuator_delay_step|capability_step_up,m1680-spec-0000::L3_online_gru,m1680-spec-0000,L3_online_gru,T4,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0002,m2743-target-panel-0002,m2740-taxonomy-execution-0002,m2743-role-0001,offtrack_containment_target,candidate_execution,m2693,source_diverse_current_sim_offtrack,T4:capability_step_down|t4_actuator_delay_response,m1680-spec-0002::L3_online_gru,m1680-spec-0002,L3_online_gru,T4,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0003,m2743-target-panel-0003,m2740-taxonomy-execution-0003,m2743-role-0001,offtrack_containment_target,candidate_execution,m2693,source_diverse_current_sim_offtrack,T4:t4_actuator_delay_response|capability_step_up,m1680-spec-0004::L3_online_gru,m1680-spec-0004,L3_online_gru,T4,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0004,m2743-target-panel-0005,m2740-taxonomy-execution-0005,m2743-role-0001,offtrack_containment_target,candidate_execution,m2693,source_diverse_current_sim_offtrack,T4:t4_staged_warmup_capability|capability_step_up,m1680-spec-0006::L3_online_gru,m1680-spec-0006,L3_online_gru,T4,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0005,m2743-target-panel-0006,m2740-taxonomy-execution-0006,m2743-role-0001,offtrack_containment_target,candidate_execution,m2693,source_diverse_current_sim_offtrack,T5:actuator_delay_step|t5_near_boundary_warmup,m1680-spec-0036::L3_online_gru,m1680-spec-0036,L3_online_gru,T5,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0006,m2743-target-panel-0007,m2740-taxonomy-execution-0007,m2743-role-0001,offtrack_containment_target,candidate_execution,m2693,source_diverse_current_sim_offtrack,T5:capability_step_down|t5_near_boundary_warmup,m1680-spec-0038::L3_online_gru,m1680-spec-0038,L3_online_gru,T5,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0007,m2743-target-panel-0008,m2740-taxonomy-execution-0008,m2743-role-0001,offtrack_containment_target,candidate_execution,m2693,source_diverse_current_sim_offtrack,T5:curved_boundary_obstacle|t5_boundary_axis_retarget,m1680-spec-0040::L3_online_gru,m1680-spec-0040,L3_online_gru,T5,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0008,m2743-target-panel-0010,m2740-taxonomy-execution-0010,m2743-role-0001,offtrack_containment_target,candidate_execution,m2716,exact_executable_reentry_baseline,m1680-spec-0000,m1680-spec-0000::L3_online_gru,m1680-spec-0000,L3_online_gru,T4,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0009,m2743-target-panel-0011,m2740-taxonomy-execution-0011,m2743-role-0001,offtrack_containment_target,candidate_execution,m2716,exact_executable_reentry_baseline,m1680-spec-0002,m1680-spec-0002::L3_online_gru,m1680-spec-0002,L3_online_gru,T4,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2746-execution-candidate-0010,m2743-target-panel-0012,m2740-taxonomy-execution-0012,m2743-role-0001,offtrack_containment_target,candidate_execution,m2716,exact_executable_reentry_baseline,m1680-spec-0004,m1680-spec-0004::L3_online_gru,m1680-spec-0004,L3_online_gru,T4,off_track,off_track,offtrack_surface_needs_taxonomy_audit,True,False,True,False,False,False,False,False,True,"M2746 Route A source-diverse failure-taxonomy scenario-role metric panel bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for resolved M2743 offtrack target rows, while collision caution, diagnostic success context, negative-context, blocked, protected, and HF3 rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
