seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,termination_reason,obstacle_passed_raw,completion_reason,outcome_bucket,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,dt,track_width,first_obstacle_pass_step,first_obstacle_pass_time_s,first_recovery_step,first_recovery_time_s,recovery_success,recovery_time_proxy,max_abs_beta,max_abs_yaw_rate,drift_used,controlled_drift_recovery_success,impact_speed_proxy,impact_beta_abs,impact_yaw_rate_abs,impact_severity_proxy,collision_mitigation_score,max_off_track_overshoot,time_to_first_off_track_s,off_track_severity_proxy,impact_speed_mps,impact_speed_mps_available,delta_v_at_impact_mps,delta_v_at_impact_mps_available,time_to_collision_s,time_to_collision_s_available,collision_angle_or_side,collision_angle_or_side_available,collision_side_proxy,post_event_speed_mps,post_event_speed_mps_available,post_event_yaw_rate_abs,post_event_yaw_rate_abs_available,post_event_offtrack_overshoot,post_event_offtrack_overshoot_available,recoverability_window_success,recoverability_window_success_available,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,workload_id,task_source_id,profile_name,task_family,source_edge,window_tag,strata,executable_source_family,env_template_family,profile_config_path,checkpoint_path,profile_env_history_length,eval_seed,routing_smoke_only,full_rollout_execution,private_holdout_used,promoted,training_started,replay_started,ppo_used,actor_input_contract_changed,profile_specific_tuning,controller_family_ranking_claim_made,paper_level_claim_made,level3_self_id_claim_made,success,m2753_eval_seed,resolution_id,candidate_id,bounded_cross_axis_stress_execution_preflight,candidate_surface_count,stress_axis_primary,stress_axis_tags,prior_panel_execution,protected_blocker_execution,hf3_blocker_execution,protected_rows_in_success_denominator,hidden_oracle_actor_input_required,stress_axis_labels_actor_visible,blocker_labels_actor_visible,route_labels_actor_visible,success_progress_labels_actor_visible,verdict_labels_actor_visible,source_build_run,adapter_probe_run,external_simulation_run,active_config_overwritten,ranking_run,winner_selected,checkpoint_promoted,success_rate_verdict_claim_made,driver_performance_claim_made,validation_readiness_claim_made,validation_result_claim_made,paper_claim_made,current_sim_verdict_claim_made,high_fidelity_validation_claim_made,full_ideal_driver_gate_passed,diagnostic_only_no_verdict,claim_boundary,forbidden_interpretation
275300,checkpoint,92,True,False,0.5309980674976524,0.5309980674976524,1608.4262647296196,1.109259492916979,1.1623290500985055,-0.03360256739687717,0.9373062964113933,1.0316767410929686,0.8302325061378024,1.5998063854169882,1.599806385416988,,False,True,aeb_feasible,True,False,2.0461600441390253,2.0685953092543006,-0.02243526511527527,obstacle_collision,False,obstacle_collision,collision_failure,35.80134717097695,0.38914507794540165,1.8603403594058288,4.055316828881935,0.47090186830019215,0.01600024249411682,0.0,8.133745568851921,0.001229307148605585,1,,,0.02,5.0,,,,,False,,0.01600024249411682,0.34851549827976736,False,False,8.66212091706106,0.014967801767381274,0.139382477816628,8.79571939130279,8.79571939130279,0.0,,0.0,8.66212091706106,True,,False,1.84,True,,False,right,,False,,False,,False,False,False,92,1.8603403594058288,0.47090186830019215,8.133745568851921,0.38914507794540165,0,,,,,0,,,,,m1680-spec-0001::L3_online_gru,m1680-spec-0001,L3_online_gru,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,actuator_delay_step,t4_actuator_delay_response,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275300,False,True,False,False,False,False,False,False,False,False,False,False,False,275300,m2753-resolution-0001,m2753-cross-axis-candidate-0001,True,12,actuator_delay_or_response,actuator_delay_or_response,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275301,checkpoint,76,True,False,0.8120027956562894,0.8120027956562894,1408.0080773441277,0.9710400533407777,0.9356384847710825,0.02799821781873102,0.9670898207957643,0.757868014718382,0.9395902218915783,3.889151683924647,3.889151683924647,,False,True,aeb_feasible,False,False,11.031766703762386,1.9217853982603619,9.109981305502025,off_track,False,off_track,off_track_noncollision_noncompletion,29.55160481239397,0.38883690542623645,2.2582702767108542,5.031118788609177,0.5668523551141995,0.013999883555636104,0.0,11.597485167418872,0.001698866719380021,1,,,0.02,5.0,,,,,False,,0.013999883555636104,0.4779680055873218,False,False,,,,,0.0,0.031118788609177273,1.52,0.031118788609177273,,False,,False,,False,,False,,,False,,False,,False,False,False,76,2.2582702767108542,0.5668523551141995,11.597485167418872,0.38883690542623645,0,,,,,0,,,,,m1680-spec-0003::L3_online_gru,m1680-spec-0003,L3_online_gru,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,t4_actuator_delay_response,t4_actuator_delay_response,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275301,False,True,False,False,False,False,False,False,False,False,False,False,False,275301,m2753-resolution-0002,m2753-cross-axis-candidate-0002,True,12,actuator_delay_or_response,actuator_delay_or_response,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275302,checkpoint,68,True,False,0.9356732256245681,0.9356732256245681,1297.7692046277557,0.895013244570866,1.1762230887098237,0.11873859808323517,0.913729800643482,1.0242533170875274,0.8751233281627631,2.590189630979606,2.590189630979606,,False,True,aeb_feasible,False,False,9.561738904359608,2.019838418427391,7.541900485932217,off_track,False,off_track,off_track_noncollision_noncompletion,20.661803092226847,0.30385004547392425,2.4252202472302558,5.090909015611924,0.4970878156030159,0.02609648797848359,0.0,12.093539729909837,0.0017939659301191568,1,,,0.02,5.0,,,,,False,,0.02609648797848359,0.5588297256078157,False,False,,,,,0.0,0.0909090156119241,1.36,0.0909090156119241,,False,,False,,False,,False,,,False,,False,,False,False,False,68,2.4252202472302558,0.4970878156030159,12.093539729909837,0.30385004547392425,0,,,,,0,,,,,m1680-spec-0008::L3_online_gru,m1680-spec-0008,L3_online_gru,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,actuator_delay_step,t4_actuator_delay_response,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275302,False,True,False,False,False,False,False,False,False,False,False,False,False,275302,m2753-resolution-0003,m2753-cross-axis-candidate-0003,True,12,actuator_delay_or_response,actuator_delay_or_response,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275303,checkpoint,93,True,False,0.8424931523424382,0.8424931523424382,1325.4369874761271,0.9140944741214669,1.2021180412001127,0.05067520541667214,0.9622635559072426,0.9564719553600625,0.8202538131817927,2.710045028973442,2.710045028973442,,False,True,aeb_feasible,False,False,14.502290408876988,1.7307142875754065,12.771576121301582,off_track,False,off_track,off_track_noncollision_noncompletion,27.250185584671712,0.29301274822227646,2.2899009085939395,5.005675921723416,0.638783370786013,0.03508356387500734,0.0,9.201155367252829,0.0013765341136604548,1,,,0.02,5.0,,,,,False,,0.03508356387500734,0.3969177396854006,False,False,,,,,0.0,0.005675921723415911,1.86,0.005675921723415911,,False,,False,,False,,False,,,False,,False,,False,False,False,93,2.2899009085939395,0.638783370786013,9.201155367252829,0.29301274822227646,0,,,,,0,,,,,m1680-spec-0010::L3_online_gru,m1680-spec-0010,L3_online_gru,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,t4_actuator_delay_response,t4_actuator_delay_response,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275303,False,True,False,False,False,False,False,False,False,False,False,False,False,275303,m2753-resolution-0004,m2753-cross-axis-candidate-0004,True,12,actuator_delay_or_response,actuator_delay_or_response,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275304,checkpoint,104,True,False,0.6289550208865208,0.6289550208865208,1696.9535110578556,1.170312766246797,1.0222865196129787,0.035306075831687656,0.9171970529561201,1.0233391469495499,0.9782745097037896,2.1673267401813066,2.1673267401813066,,False,True,aeb_feasible,False,False,8.682348564604752,2.0701085927249543,6.612239971879797,off_track,False,off_track,off_track_noncollision_noncompletion,47.599480396125124,0.4576873115012031,2.021541760904952,5.024894257682959,0.6176006961498343,0.07577868336165212,0.0,9.956732323143898,0.0012648497940972447,1,,,0.02,5.0,,,,,False,,0.07577868336165212,0.45627152783038205,False,False,,,,,0.0,0.024894257682959164,2.08,0.024894257682959164,,False,,False,,False,,False,,,False,,False,,False,False,False,104,2.021541760904952,0.6176006961498343,9.956732323143898,0.4576873115012031,0,,,,,0,,,,,m1680-spec-0037::L3_online_gru,m1680-spec-0037,L3_online_gru,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T5,brake_fade_or_loss_proxy,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275304,False,True,False,False,False,False,False,False,False,False,False,False,False,275304,m2753-resolution-0005,m2753-cross-axis-candidate-0005,True,12,brake_or_drive_authority,brake_or_drive_authority;late_boundary_or_near_boundary,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275305,checkpoint,96,True,False,0.5099448344057508,0.5099448344057508,1468.350020942686,1.0126551868570248,1.0508775087889837,0.09974838778521766,1.3285488201244515,0.9942629670548275,0.7082340814653577,1.633811367935702,1.633811367935702,,False,True,aeb_feasible,False,False,9.457079191187919,2.161126344709825,7.2959528464780945,off_track,False,off_track,off_track_noncollision_noncompletion,21.56798681291092,0.2246665293011554,2.3804127590449786,5.091872104488683,0.6200367087817017,0.035139867713071274,0.0,8.998154410616289,0.0012103029293939471,1,,,0.02,5.0,,,,,False,,0.035139867713071274,0.4082174385634058,False,False,,,,,0.0,0.09187210448868299,1.92,0.09187210448868299,,False,,False,,False,,False,,,False,,False,,False,False,False,96,2.3804127590449786,0.6200367087817017,8.998154410616289,0.2246665293011554,0,,,,,0,,,,,m1680-spec-0039::L3_online_gru,m1680-spec-0039,L3_online_gru,T5,curved_boundary_obstacle|drive_loss_proxy,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T5,curved_boundary_obstacle,t5_boundary_axis_retarget,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275305,False,True,False,False,False,False,False,False,False,False,False,False,False,275305,m2753-resolution-0006,m2753-cross-axis-candidate-0006,True,12,brake_or_drive_authority,brake_or_drive_authority;curved_or_retargeted_obstacle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275306,checkpoint,90,True,False,0.5745553049544243,0.5745553049544243,1358.9321119306649,0.9371945599521827,1.1327486739558363,0.015107044161252414,0.7554405417775392,0.5946969978594313,0.8874491198876127,1.102158805770679,1.102158805770679,,False,True,aeb_feasible,False,False,6.388204026412509,1.7081670653638668,4.680036961048642,off_track,False,off_track,off_track_noncollision_noncompletion,63.87629895957131,0.7097366551063479,2.102678616726714,5.076484566450862,0.33335470375727794,0.011357933526096691,0.0,10.576473413943882,0.0011983390431851149,1,,,0.02,5.0,,,,,False,,0.011357933526096691,0.4337689569835024,False,False,,,,,0.0,0.07648456645086199,1.8,0.07648456645086199,,False,,False,,False,,False,,,False,,False,,False,False,False,90,2.102678616726714,0.33335470375727794,10.576473413943882,0.7097366551063479,0,,,,,0,,,,,m1680-spec-0042::L3_online_gru,m1680-spec-0042,L3_online_gru,T5,t5_boundary_axis_retarget|drive_loss_proxy,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T5,t5_boundary_axis_retarget,t5_boundary_axis_retarget,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275306,False,True,False,False,False,False,False,False,False,False,False,False,False,275306,m2753-resolution-0007,m2753-cross-axis-candidate-0007,True,12,brake_or_drive_authority,brake_or_drive_authority;curved_or_retargeted_obstacle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275307,checkpoint,67,True,False,0.6705682514160562,0.6705682514160562,1452.512972545106,1.0017330845138663,1.2354959273684887,-0.08039613206444152,0.9814716302382244,0.7114114757287953,0.917922187366274,1.3006749926250043,1.3006749926250043,,False,True,aeb_feasible,True,False,1.8490726122116514,1.9351577201311052,-0.08608510791945378,obstacle_collision,False,obstacle_collision,collision_failure,14.724130459056141,0.21976314117994242,1.8206178486257598,3.842901536272471,0.6781725520510795,0.07201392549372154,0.0,10.205494408016415,0.0015028394991531968,1,,,0.02,5.0,,,,,False,,0.07201392549372154,0.46858831336877316,False,False,11.220430102337351,0.011424857628069138,0.1693116797410513,11.67349923872276,11.67349923872276,0.0,,0.0,11.220430102337351,True,,False,1.34,True,,False,front,,False,,False,,False,False,False,67,1.8206178486257598,0.6781725520510795,10.205494408016415,0.21976314117994242,0,,,,,0,,,,,m1680-spec-0043::L3_online_gru,m1680-spec-0043,L3_online_gru,T5,t5_near_boundary_warmup|t5_boundary_axis_retarget,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T5,t5_near_boundary_warmup,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275307,False,True,False,False,False,False,False,False,False,False,False,False,False,275307,m2753-resolution-0008,m2753-cross-axis-candidate-0008,True,12,late_boundary_or_near_boundary,late_boundary_or_near_boundary;curved_or_retargeted_obstacle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275308,checkpoint,53,True,False,0.852317464028194,0.852317464028194,1404.0255467220168,0.9682934804979426,1.041062999077167,0.09697014382216373,1.0601619536786466,0.5596333702911965,0.974765869604929,1.6470452182343016,1.6470452182343016,,False,True,aeb_feasible,True,False,1.669815649229556,1.8266380605703079,-0.15682241134075192,obstacle_collision,False,obstacle_collision,collision_failure,25.79111415801646,0.4866247954342728,1.23736646388279,2.5356727072595326,0.4950374276022988,0.011828814136622805,0.0,10.449338836797015,0.0018949429504573345,1,,,0.02,5.0,,,,,False,,0.011828814136622805,0.4158621686652573,False,False,11.520169977855636,0.008706782867334424,0.18690698941899328,12.327326124934963,12.327326124934963,0.0,,0.0,11.520169977855636,True,,False,1.06,True,,False,front,,False,,False,,False,False,False,53,1.23736646388279,0.4950374276022988,10.449338836797015,0.4866247954342728,0,,,,,0,,,,,m1680-spec-0044::L3_online_gru,m1680-spec-0044,L3_online_gru,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T5,t5_near_boundary_warmup,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275308,False,True,False,False,False,False,False,False,False,False,False,False,False,275308,m2753-resolution-0009,m2753-cross-axis-candidate-0009,True,12,actuator_delay_or_response,actuator_delay_or_response;late_boundary_or_near_boundary,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
275309,checkpoint,81,True,False,0.5347281121258456,0.5347281121258456,1704.1239082561822,1.1752578677628842,1.186027504808927,0.0628838797929896,1.094487760690376,0.7052875816041081,0.7949398439258848,1.859603780620259,1.859603780620259,,False,True,aeb_feasible,False,False,10.570803515683556,2.1222191441829956,8.44858437150056,off_track,False,off_track,off_track_noncollision_noncompletion,20.192841353537236,0.2492943376979906,2.5803588251982448,5.087449641412626,0.5650357113056116,0.0677813942690431,0.0,9.623090894547648,0.0013331363443285227,1,,,0.02,5.0,,,,,False,,0.0677813942690431,0.45272538818950075,False,False,,,,,0.0,0.08744964141262557,1.62,0.08744964141262557,,False,,False,,False,,False,,,False,,False,,False,False,False,81,2.5803588251982448,0.5650357113056116,9.623090894547648,0.2492943376979906,0,,,,,0,,,,,m1680-spec-0045::L3_online_gru,m1680-spec-0045,L3_online_gru,T5,brake_fade_or_loss_proxy|late_reveal_boundary,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T5,brake_fade_or_loss_proxy,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,275309,False,True,False,False,False,False,False,False,False,False,False,False,False,275309,m2753-resolution-0010,m2753-cross-axis-candidate-0010,True,12,late_boundary_or_near_boundary,brake_or_drive_authority;late_boundary_or_near_boundary,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2753 Route A cross-axis stress generalization bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-panel M1690 L3_online_gru rows, while M2746/M2737 prior-panel rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
