localization_id,candidate_id,resolution_id,task_source_id,workload_id,profile_name,task_family,source_edge,stress_axis_primary,stress_axis_tags,termination_reason,outcome_bucket,failure_family,clearance_sign,min_clearance_margin,return,success,collision,obstacle_completed,candidate_admitted,prior_panel_excluded,localization_role,diagnostic_only_no_verdict,ranking_run,winner_selected,checkpoint_promoted,protected_rows_in_success_denominator,hidden_oracle_actor_input_required,localization_labels_actor_visible,stress_axis_labels_actor_visible,source_edge_labels_actor_visible,success_progress_labels_actor_visible,verdict_labels_actor_visible,actor_visible_allowed,claim_scope,forbidden_interpretation
m2756-localization-0001,m2753-cross-axis-candidate-0001,m2753-resolution-0001,m1680-spec-0001,m1680-spec-0001::L3_online_gru,L3_online_gru,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_or_response,actuator_delay_or_response,obstacle_collision,collision_failure,collision_negative_clearance,negative,-0.02243526511527527,35.80134717097695,False,True,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0002,m2753-cross-axis-candidate-0002,m2753-resolution-0002,m1680-spec-0003,m1680-spec-0003::L3_online_gru,L3_online_gru,T4,t4_actuator_delay_response|actuator_delay_step,actuator_delay_or_response,actuator_delay_or_response,off_track,off_track_noncollision_noncompletion,offtrack_positive_clearance,positive,9.109981305502025,29.55160481239397,False,False,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0003,m2753-cross-axis-candidate-0003,m2753-resolution-0003,m1680-spec-0008,m1680-spec-0008::L3_online_gru,L3_online_gru,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_or_response,actuator_delay_or_response,off_track,off_track_noncollision_noncompletion,offtrack_positive_clearance,positive,7.541900485932217,20.661803092226847,False,False,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0004,m2753-cross-axis-candidate-0004,m2753-resolution-0004,m1680-spec-0010,m1680-spec-0010::L3_online_gru,L3_online_gru,T4,t4_actuator_delay_response|actuator_delay_step,actuator_delay_or_response,actuator_delay_or_response,off_track,off_track_noncollision_noncompletion,offtrack_positive_clearance,positive,12.771576121301582,27.250185584671712,False,False,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0005,m2753-cross-axis-candidate-0005,m2753-resolution-0005,m1680-spec-0037,m1680-spec-0037::L3_online_gru,L3_online_gru,T5,brake_fade_or_loss_proxy|late_reveal_boundary,brake_or_drive_authority,brake_or_drive_authority;late_boundary_or_near_boundary,off_track,off_track_noncollision_noncompletion,offtrack_positive_clearance,positive,6.612239971879797,47.599480396125124,False,False,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0006,m2753-cross-axis-candidate-0006,m2753-resolution-0006,m1680-spec-0039,m1680-spec-0039::L3_online_gru,L3_online_gru,T5,curved_boundary_obstacle|drive_loss_proxy,brake_or_drive_authority,brake_or_drive_authority;curved_or_retargeted_obstacle,off_track,off_track_noncollision_noncompletion,offtrack_positive_clearance,positive,7.2959528464780945,21.56798681291092,False,False,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0007,m2753-cross-axis-candidate-0007,m2753-resolution-0007,m1680-spec-0042,m1680-spec-0042::L3_online_gru,L3_online_gru,T5,t5_boundary_axis_retarget|drive_loss_proxy,brake_or_drive_authority,brake_or_drive_authority;curved_or_retargeted_obstacle,off_track,off_track_noncollision_noncompletion,offtrack_positive_clearance,positive,4.680036961048642,63.87629895957131,False,False,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0008,m2753-cross-axis-candidate-0008,m2753-resolution-0008,m1680-spec-0043,m1680-spec-0043::L3_online_gru,L3_online_gru,T5,t5_near_boundary_warmup|t5_boundary_axis_retarget,late_boundary_or_near_boundary,late_boundary_or_near_boundary;curved_or_retargeted_obstacle,obstacle_collision,collision_failure,collision_negative_clearance,negative,-0.08608510791945378,14.724130459056141,False,True,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0009,m2753-cross-axis-candidate-0009,m2753-resolution-0009,m1680-spec-0044,m1680-spec-0044::L3_online_gru,L3_online_gru,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_or_response,actuator_delay_or_response;late_boundary_or_near_boundary,obstacle_collision,collision_failure,collision_negative_clearance,negative,-0.15682241134075192,25.79111415801646,False,True,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
m2756-localization-0010,m2753-cross-axis-candidate-0010,m2753-resolution-0010,m1680-spec-0045,m1680-spec-0045::L3_online_gru,L3_online_gru,T5,brake_fade_or_loss_proxy|late_reveal_boundary,late_boundary_or_near_boundary,brake_or_drive_authority;late_boundary_or_near_boundary,off_track,off_track_noncollision_noncompletion,offtrack_positive_clearance,positive,8.44858437150056,20.192841353537236,False,False,False,True,False,negative_execution_row_failure_localization,True,False,False,False,False,False,False,False,False,False,False,False,"M2756 Route A post-cross-axis negative failure-localization panel materialization only; existing M2753/M2755 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness, validation result, controller ranking, stress-axis ranking, source-edge ranking, task-family ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation result, full ideal driver completion, or self-ID evidence"
