probe_resolution_id,localization_id,candidate_id,source_resolution_id,task_source_id,workload_id,profile_name,task_family,source_edge,stress_axis_primary,stress_axis_tags,failure_family,clearance_sign,source_termination_reason,source_min_clearance_margin,profile_config_path,checkpoint_path,resolution_status,execution_admitted,execution_planned,failure_reason,actor_contract_shape_72_action_3,hidden_oracle_actor_input_required,localization_labels_actor_visible,action_response_labels_actor_visible,containment_labels_actor_visible,mechanism_tags_actor_visible,stress_axis_labels_actor_visible,source_edge_labels_actor_visible,success_progress_labels_actor_visible,verdict_labels_actor_visible,guardrail_execution,protected_rows_in_success_denominator,diagnostic_only_no_verdict,ranking_run,claim_boundary
m2759-probe-resolution-0001,m2756-localization-0001,m2753-cross-axis-candidate-0001,m2753-resolution-0001,m1680-spec-0001,m1680-spec-0001::L3_online_gru,L3_online_gru,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_or_response,actuator_delay_or_response,collision_negative_clearance,negative,obstacle_collision,-0.02243526511527527,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0002,m2756-localization-0002,m2753-cross-axis-candidate-0002,m2753-resolution-0002,m1680-spec-0003,m1680-spec-0003::L3_online_gru,L3_online_gru,T4,t4_actuator_delay_response|actuator_delay_step,actuator_delay_or_response,actuator_delay_or_response,offtrack_positive_clearance,positive,off_track,9.109981305502025,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0003,m2756-localization-0003,m2753-cross-axis-candidate-0003,m2753-resolution-0003,m1680-spec-0008,m1680-spec-0008::L3_online_gru,L3_online_gru,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_or_response,actuator_delay_or_response,offtrack_positive_clearance,positive,off_track,7.541900485932217,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0004,m2756-localization-0004,m2753-cross-axis-candidate-0004,m2753-resolution-0004,m1680-spec-0010,m1680-spec-0010::L3_online_gru,L3_online_gru,T4,t4_actuator_delay_response|actuator_delay_step,actuator_delay_or_response,actuator_delay_or_response,offtrack_positive_clearance,positive,off_track,12.771576121301582,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0005,m2756-localization-0005,m2753-cross-axis-candidate-0005,m2753-resolution-0005,m1680-spec-0037,m1680-spec-0037::L3_online_gru,L3_online_gru,T5,brake_fade_or_loss_proxy|late_reveal_boundary,brake_or_drive_authority,brake_or_drive_authority;late_boundary_or_near_boundary,offtrack_positive_clearance,positive,off_track,6.612239971879797,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0006,m2756-localization-0006,m2753-cross-axis-candidate-0006,m2753-resolution-0006,m1680-spec-0039,m1680-spec-0039::L3_online_gru,L3_online_gru,T5,curved_boundary_obstacle|drive_loss_proxy,brake_or_drive_authority,brake_or_drive_authority;curved_or_retargeted_obstacle,offtrack_positive_clearance,positive,off_track,7.2959528464780945,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0007,m2756-localization-0007,m2753-cross-axis-candidate-0007,m2753-resolution-0007,m1680-spec-0042,m1680-spec-0042::L3_online_gru,L3_online_gru,T5,t5_boundary_axis_retarget|drive_loss_proxy,brake_or_drive_authority,brake_or_drive_authority;curved_or_retargeted_obstacle,offtrack_positive_clearance,positive,off_track,4.680036961048642,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0008,m2756-localization-0008,m2753-cross-axis-candidate-0008,m2753-resolution-0008,m1680-spec-0043,m1680-spec-0043::L3_online_gru,L3_online_gru,T5,t5_near_boundary_warmup|t5_boundary_axis_retarget,late_boundary_or_near_boundary,late_boundary_or_near_boundary;curved_or_retargeted_obstacle,collision_negative_clearance,negative,obstacle_collision,-0.08608510791945378,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0009,m2756-localization-0009,m2753-cross-axis-candidate-0009,m2753-resolution-0009,m1680-spec-0044,m1680-spec-0044::L3_online_gru,L3_online_gru,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_or_response,actuator_delay_or_response;late_boundary_or_near_boundary,collision_negative_clearance,negative,obstacle_collision,-0.15682241134075192,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2759-probe-resolution-0010,m2756-localization-0010,m2753-cross-axis-candidate-0010,m2753-resolution-0010,m1680-spec-0045,m1680-spec-0045::L3_online_gru,L3_online_gru,T5,brake_fade_or_loss_proxy|late_reveal_boundary,late_boundary_or_near_boundary,brake_or_drive_authority;late_boundary_or_near_boundary,offtrack_positive_clearance,positive,off_track,8.44858437150056,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,resolved_to_m2756_localized_m2753_l3_workload,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,"M2759 Route A post-cross-axis negative action-response and containment probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized candidate rows while no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
